Source system ID,Plant (code),Plant (name),Calendar day,Operation Group,Material Unique (code),Material Unique (name),Stock Qty,ATP Quantity,ATP Qty (allow negative),Reserved Stock Qty,Stock in Transit Qty,Safety Stock Qty,Minimum Safety Stock Qty,Stock Value (EUR),ATP Stock Value (EUR),Reserved Stock Value (EUR),Safety Stock Value (EUR),Stock in Transit Value (EUR),Total Stock Value (EUR)
P01,NW05,Northwind Pacific,2026.04.03,OPS-S140,MAT-101214,S140/PL.15 304TL 0.6mm,8032,4381,4230,324,1035,966,676,56843.44,51159.09,10719.62,6836.5,7324.82,64168.26
P01,NW05,Northwind Pacific,2026.04.03,OPS-S160,MAT-101215,S160/PL.16 304TL 0.6mm,736,686,496,30,973,294,206,42348.54,38113.69,3342.89,16916.4,55985.24,98333.78
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX250,MAT-101222,MX250/PL.23 304TL 0.7mm,2333,1997,712,204,220,1105,774,96176.36,86558.73,13510.47,45552.89,9069.35,105245.72
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101228,XL420/PL.29 304TL 0.7mm,9026,8536,6248,1369,2667,444,311,281796.15,253616.54,55515.24,13861.9,83265.05,365061.2
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL520,MAT-101229,XL520/PL.30 304TL 0.3mm,2462,1963,1088,311,1428,491,344,123545.56,111191.01,23167.42,24638.86,71658.43,195203.99
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-9X,MAT-101230,PRO-9X/PL.31 304TL 0.3mm,1434,1201,1041,142,2159,932,652,61379.5,55241.55,10866.06,39892.4,92411.68,153791.18
P01,NW05,Northwind Pacific,2026.04.03,OPS-HT80,MAT-101235,HT80/PL.36 304TL 0.7mm,3716,2508,2418,61,2108,763,534,51056.55,45950.89,6440.88,10483.35,28963.19,80019.73
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX250,MAT-101246,MX250/PL.47 304TL 0.7mm,4908,4121,2495,321,2863,1140,798,166738.47,150064.62,15171.1,38728.98,97264.11,264002.58
P01,NW05,Northwind Pacific,2026.04.03,OPS-S160,MAT-101251,S160/PL.02 304TL 0.5mm,3476,1936,2919,545,2427,1123,786,142344.92,128110.43,19823.81,45987.73,99387.55,241732.47
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101252,XL420/PL.03 304TL 0.5mm,7924,7336,4964,595,2381,705,493,256117.2,230505.48,43730.85,22786.8,76957.98,333075.19
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX250,MAT-101258,MX250/PL.09 304TL 0.8mm,4151,3137,2522,365,2048,664,465,55077.14,49569.42,10855.96,8810.22,27173.69,82250.82
P01,NW05,Northwind Pacific,2026.04.03,OPS-S62,MAT-101260,S62/PL.11 304TL 0.5mm,7217,5973,3661,93,920,969,678,191986.46,172787.82,25549.64,25777.31,24473.82,216460.28
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL520,MAT-101265,XL520/PL.16 304TL 0.6mm,6612,5847,2073,799,1661,636,445,219202.64,197282.38,17453.98,21084.83,55065.88,274268.52
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-9X,MAT-101266,PRO-9X/PL.17 304TL 0.8mm,10597,9295,3339,270,1901,596,417,565589.13,509030.22,98460.78,31810.05,101461.26,667050.39
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-12X,MAT-101279,PRO-12X/PL.30 304TL 0.6mm,2171,1385,1124,415,2055,589,412,99255.11,89329.6,8282.2,26928.26,93951.75,193206.86
P01,NW05,Northwind Pacific,2026.04.03,OPS-S62,MAT-101284,S62/PL.35 304TL 0.5mm,5213,3464,2964,423,1705,423,296,196590.33,176931.29,25038.57,15951.99,64298.2,260888.53
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-12X,MAT-101291,PRO-12X/PL.42 304TL 0.7mm,2071,1954,1294,215,2620,258,181,95609.93,86048.94,16010.65,11910.85,120955.1,216565.03
P01,NW05,Northwind Pacific,2026.04.03,OPS-S160,MAT-101299,S160/PL.50 304TL 0.6mm,11743,7642,5792,1961,1906,302,211,67566.43,60809.79,6465.66,1737.64,10966.67,78533.1
P01,NW05,Northwind Pacific,2026.04.03,OPS-S62,MAT-101308,S62/PL.09 304TL 0.4mm,3952,2035,1471,434,1766,737,516,166879.64,150191.68,28719.84,31121.03,74572.23,241451.87
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX100,MAT-101316,MX100/PL.17 304TL 0.8mm,3725,2731,1728,317,404,1063,744,60337.17,54303.46,11369.64,17218.37,6543.95,66881.13
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX200,MAT-101317,MX200/PL.18 304TL 0.6mm,11403,6762,5410,1185,2864,112,78,675617.89,608056.1,61713.81,6635.9,169689.52,845307.41
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-12X,MAT-101327,PRO-12X/PL.28 304TL 0.4mm,2037,1835,892,402,2882,998,699,102028.24,91825.42,13117.05,49987.33,144352.18,246380.42
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX200,MAT-101329,MX200/PL.30 304TL 0.6mm,5612,4199,2078,440,764,1049,734,130043.25,117038.92,21352.22,24307.8,17703.68,147746.93
P01,NW05,Northwind Pacific,2026.04.03,OPS-HT80,MAT-101331,HT80/PL.32 304TL 0.7mm,5015,3687,2713,440,2374,676,473,182807.54,164526.78,12255.6,24641.65,86537.41,269344.94
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL520,MAT-101337,XL520/PL.38 304TL 0.6mm,7433,3796,2809,1301,607,1089,762,138918.96,125027.06,17415.85,20352.85,11344.52,150263.48
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101348,XL420/PL.49 304TL 0.6mm,10809,7012,9276,1515,2953,353,247,338630.58,304767.52,57770.48,11058.99,92513.29,431143.86
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL520,MAT-101349,XL520/PL.50 304TL 0.8mm,1013,813,584,67,732,985,690,29256.45,26330.8,1901.54,28447.78,21140.89,50397.34
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX100,MAT-101352,MX100/PL.03 304TL 0.5mm,10989,8667,4457,1065,2475,73,51,340676.05,306608.45,66521.13,2263.11,76728.84,417404.89
P01,NW05,Northwind Pacific,2026.04.03,OPS-S120,MAT-101357,S120/PL.08 304TL 0.5mm,11425,10508,6548,468,362,520,364,45692.43,41123.19,8332.81,2079.66,1447.76,47140.19
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101360,XL420/PL.11 304TL 0.7mm,3148,2521,1256,336,2554,68,48,112306.98,101076.29,9434.86,2425.95,91115.64,203422.62
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL520,MAT-101361,XL520/PL.12 304TL 0.6mm,2864,1725,2361,447,2437,557,390,72385.9,65147.31,10236.76,14077.85,61593.73,133979.63
P01,NW05,Northwind Pacific,2026.04.03,OPS-HT80,MAT-101379,HT80/PL.30 304TL 0.6mm,7606,4043,3976,736,1649,338,237,279959.71,251963.74,14886.15,12441.02,60695.97,340655.68
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101384,XL420/PL.35 304TL 0.6mm,3048,2387,1004,314,2907,161,113,9369.9,8432.91,1185.56,494.93,8936.45,18306.35
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-9X,MAT-101386,PRO-9X/PL.37 304TL 0.6mm,8521,7664,7663,709,557,690,483,451765.59,406589.03,84708.47,36582.36,29530.97,481296.57
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX250,MAT-101390,MX250/PL.41 304TL 0.6mm,11382,6141,7030,2139,1930,641,449,406363.53,365727.18,48138.15,22885.17,68905.43,475268.96
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX200,MAT-101401,MX200/PL.02 304TL 0.6mm,2392,1517,1095,352,2323,924,647,18420.62,16578.56,1464.05,7115.66,17889.25,36309.87
P01,NW05,Northwind Pacific,2026.04.03,OPS-HT80,MAT-101415,HT80/PL.16 304TL 0.4mm,4370,2451,3552,668,1728,877,614,200519.1,180467.19,25179.88,40241.48,79289.93,279809.03
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-12X,MAT-101423,PRO-12X/PL.24 304TL 0.4mm,6945,6252,2465,404,2782,320,224,122153.28,109937.95,22103.04,5628.37,48931.67,171084.94
P01,NW05,Northwind Pacific,2026.04.03,OPS-S140,MAT-101430,S140/PL.31 304TL 0.8mm,770,577,555,97,1332,1032,722,12177.26,10959.53,1473.97,16320.69,21065.08,33242.34
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101432,XL420/PL.33 304TL 0.8mm,9084,8493,2726,89,825,811,568,358420.56,322578.5,51677.26,31999.02,32551.4,390971.96
P01,NW05,Northwind Pacific,2026.04.03,OPS-PRO-9X,MAT-101434,PRO-9X/PL.35 304TL 0.8mm,7240,6131,4281,848,2054,280,196,61882.9,55694.61,4004.32,2393.26,17556.28,79439.18
P01,NW05,Northwind Pacific,2026.04.03,OPS-HT80,MAT-101439,HT80/PL.40 304TL 0.3mm,8164,6469,6673,883,474,100,70,438923.62,395031.26,43221.49,5376.33,25483.81,464407.43
P01,NW05,Northwind Pacific,2026.04.03,OPS-S160,MAT-101443,S160/PL.44 304TL 0.5mm,6071,5647,4551,832,573,865,606,79376.0,71438.4,10600.12,11309.54,7491.76,86867.76
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX250,MAT-101450,MX250/PL.01 304TL 0.3mm,10825,6326,9205,539,2833,1009,706,181229.72,163106.75,32941.71,16892.45,47429.45,228659.17
P01,NW05,Northwind Pacific,2026.04.03,OPS-S140,MAT-101454,S140/PL.05 304TL 0.4mm,4158,3333,3419,569,303,244,171,105283.68,94755.31,13569.25,6178.26,7672.19,112955.87
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101468,XL420/PL.19 304TL 0.4mm,1959,1633,1436,289,733,937,656,99197.7,89277.93,9844.84,47446.78,37116.85,136314.55
P01,NW05,Northwind Pacific,2026.04.03,OPS-S120,MAT-101477,S120/PL.28 304TL 0.5mm,3453,2829,2152,125,137,697,488,87071.93,78364.74,7951.74,17575.77,3454.63,90526.57
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL420,MAT-101480,XL420/PL.31 304TL 0.6mm,584,315,480,60,847,661,463,26636.06,23972.45,2220.18,30148.01,38631.41,65267.47
P01,NW05,Northwind Pacific,2026.04.03,OPS-XL520,MAT-101481,XL520/PL.32 304TL 0.7mm,3690,2315,3120,37,2034,405,284,215009.0,193508.1,26399.45,23598.55,118517.16,333526.16
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX100,MAT-101484,MX100/PL.35 304TL 0.5mm,2378,2120,1888,203,1789,836,585,22728.36,20455.52,2415.6,7990.29,17098.84,39827.2
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX200,MAT-101485,MX200/PL.36 304TL 0.6mm,3125,2054,2142,481,2760,790,553,178669.83,160802.85,27325.51,45167.73,157801.2,336471.03
P01,NW05,Northwind Pacific,2026.04.03,OPS-S62,MAT-101488,S62/PL.39 304TL 0.7mm,9613,7202,6768,245,377,71,50,491965.93,442769.33,30410.61,3633.58,19293.78,511259.71
P01,NW05,Northwind Pacific,2026.04.03,OPS-S120,MAT-101489,S120/PL.40 304TL 0.7mm,8090,6171,3524,1044,2706,1155,808,67561.84,60805.65,11495.65,9645.73,22598.56,90160.4
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX100,MAT-101496,MX100/PL.47 304TL 0.3mm,9270,7237,4044,359,1634,361,253,547102.86,492392.58,76199.42,21305.73,96436.47,643539.33
P01,NW05,Northwind Pacific,2026.04.03,OPS-MX200,MAT-101497,MX200/PL.48 304TL 0.5mm,2466,1731,1798,422,496,976,683,29016.36,26114.73,4287.9,11484.17,5836.22,34852.58
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200002,M12-EPDM GASKET 03,3856,2602,2575,352,17,148,104,225720.21,203148.19,40007.88,8663.54,995.14,226715.35
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200003,M6-FKM GASKET 04,3688,2037,1374,732,1140,261,183,68883.01,61994.71,8234.88,4874.85,21292.47,90175.48
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200006,M18-AFLAS GASKET 07,9906,5622,7675,1574,3442,637,446,483651.23,435286.1,65881.18,31100.93,168052.45,651703.67
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200008,M10-BFG GASKET 09,5535,4371,3713,421,1846,384,269,185474.85,166927.37,10766.7,12867.63,61858.46,247333.31
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200012,M20-SILI GASKET 13,1175,634,451,66,1168,297,208,52256.66,47030.99,8647.99,13208.7,51945.34,104202.01
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200015,M22-NBR GASKET 16,5200,3437,3480,934,399,883,618,63406.33,57065.7,4949.83,10766.88,4865.22,68271.55
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200017,M8-NBR GASKET 18,3817,3584,1298,568,2710,1157,810,88246.65,79421.99,9287.81,26749.12,62653.5,150900.16
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200038,M18-AFLAS GASKET 39,9412,8156,7563,1425,1949,93,65,142164.92,127948.43,22505.27,1404.73,29438.95,171603.87
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200046,M18-AFLAS GASKET 07,5459,4922,2816,508,128,918,643,183496.03,165146.43,30302.75,30857.18,4302.53,187798.56
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200047,M22-NBR GASKET 08,5942,4122,4015,443,2428,245,172,41198.75,37078.88,3250.55,1698.7,16834.5,58033.25
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200049,M8-NBR GASKET 10,6983,5001,4748,211,2013,626,438,282439.2,254195.28,47590.26,25319.63,81419.18,363858.38
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200055,M22-NBR GASKET 16,4634,3127,3570,822,1242,956,669,57244.5,51520.05,10475.94,11809.61,15342.61,72587.11
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200056,M10-BFG GASKET 17,2484,1345,2142,122,1065,1104,773,21588.4,19429.56,2176.43,9594.84,9255.9,30844.3
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200058,M12-EPDM GASKET 19,7485,5537,5511,1289,2051,191,134,403659.04,363293.13,64706.2,10300.45,110608.51,514267.54
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200059,M6-FKM GASKET 20,2111,1177,1170,338,3215,303,212,10747.8,9673.02,1029.87,1542.67,16368.63,27116.43
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200060,M20-SILI GASKET 21,8428,5061,4263,1258,1290,220,154,358922.21,323029.99,29993.58,9369.11,54937.07,413859.28
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200066,M12-EPDM GASKET 27,7299,4118,4668,678,2036,161,113,56105.49,50494.94,3658.15,1237.56,15650.2,71755.69
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200067,M6-FKM GASKET 28,795,686,607,146,2363,1009,706,10120.59,9108.53,1303.46,12844.87,30081.69,40202.28
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200071,M22-NBR GASKET 32,3325,2674,1145,236,2734,922,645,132736.33,119462.7,7721.7,36806.89,109143.19,241879.52
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200077,M14-HNBR GASKET 38,4141,3345,1887,443,1947,1104,773,18407.71,16566.94,2712.11,4907.54,8654.87,27062.59
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200085,M14-HNBR GASKET 06,583,298,403,5,2358,1146,802,19087.19,17178.47,2438.91,37519.59,77200.0,96287.19
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200087,M22-NBR GASKET 08,1494,1139,733,224,2312,735,514,14710.77,13239.7,1541.1,7237.23,22765.27,37476.04
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200089,M8-NBR GASKET 10,8888,4662,7023,580,1973,315,220,180819.73,162737.76,34972.12,6408.44,40139.21,220958.95
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200094,M18-AFLAS GASKET 15,5856,4295,2498,493,2769,845,592,240025.0,216022.5,38110.93,34634.76,113495.43,353520.43
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200095,M22-NBR GASKET 16,3986,3300,1593,507,3027,613,429,27356.61,24620.95,3804.59,4207.13,20774.83,48131.44
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200096,M10-BFG GASKET 17,3699,2107,3231,345,801,1133,793,156390.29,140751.27,29167.58,47902.19,33865.54,190255.83
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200098,M12-EPDM GASKET 19,4518,2535,3078,241,212,1012,708,25148.11,22633.3,4410.46,5633.0,1180.04,26328.14
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200105,M8-NBR GASKET 26,10764,9564,7750,1983,2739,914,640,101778.16,91600.35,14233.69,8642.26,25898.4,127676.56
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200106,M12-EPDM GASKET 27,7654,5763,4334,594,3179,472,330,150908.75,135817.88,22772.19,9306.11,62678.2,213586.95
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200120,M10-BFG GASKET 01,11155,7845,6778,1700,3327,510,357,477792.79,430013.52,63754.4,21844.4,142502.61,620295.41
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200123,M6-FKM GASKET 04,2032,1308,1676,114,2266,134,94,54507.67,49056.9,9140.19,3594.5,60784.63,115292.3
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200126,M18-AFLAS GASKET 07,9790,8063,3499,1909,3476,169,118,312314.49,281083.04,28673.33,5391.33,110889.19,423203.68
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200130,M12-EPDM GASKET 11,740,654,226,83,1417,145,102,39117.31,35205.58,5027.9,7664.88,74904.37,114021.68
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200132,M20-SILI GASKET 13,1370,1140,1198,100,1695,670,469,74500.09,67050.08,4133.17,36434.35,92173.47,166673.56
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200135,M22-NBR GASKET 16,2129,1824,1460,199,1404,457,320,105739.46,95165.51,15578.9,22697.48,69731.42,175470.88
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200138,M12-EPDM GASKET 19,6807,4707,5758,1138,2592,709,496,93677.89,84310.1,18399.6,9757.25,35671.09,129348.97
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200139,M6-FKM GASKET 20,2181,1091,1352,171,1221,1054,738,125027.08,112524.37,16574.93,60421.16,69994.53,195021.6
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200141,M14-HNBR GASKET 22,5941,4929,3204,678,3302,666,466,58193.1,52373.79,7149.91,6523.58,32343.65,90536.75
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200148,M20-SILI GASKET 29,699,617,579,91,1106,477,334,40896.62,36806.96,3215.73,27907.99,64709.1,105605.72
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200159,M22-NBR GASKET 40,10436,9745,7396,1926,1485,172,120,289093.68,260184.31,29207.51,4764.67,41136.85,330230.53
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200160,M10-BFG GASKET 01,1796,1279,1105,22,2233,1032,722,42632.64,38369.37,2959.8,24497.15,53005.95,95638.58
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200162,M12-EPDM GASKET 03,7469,3941,6174,347,2087,359,251,376104.08,338493.67,35977.9,18077.57,105091.61,481195.68
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200164,M20-SILI GASKET 05,2155,1993,1502,349,1561,958,671,59728.53,53755.68,3691.49,26552.17,43265.07,102993.6
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200166,M18-AFLAS GASKET 07,397,326,237,23,306,419,293,20543.05,18488.75,3948.21,21681.46,15834.19,36377.25
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200175,M22-NBR GASKET 16,8596,6945,4652,105,1697,519,363,442586.9,398328.21,34424.92,26722.03,87374.36,529961.25
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200184,M10-BFG GASKET 25,8771,7408,4801,1386,2723,863,604,29130.53,26217.48,1680.16,2866.22,9043.72,38174.25
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200185,M8-NBR GASKET 26,4395,2538,1914,684,2145,966,676,115156.2,103640.58,15909.34,25310.78,56202.51,171358.71
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200193,M8-NBR GASKET 34,5660,4605,3295,223,610,309,216,213028.92,191726.03,39351.48,11630.02,22958.95,235987.87
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200194,M12-EPDM GASKET 35,10049,7470,4019,24,2062,578,405,477234.2,429510.78,24097.26,27449.63,97925.86,575160.06
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200196,M20-SILI GASKET 37,8755,4815,5381,528,1998,161,113,56964.8,51268.32,10668.8,1047.55,13000.08,69964.88
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200200,M10-BFG GASKET 01,5438,4219,4276,694,801,745,522,319484.46,287536.02,24538.58,43769.02,47059.04,366543.5
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200201,M8-NBR GASKET 02,8084,5940,5188,1137,1341,463,324,212756.77,191481.09,13405.03,12185.35,35292.78,248049.55
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200205,M14-HNBR GASKET 06,4832,2838,3846,693,3051,751,526,33261.09,29934.98,2196.58,5169.51,21001.57,54262.65
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200210,M12-EPDM GASKET 11,9048,6861,6896,1746,1709,77,54,201186.05,181067.45,39592.75,1712.13,38000.33,239186.38
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200213,M14-HNBR GASKET 14,8473,4408,6461,1422,1777,175,122,178785.89,160907.3,35601.31,3692.62,37495.87,216281.76
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200216,M10-BFG GASKET 17,5316,2779,2542,976,1309,628,440,39268.5,35341.65,3525.79,4638.94,9669.39,48937.89
P01,NW05,Northwind Pacific,2026.04.03,OPS-M20-SILI,MAT-200228,M20-SILI GASKET 29,11415,7819,9978,1517,1595,769,538,271932.53,244739.28,19805.19,18319.41,37996.71,309929.24
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200230,M18-AFLAS GASKET 31,399,230,187,58,3172,238,167,2810.24,2529.22,410.75,1676.28,22341.05,25151.29
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200241,M8-NBR GASKET 02,4813,4438,3550,594,3239,797,558,222371.11,200134.0,21689.8,36823.14,149648.87,372019.98
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200247,M22-NBR GASKET 08,2657,2007,1667,367,3336,108,76,15651.02,14085.92,2959.12,636.17,19650.67,35301.69
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200248,M10-BFG GASKET 09,9976,8154,6928,1646,3042,633,443,198718.98,178847.08,24344.96,12609.17,60595.74,259314.72
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200266,M12-EPDM GASKET 27,203,102,161,25,2437,981,687,11491.42,10342.28,1025.42,55532.45,137953.7,149445.13
P01,NW05,Northwind Pacific,2026.04.03,OPS-M8-NBR,MAT-200273,M8-NBR GASKET 34,7878,4117,2868,1321,2547,220,154,423828.61,381445.74,57009.97,11835.78,137026.08,560854.68
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200274,M12-EPDM GASKET 35,6672,5931,3600,1100,2381,453,317,330412.72,297371.45,38852.35,22433.6,117912.57,448325.29
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200275,M6-FKM GASKET 36,4567,2319,1944,881,2829,180,126,62254.81,56029.33,3916.8,2453.66,38563.36,100818.16
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200277,M14-HNBR GASKET 38,6532,4676,2507,1249,506,679,475,346005.54,311404.99,28640.32,35967.2,26803.25,372808.79
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200279,M22-NBR GASKET 40,11421,9106,5055,872,1110,302,211,604645.27,544180.74,95405.03,15988.34,58765.1,663410.37
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200293,M14-HNBR GASKET 14,8412,6784,6261,973,623,976,683,398708.17,358837.35,40884.05,46260.01,29528.67,428236.84
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200296,M10-BFG GASKET 17,10144,9138,8588,44,237,437,306,541677.97,487510.17,73814.22,23335.3,12655.53,554333.49
P01,NW05,Northwind Pacific,2026.04.03,OPS-M6-FKM,MAT-200307,M6-FKM GASKET 28,3436,2469,2822,370,468,1155,808,134802.0,121321.8,21742.83,45313.25,18360.69,153162.7
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200309,M14-HNBR GASKET 30,1239,873,779,11,543,107,75,72670.29,65403.26,7156.76,6275.8,31848.24,104518.52
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200312,M10-BFG GASKET 33,11180,9432,5564,628,1598,95,66,111555.82,100400.24,7945.53,947.93,15945.1,127500.92
P01,NW05,Northwind Pacific,2026.04.03,OPS-M22-NBR,MAT-200319,M22-NBR GASKET 40,9661,9054,3369,835,758,968,678,477795.24,430015.71,78372.51,47873.49,37487.71,515282.95
P01,NW05,Northwind Pacific,2026.04.03,OPS-M12-EPDM,MAT-200322,M12-EPDM GASKET 03,3359,2535,1583,638,3024,878,615,35162.0,31645.8,3746.9,9190.9,31655.22,66817.22
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200333,M14-HNBR GASKET 14,8489,4942,3224,1270,670,1110,777,314714.77,283243.3,62444.71,41151.3,24839.07,339553.85
P01,NW05,Northwind Pacific,2026.04.03,OPS-M18-AFLAS,MAT-200342,M18-AFLAS GASKET 23,1430,718,711,279,2262,370,259,8788.35,7909.52,1103.73,2273.91,13901.58,22689.93
P01,NW05,Northwind Pacific,2026.04.03,OPS-M14-HNBR,MAT-200349,M14-HNBR GASKET 30,6509,4464,5404,735,2927,858,601,227802.66,205022.4,16109.3,30028.37,102439.45,330242.11
P01,NW05,Northwind Pacific,2026.04.03,OPS-M10-BFG,MAT-200352,M10-BFG GASKET 33,1775,968,643,297,2313,688,482,17713.69,15942.32,1650.36,6865.93,23082.68,40796.37
