Connector,Plant,Type,Sap code,Material description,Total QTY,Tool No.,Work center,Group,Cycle times Standard Value (Machine),OPS plan GD,Rev no,Material Status
NW02_MAT-100798,NW02,Plates,MAT-100798,PRO-9X/PL.49 304TL 0.5mm,52804,T-70054-A,PRESS_3,N/50773511,1.741,282287,B,Active
NW02_MAT-100800,NW02,Plates,MAT-100800,MX100/PL.01 304TL 0.5mm,79799,T-70645-C,,N/59633548,1.479,128530,C,Active
NW02_MAT-100802,NW02,Plates,MAT-100802,MX250/PL.03 304TL 0.6mm,21101,T-70004-D,PRESS_4,N/51509377,1.37,36354,A,Active
NW02_MAT-100804,NW02,Plates,MAT-100804,S62/PL.05 304TL 0.4mm,161827,T-70603-C,PRESS_4,N/57880441,1.492,270517,B,Active
NW02_MAT-100813,NW02,Plates,MAT-100813,MX200/PL.14 304TL 0.8mm,40418,T-70044-C,ASSY_1,N/52484599,0.935,79737,A,Active
NW02_MAT-100814,NW02,Plates,MAT-100814,MX250/PL.15 304TL 0.5mm,137197,T-70633-D,ASSY_1,N/53126247,1.22,154046,C,Active
NW02_MAT-100817,NW02,Plates,MAT-100817,S120/PL.18 304TL 0.5mm,49090,T-70583-D,EXTRUSION_1,N/59404794,1.254,196061,B,Active
NW02_MAT-100822,NW02,Plates,MAT-100822,PRO-9X/PL.23 304TL 0.7mm,72521,T-70244-B,ASSY_1,N/52324086,1.788,64176,A,Active
NW02_MAT-100825,NW02,Plates,MAT-100825,MX200/PL.26 304TL 0.4mm,79076,T-70052-A,EXTRUSION_1,N/55863861,1.026,142732,B,Active
NW02_MAT-100826,NW02,Plates,MAT-100826,MX250/PL.27 304TL 0.3mm,52895,T-70044-C,ASSY_1,N/58731100,1.285,139872,C,Active
NW02_MAT-100831,NW02,Plates,MAT-100831,S160/PL.32 304TL 0.7mm,102887,T-70482-B,PRESS_5,N/59591203,1.464,146888,A,Active
NW02_MAT-100835,NW02,Plates,MAT-100835,PRO-12X/PL.36 304TL 0.5mm,126882,T-70398-C,PRESS_3,N/52552743,1.462,213920,B,Active
NW02_MAT-100836,NW02,Plates,MAT-100836,MX100/PL.37 304TL 0.3mm,98091,T-70425-D,PRESS_4,N/56781712,1.126,79081,B,Active
NW02_MAT-100838,NW02,Plates,MAT-100838,MX250/PL.39 304TL 0.5mm,115820,T-70460-A,PRESS_4,N/59365038,1.211,317674,A,Active
NW02_MAT-100841,NW02,Plates,MAT-100841,S120/PL.42 304TL 0.3mm,227322,T-70679-B,PRESS_6,N/55058252,1.074,205135,C,Active
NW02_MAT-100845,NW02,Plates,MAT-100845,XL520/PL.46 304TL 0.6mm,218220,T-70390-D,PRESS_5,N/52158740,1.948,261013,B,Active
NW02_MAT-100848,NW02,Plates,MAT-100848,MX100/PL.49 304TL 0.4mm,199406,T-70339-D,EXTRUSION_1,N/50997903,1.443,139163,C,Phase-out
NW02_MAT-100861,NW02,Plates,MAT-100861,MX200/PL.12 304TL 0.7mm,147749,T-70407-D,EXTRUSION_1,N/50993409,1.02,57242,C,Active
NW02_MAT-100867,NW02,Plates,MAT-100867,S160/PL.18 304TL 0.8mm,61775,T-70554-B,EXTRUSION_1,N/53659076,1.422,211833,B,Active
NW02_MAT-100868,NW02,Plates,MAT-100868,XL420/PL.19 304TL 0.5mm,91707,T-70540-C,PRESS_6,N/52914826,1.918,171049,A,Active
NW02_MAT-100869,NW02,Plates,MAT-100869,XL520/PL.20 304TL 0.4mm,48224,T-70540-C,PRESS_5,N/54968157,2.285,265326,C,Active
NW02_MAT-100870,NW02,Plates,MAT-100870,PRO-9X/PL.21 304TL 0.5mm,96563,T-70653-A,PRESS_6,N/59174780,1.553,134284,A,Active
NW02_MAT-100872,NW02,Plates,MAT-100872,MX100/PL.23 304TL 0.6mm,4591,T-70597-B,PRESS_4,N/58621842,1.013,237064,A,Active
NW02_MAT-100874,NW02,Plates,MAT-100874,MX250/PL.25 304TL 0.5mm,144995,T-70685-D,LATHE_1,N/52073630,1.329,273935,A,Active
NW02_MAT-100875,NW02,Plates,MAT-100875,HT80/PL.26 304TL 0.5mm,226381,T-70381-D,,N/51301329,2.172,268792,A,Phase-out
NW02_MAT-100888,NW02,Plates,MAT-100888,S62/PL.39 304TL 0.3mm,2253,T-70523-B,PRESS_5,N/56343447,1.456,204090,B,Active
NW02_MAT-100890,NW02,Plates,MAT-100890,S140/PL.41 304TL 0.5mm,126440,T-70242-A,LATHE_1,N/51894206,1.271,52071,A,Active
NW02_MAT-100894,NW02,Plates,MAT-100894,PRO-9X/PL.45 304TL 0.8mm,214130,T-70667-C,PRESS_3,N/53143742,1.66,269385,A,Active
NW02_MAT-100895,NW02,Plates,MAT-100895,PRO-12X/PL.46 304TL 0.7mm,212566,T-70163-D,PRESS_5,N/55206237,1.833,48065,B,Active
NW02_MAT-100896,NW02,Plates,MAT-100896,MX100/PL.47 304TL 0.6mm,131422,T-70422-A,PRESS_2,N/59882028,1.042,193147,A,Phase-out
NW02_MAT-100907,NW02,Plates,MAT-100907,PRO-12X/PL.08 304TL 0.6mm,174141,T-70563-B,PRESS_2,N/54813153,1.468,272921,C,Active
NW02_MAT-100909,NW02,Plates,MAT-100909,MX200/PL.10 304TL 0.6mm,168086,T-70499-D,PRESS_4,N/53386659,1.154,247864,B,Active
NW02_MAT-100921,NW02,Plates,MAT-100921,MX200/PL.22 304TL 0.4mm,122612,T-70461-B,EXTRUSION_1,N/52085187,1.043,114180,A,Phase-out
NW02_MAT-100922,NW02,Plates,MAT-100922,MX250/PL.23 304TL 0.7mm,255550,T-70685-D,PRESS_1,N/55695993,1.332,269048,A,Active
NW02_MAT-100924,NW02,Plates,MAT-100924,S62/PL.25 304TL 0.3mm,252177,T-70120-B,PRESS_5,N/58341383,1.287,111051,A,Active
NW02_MAT-100931,NW02,Plates,MAT-100931,PRO-12X/PL.32 304TL 0.4mm,55606,T-70581-A,PRESS_6,N/50151870,1.404,75595,C,Active
NW02_MAT-100932,NW02,Plates,MAT-100932,MX100/PL.33 304TL 0.8mm,5702,T-70410-B,PRESS_4,N/59961436,0.917,124718,A,Active
NW02_MAT-100942,NW02,Plates,MAT-100942,PRO-9X/PL.43 304TL 0.5mm,24793,T-70424-C,PRESS_3,N/59088284,1.943,72518,B,Phase-out
NW02_MAT-100944,NW02,Plates,MAT-100944,MX100/PL.45 304TL 0.6mm,201626,T-70576-A,LATHE_1,N/57234629,1.499,59233,B,Active
NW02_MAT-100951,NW02,Plates,MAT-100951,S160/PL.02 304TL 0.6mm,162569,T-70248-B,PRESS_6,N/59130755,1.456,163469,C,Active
NW02_MAT-100956,NW02,Plates,MAT-100956,MX100/PL.07 304TL 0.6mm,10526,T-70142-D,PRESS_4,N/58589114,0.995,131191,B,Active
NW02_MAT-100965,NW02,Plates,MAT-100965,XL520/PL.16 304TL 0.4mm,209497,T-70551-B,PRESS_6,N/59058495,2.596,160081,C,Active
NW02_MAT-100966,NW02,Plates,MAT-100966,PRO-9X/PL.17 304TL 0.7mm,8035,T-70217-B,PRESS_6,N/55439642,1.241,75381,B,Active
NW02_MAT-100969,NW02,Plates,MAT-100969,MX200/PL.20 304TL 0.5mm,145383,T-70413-C,PRESS_2,N/54906661,1.184,171329,A,Active
NW02_MAT-100972,NW02,Plates,MAT-100972,S62/PL.23 304TL 0.5mm,164465,T-70020-C,PRESS_6,N/51091314,1.207,6270,B,Active
NW02_MAT-100976,NW02,Plates,MAT-100976,XL420/PL.27 304TL 0.3mm,251495,T-70520-B,PRESS_6,N/51223716,2.33,133413,B,Active
NW02_MAT-100980,NW02,Plates,MAT-100980,MX100/PL.31 304TL 0.3mm,21888,T-70507-A,PRESS_3,N/59865921,0.932,23959,A,Active
NW02_MAT-100983,NW02,Plates,MAT-100983,HT80/PL.34 304TL 0.8mm,207375,T-70292-C,PRESS_6,N/52700329,2.104,60540,A,Active
NW02_MAT-100986,NW02,Plates,MAT-100986,S140/PL.37 304TL 0.4mm,42849,T-70654-A,GRINDING_1,N/53460216,1.093,109379,A,Phase-out
NW02_MAT-100987,NW02,Plates,MAT-100987,S160/PL.38 304TL 0.7mm,211563,T-70388-C,PRESS_1,N/58053123,1.413,148374,A,Active
NW02_MAT-101003,NW02,Plates,MAT-101003,PRO-12X/PL.04 304TL 0.6mm,169370,T-70479-A,ASSY_1,N/53247185,1.712,80176,A,Active
NW02_MAT-101008,NW02,Plates,MAT-101008,S62/PL.09 304TL 0.3mm,116529,T-70566-A,PRESS_5,N/54095676,1.268,4695,A,Active
NW02_MAT-101012,NW02,Plates,MAT-101012,XL420/PL.13 304TL 0.7mm,239598,T-70167-C,PRESS_5,N/56548524,2.694,170075,C,Phase-out
NW02_MAT-101014,NW02,Plates,MAT-101014,PRO-9X/PL.15 304TL 0.4mm,253224,T-70601-B,ASSY_1,N/53922742,1.336,20221,A,Active
NW02_MAT-101016,NW02,Plates,MAT-101016,MX100/PL.17 304TL 0.5mm,235749,T-70308-A,EXTRUSION_1,N/51931175,1.17,112461,B,Active
NW02_MAT-101022,NW02,Plates,MAT-101022,S140/PL.23 304TL 0.6mm,59517,T-70537-D,PRESS_3,N/55928758,1.1,5473,A,Active
NW02_MAT-101025,NW02,Plates,MAT-101025,XL520/PL.26 304TL 0.5mm,176587,T-70652-C,PRESS_6,N/50703864,1.783,196197,A,Active
NW02_MAT-101029,NW02,Plates,MAT-101029,MX200/PL.30 304TL 0.6mm,118730,T-70068-C,PRESS_4,N/51694272,1.001,15597,B,Active
NW02_MAT-101031,NW02,Plates,MAT-101031,HT80/PL.32 304TL 0.6mm,193088,T-70553-C,PRESS_5,N/55754027,2.057,190604,A,Phase-out
NW02_MAT-101033,NW02,Plates,MAT-101033,S120/PL.34 304TL 0.4mm,132055,T-70042-D,PRESS_2,N/57900755,1.57,70425,B,Active
NW02_MAT-101036,NW02,Plates,MAT-101036,XL420/PL.37 304TL 0.5mm,201557,T-70506-D,PRESS_6,N/52248013,2.604,256506,C,Active
NW02_MAT-101037,NW02,Plates,MAT-101037,XL520/PL.38 304TL 0.8mm,254451,T-70106-B,PRESS_6,N/53428399,1.736,153240,B,Active
NW02_MAT-101045,NW02,Plates,MAT-101045,S120/PL.46 304TL 0.6mm,239654,T-70469-A,PRESS_5,N/56640678,1.17,308917,A,Active
NW02_MAT-101057,NW02,Plates,MAT-101057,S120/PL.08 304TL 0.4mm,102399,T-70187-C,PRESS_5,N/57437433,1.529,298328,C,Phase-out
NW02_MAT-101058,NW02,Plates,MAT-101058,S140/PL.09 304TL 0.6mm,12291,T-70228-A,,N/55807708,1.46,65152,A,Phase-out
NW02_MAT-101061,NW02,Plates,MAT-101061,XL520/PL.12 304TL 0.6mm,222409,T-70556-A,PRESS_5,N/51160577,1.739,122155,A,Active
NW02_MAT-101065,NW02,Plates,MAT-101065,MX200/PL.16 304TL 0.5mm,138491,T-70021-D,PRESS_3,N/52707626,1.03,226005,B,Active
NW02_MAT-101068,NW02,Plates,MAT-101068,S62/PL.19 304TL 0.6mm,230598,T-70182-A,PRESS_4,N/59456116,1.217,231016,A,Active
NW02_MAT-101074,NW02,Plates,MAT-101074,PRO-9X/PL.25 304TL 0.7mm,49332,T-70610-C,PRESS_5,N/54307171,1.76,206642,B,Active
NW02_MAT-101078,NW02,Plates,MAT-101078,MX250/PL.29 304TL 0.7mm,80705,T-70608-D,PRESS_4,N/56546635,0.946,172571,B,Active
NW02_MAT-101084,NW02,Plates,MAT-101084,XL420/PL.35 304TL 0.5mm,41314,T-70632-A,PRESS_6,N/57877075,2.239,160793,C,Phase-out
NW02_MAT-101087,NW02,Plates,MAT-101087,PRO-12X/PL.38 304TL 0.6mm,245776,T-70544-D,PRESS_4,N/59126670,1.515,260567,A,Active
NW02_MAT-101088,NW02,Plates,MAT-101088,MX100/PL.39 304TL 0.6mm,140774,T-70430-A,PRESS_4,N/58089960,0.955,121172,B,Active
NW02_MAT-101090,NW02,Plates,MAT-101090,MX250/PL.41 304TL 0.7mm,123082,T-70011-C,PRESS_2,N/57239547,0.903,152600,C,Active
NW02_MAT-101092,NW02,Plates,MAT-101092,S62/PL.43 304TL 0.4mm,144725,T-70184-B,PRESS_1,N/58971332,0.975,317450,C,Phase-out
NW02_MAT-101094,NW02,Plates,MAT-101094,S140/PL.45 304TL 0.3mm,204018,T-70649-D,LATHE_1,N/53545050,1.395,241116,C,Active
NW02_MAT-101097,NW02,Plates,MAT-101097,XL520/PL.48 304TL 0.3mm,235465,T-70571-A,PRESS_5,N/54839175,1.625,223737,A,Active
NW02_MAT-101098,NW02,Plates,MAT-101098,PRO-9X/PL.49 304TL 0.3mm,259800,T-70272-D,PRESS_3,N/56061149,1.413,35697,C,Active
NW02_MAT-101099,NW02,Plates,MAT-101099,PRO-12X/PL.50 304TL 0.3mm,190512,T-70649-D,PRESS_2,N/51640608,1.239,277415,A,Active
NW02_MAT-101104,NW02,Plates,MAT-101104,S62/PL.05 304TL 0.5mm,151748,T-70274-C,PRESS_5,N/57491445,1.387,64460,B,Active
NW02_MAT-101114,NW02,Plates,MAT-101114,MX250/PL.15 304TL 0.6mm,99069,T-70047-C,PRESS_4,N/51860026,0.924,135670,B,Phase-out
NW02_MAT-101133,NW02,Plates,MAT-101133,XL520/PL.34 304TL 0.7mm,52389,T-70050-D,PRESS_5,N/53998660,2.151,193294,A,Active
NW02_MAT-101141,NW02,Plates,MAT-101141,S120/PL.42 304TL 0.7mm,2766,T-70122-B,PRESS_5,N/52093123,1.364,74449,C,Active
NW02_MAT-101145,NW02,Plates,MAT-101145,XL520/PL.46 304TL 0.8mm,207250,T-70564-A,PRESS_6,N/50662440,1.836,226155,C,Phase-out
NW02_MAT-101147,NW02,Plates,MAT-101147,PRO-12X/PL.48 304TL 0.8mm,25912,T-70618-B,GRINDING_1,N/57451508,1.42,261076,B,Active
NW02_MAT-101149,NW02,Plates,MAT-101149,MX200/PL.50 304TL 0.7mm,159120,T-70366-B,PRESS_2,N/53308459,1.406,127062,B,Active
NW02_MAT-101155,NW02,Plates,MAT-101155,S160/PL.06 304TL 0.7mm,29332,T-70057-D,EXTRUSION_1,N/58514191,1.345,158293,C,Phase-out
NW02_MAT-101157,NW02,Plates,MAT-101157,XL520/PL.08 304TL 0.4mm,257278,T-70076-D,PRESS_5,N/50350010,1.956,172742,A,Active
NW02_MAT-101158,NW02,Plates,MAT-101158,PRO-9X/PL.09 304TL 0.4mm,16628,T-70697-C,GRINDING_1,N/51420725,1.318,189014,A,Active
NW02_MAT-101159,NW02,Plates,MAT-101159,PRO-12X/PL.10 304TL 0.6mm,97268,T-70665-A,EXTRUSION_1,N/52046202,1.712,37259,C,Active
NW02_MAT-101168,NW02,Plates,MAT-101168,XL420/PL.19 304TL 0.4mm,238240,T-70372-C,PRESS_5,N/57413747,1.727,191156,B,Active
NW02_MAT-101169,NW02,Plates,MAT-101169,XL520/PL.20 304TL 0.4mm,79681,T-70581-A,PRESS_6,N/52962583,2.542,65119,C,Active
NW02_MAT-101171,NW02,Plates,MAT-101171,PRO-12X/PL.22 304TL 0.5mm,234738,T-70190-C,ASSY_1,N/52297518,1.451,114923,C,Active
NW02_MAT-101176,NW02,Plates,MAT-101176,S62/PL.27 304TL 0.3mm,194855,T-70194-A,PRESS_1,N/53776216,1.2,255136,B,Active
NW02_MAT-101178,NW02,Plates,MAT-101178,S140/PL.29 304TL 0.4mm,111417,T-70204-D,ASSY_1,N/55072102,1.349,148332,B,Phase-out
NW02_MAT-101183,NW02,Plates,MAT-101183,PRO-12X/PL.34 304TL 0.4mm,233052,T-70440-B,LATHE_1,N/52677877,1.81,167193,B,Phase-out
NW02_MAT-101186,NW02,Plates,MAT-101186,MX250/PL.37 304TL 0.6mm,72723,T-70009-C,PRESS_4,N/52924098,1.257,238868,A,Active
NW02_MAT-101189,NW02,Plates,MAT-101189,S120/PL.40 304TL 0.5mm,141714,T-70093-B,EXTRUSION_1,N/54037331,1.019,87674,D,Active
NW02_MAT-101191,NW02,Plates,MAT-101191,S160/PL.42 304TL 0.4mm,222905,T-70601-B,ASSY_1,N/53893032,1.499,57976,A,Active
NW02_MAT-101194,NW02,Plates,MAT-101194,PRO-9X/PL.45 304TL 0.6mm,210064,T-70023-A,ASSY_1,N/59338320,1.239,102364,C,Active
NW02_MAT-101195,NW02,Plates,MAT-101195,PRO-12X/PL.46 304TL 0.6mm,1004,T-70322-D,PRESS_3,N/57523841,1.713,9557,A,Active
NW02_MAT-101196,NW02,Plates,MAT-101196,MX100/PL.47 304TL 0.3mm,25661,T-70288-A,PRESS_2,N/53351206,1.301,84531,A,Active
NW02_MAT-101203,NW02,Plates,MAT-101203,S160/PL.04 304TL 0.7mm,227744,T-70343-A,PRESS_4,N/59958027,1.098,74239,B,Active
NW02_MAT-101204,NW02,Plates,MAT-101204,XL420/PL.05 304TL 0.6mm,15466,T-70048-D,PRESS_6,N/51924766,1.988,317075,B,Active
NW02_MAT-101208,NW02,Plates,MAT-101208,MX100/PL.09 304TL 0.8mm,67407,T-70338-B,ASSY_1,N/50537002,1.379,251288,B,Active
NW02_MAT-101209,NW02,Plates,MAT-101209,MX200/PL.10 304TL 0.6mm,214020,T-70306-C,ASSY_1,N/57722780,1.142,272464,B,Active
NW02_MAT-101214,NW02,Plates,MAT-101214,S140/PL.15 304TL 0.6mm,62467,T-70384-D,PRESS_6,N/54635408,1.506,98452,C,Active
NW02_MAT-101221,NW02,Plates,MAT-101221,MX200/PL.22 304TL 0.5mm,46300,T-70204-D,ASSY_1,N/59545580,1.145,112329,A,Active
NW02_MAT-101222,NW02,Plates,MAT-101222,MX250/PL.23 304TL 0.7mm,125465,T-70123-A,EXTRUSION_1,N/54465792,1.25,97173,B,Active
NW02_MAT-101223,NW02,Plates,MAT-101223,HT80/PL.24 304TL 0.5mm,184260,T-70698-A,PRESS_6,N/57373336,1.515,137637,A,Active
NW02_MAT-101224,NW02,Plates,MAT-101224,S62/PL.25 304TL 0.6mm,104969,T-70682-D,PRESS_6,N/53967219,1.05,72889,C,Active
NW02_MAT-101225,NW02,Plates,MAT-101225,S120/PL.26 304TL 0.3mm,257285,T-70530-B,GRINDING_1,N/57814508,1.45,171722,C,Active
NW02_MAT-101232,NW02,Plates,MAT-101232,MX100/PL.33 304TL 0.6mm,46913,T-70367-C,PRESS_3,N/51905500,1.351,180802,C,Active
NW02_MAT-101236,NW02,Plates,MAT-101236,S62/PL.37 304TL 0.4mm,77442,T-70482-B,PRESS_5,N/50504395,1.075,304727,B,Phase-out
NW02_MAT-101238,NW02,Plates,MAT-101238,S140/PL.39 304TL 0.8mm,101661,T-70017-B,EXTRUSION_1,N/52704007,1.009,244495,A,Active
NW02_MAT-101243,NW02,Plates,MAT-101243,PRO-12X/PL.44 304TL 0.7mm,170041,T-70650-B,PRESS_1,N/51000257,1.34,286377,D,Active
NW02_MAT-101245,NW02,Plates,MAT-101245,MX200/PL.46 304TL 0.8mm,198810,T-70244-B,LATHE_1,N/55492657,1.139,155425,A,Active
NW02_MAT-101248,NW02,Plates,MAT-101248,S62/PL.49 304TL 0.6mm,31368,T-70339-D,EXTRUSION_1,N/51439355,1.206,207909,C,Active
NW02_MAT-101256,NW02,Plates,MAT-101256,MX100/PL.07 304TL 0.6mm,174662,T-70157-C,ASSY_1,N/57510753,1.114,5203,B,Active
NW02_MAT-101259,NW02,Plates,MAT-101259,HT80/PL.10 304TL 0.5mm,126792,T-70689-C,PRESS_6,N/59870118,1.981,221567,D,Active
NW02_MAT-101260,NW02,Plates,MAT-101260,S62/PL.11 304TL 0.5mm,105621,T-70216-A,GRINDING_1,N/52237423,0.911,88176,A,Phase-out
NW02_MAT-101261,NW02,Plates,MAT-101261,S120/PL.12 304TL 0.6mm,91421,T-70221-D,ASSY_1,N/54999548,1.51,112061,C,Active
NW02_MAT-101262,NW02,Plates,MAT-101262,S140/PL.13 304TL 0.7mm,44486,T-70292-C,PRESS_6,N/54082287,1.316,131574,C,Active
NW02_MAT-101268,NW02,Plates,MAT-101268,MX100/PL.19 304TL 0.7mm,9203,T-70530-B,LATHE_1,N/56892036,1.36,72993,A,Active
NW02_MAT-101275,NW02,Plates,MAT-101275,S160/PL.26 304TL 0.4mm,169008,T-70485-C,PRESS_6,N/54970829,1.54,189867,A,Active
NW02_MAT-101277,NW02,Plates,MAT-101277,XL520/PL.28 304TL 0.7mm,105505,T-70384-D,PRESS_5,N/53624090,2.013,41120,A,Active
NW02_MAT-101289,NW02,Plates,MAT-101289,XL520/PL.40 304TL 0.6mm,156230,T-70250-A,PRESS_6,N/58170262,1.689,218125,A,Active
NW02_MAT-101296,NW02,Plates,MAT-101296,S62/PL.47 304TL 0.4mm,37388,T-70662-A,PRESS_5,N/51657706,1.335,153693,A,Active
NW02_MAT-101297,NW02,Plates,MAT-101297,S120/PL.48 304TL 0.6mm,3039,T-70339-D,EXTRUSION_1,N/51133311,1.426,198823,A,Phase-out
NW02_MAT-101298,NW02,Plates,MAT-101298,S140/PL.49 304TL 0.7mm,91237,T-70547-D,EXTRUSION_1,N/58814484,1.043,204524,A,Active
NW02_MAT-101300,NW02,Plates,MAT-101300,XL420/PL.01 304TL 0.7mm,185189,T-70096-D,PRESS_6,N/56607115,2.361,82935,A,Active
NW02_MAT-101304,NW02,Plates,MAT-101304,MX100/PL.05 304TL 0.7mm,61578,T-70178-D,GRINDING_1,N/56015653,1.462,289775,B,Active
NW02_MAT-101305,NW02,Plates,MAT-101305,MX200/PL.06 304TL 0.6mm,107410,T-70074-B,LATHE_1,N/52160283,1.114,154371,B,Active
NW02_MAT-101311,NW02,Plates,MAT-101311,S160/PL.12 304TL 0.7mm,244517,T-70133-C,GRINDING_1,N/51520448,1.093,281563,B,Active
NW02_MAT-101314,NW02,Plates,MAT-101314,PRO-9X/PL.15 304TL 0.5mm,148836,T-70410-B,EXTRUSION_1,N/59284999,1.465,63082,C,Phase-out
NW02_MAT-101323,NW02,Plates,MAT-101323,S160/PL.24 304TL 0.7mm,69412,T-70221-D,ASSY_1,N/51950045,1.152,293126,C,Active
NW02_MAT-101325,NW02,Plates,MAT-101325,XL520/PL.26 304TL 0.5mm,116584,T-70225-C,PRESS_5,N/52083655,2.369,203329,C,Active
NW02_MAT-101329,NW02,Plates,MAT-101329,MX200/PL.30 304TL 0.6mm,78154,T-70673-C,LATHE_1,N/57498590,1.137,134143,B,Active
NW02_MAT-101330,NW02,Plates,MAT-101330,MX250/PL.31 304TL 0.4mm,69729,T-70589-B,GRINDING_1,N/51347899,1.342,165736,A,Active
NW02_MAT-101338,NW02,Plates,MAT-101338,PRO-9X/PL.39 304TL 0.6mm,59095,T-70204-D,ASSY_1,N/52227424,1.531,149618,C,Active
NW02_MAT-101340,NW02,Plates,MAT-101340,MX100/PL.41 304TL 0.4mm,169651,T-70023-A,PRESS_2,N/52742774,1.492,184494,D,Active
NW02_MAT-101341,NW02,Plates,MAT-101341,MX200/PL.42 304TL 0.4mm,230801,T-70194-A,ASSY_1,N/55206143,1.056,280526,A,Phase-out
NW02_MAT-101349,NW02,Plates,MAT-101349,XL520/PL.50 304TL 0.8mm,102945,T-70136-C,PRESS_5,N/58904738,2.107,286957,A,Phase-out
NW02_MAT-101350,NW02,Plates,MAT-101350,PRO-9X/PL.01 304TL 0.5mm,63657,T-70402-D,PRESS_6,N/53427876,1.916,52237,A,Active
NW02_MAT-101357,NW02,Plates,MAT-101357,S120/PL.08 304TL 0.5mm,31510,T-70402-D,PRESS_5,N/55021254,1.442,41523,C,Active
NW02_MAT-101363,NW02,Plates,MAT-101363,PRO-12X/PL.14 304TL 0.5mm,233784,T-70008-A,PRESS_5,N/58805254,1.69,3428,A,Active
NW02_MAT-101364,NW02,Plates,MAT-101364,MX100/PL.15 304TL 0.4mm,188303,T-70591-C,PRESS_3,N/56112128,0.906,220343,C,Phase-out
NW02_MAT-101366,NW02,Plates,MAT-101366,MX250/PL.17 304TL 0.6mm,12616,T-70501-A,PRESS_1,N/57675560,1.43,262931,A,Active
NW02_MAT-101367,NW02,Plates,MAT-101367,HT80/PL.18 304TL 0.7mm,164679,T-70162-D,PRESS_5,N/50019032,1.766,309419,C,Active
NW02_MAT-101373,NW02,Plates,MAT-101373,XL520/PL.24 304TL 0.7mm,21171,T-70279-C,PRESS_6,N/57312550,1.894,185197,C,Phase-out
NW02_MAT-101380,NW02,Plates,MAT-101380,S62/PL.31 304TL 0.4mm,243778,T-70177-D,ASSY_1,N/52969560,1.231,102511,C,Phase-out
NW02_MAT-101383,NW02,Plates,MAT-101383,S160/PL.34 304TL 0.6mm,23751,T-70313-C,PRESS_4,N/55669767,1.636,12400,B,Active
NW02_MAT-101384,NW02,Plates,MAT-101384,XL420/PL.35 304TL 0.6mm,143454,T-70581-A,PRESS_6,N/57277873,1.756,58713,C,Phase-out
NW02_MAT-101398,NW02,Plates,MAT-101398,PRO-9X/PL.49 304TL 0.5mm,191015,T-70624-D,PRESS_4,N/50392214,1.862,185007,A,Active
NW02_MAT-101399,NW02,Plates,MAT-101399,PRO-12X/PL.50 304TL 0.7mm,81047,T-70456-A,PRESS_5,N/53554004,1.537,81694,C,Active
NW02_MAT-101403,NW02,Plates,MAT-101403,HT80/PL.04 304TL 0.6mm,209291,T-70551-B,PRESS_6,N/57281671,1.423,255877,C,Active
NW02_MAT-101404,NW02,Plates,MAT-101404,S62/PL.05 304TL 0.8mm,244626,T-70686-A,PRESS_4,N/50359094,1.058,209818,C,Phase-out
NW02_MAT-101405,NW02,Plates,MAT-101405,S120/PL.06 304TL 0.5mm,239940,T-70030-C,,N/51282773,1.126,159373,D,Active
NW02_MAT-101410,NW02,Plates,MAT-101410,PRO-9X/PL.11 304TL 0.4mm,92566,T-70649-D,PRESS_2,N/53104714,1.517,289410,B,Active
NW02_MAT-101411,NW02,Plates,MAT-101411,PRO-12X/PL.12 304TL 0.7mm,154823,T-70672-D,PRESS_1,N/55998569,1.327,126555,D,Active
NW02_MAT-101426,NW02,Plates,MAT-101426,MX250/PL.27 304TL 0.7mm,228889,T-70528-B,GRINDING_1,N/55664785,0.902,290298,B,Active
NW02_MAT-101430,NW02,Plates,MAT-101430,S140/PL.31 304TL 0.8mm,123475,T-70680-D,PRESS_3,N/50876896,1.119,265683,A,Active
NW02_MAT-101432,NW02,Plates,MAT-101432,XL420/PL.33 304TL 0.8mm,183028,T-70683-C,PRESS_5,N/55549697,2.686,140623,C,Active
NW02_MAT-101446,NW02,Plates,MAT-101446,PRO-9X/PL.47 304TL 0.5mm,179838,T-70559-D,EXTRUSION_1,N/54844511,1.253,8579,B,Active
NW02_MAT-101447,NW02,Plates,MAT-101447,PRO-12X/PL.48 304TL 0.7mm,119930,T-70247-D,PRESS_2,N/55439433,1.898,175097,A,Phase-out
NW02_MAT-101451,NW02,Plates,MAT-101451,HT80/PL.02 304TL 0.5mm,10929,T-70370-D,PRESS_6,N/56162295,1.397,4362,A,Active
NW02_MAT-101453,NW02,Plates,MAT-101453,S120/PL.04 304TL 0.6mm,162884,T-70039-B,GRINDING_1,N/53050827,1.251,117904,C,Active
NW02_MAT-101454,NW02,Plates,MAT-101454,S140/PL.05 304TL 0.4mm,96731,T-70455-B,PRESS_5,N/55831963,1.611,307583,A,Active
NW02_MAT-101455,NW02,Plates,MAT-101455,S160/PL.06 304TL 0.7mm,39130,T-70572-A,PRESS_4,N/58756062,1.276,216739,B,Active
NW02_MAT-101456,NW02,Plates,MAT-101456,XL420/PL.07 304TL 0.5mm,144309,T-70050-D,PRESS_5,N/59570422,2.284,319167,B,Active
NW02_MAT-101464,NW02,Plates,MAT-101464,S62/PL.15 304TL 0.7mm,140933,T-70084-D,PRESS_1,N/57823977,0.922,14476,D,Active
