Header Material,Component Material,Header Material code,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Component Scrap Factor,Assembly Scrap Factor,Total Scrap Factor,Effective Component Quantity,Plant,Header OPS Group,Component OPS Group,Comp Plate/Gasket,Header Description,Version,Usage,BOM Status
P01_NW02_MAT-200826,P01_NW02_RM-COMP-AFLAS,MAT-200826,RM-COMP-AFLAS,0.522,KG,RUBBER COMPOUND AFLAS,4,0.051,0.015,1.051,1.015,1.0668,0.557,P01_NW02_Northwind Heartland,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 27,1,1,Active
P01_NW02_MAT-200835,P01_NW02_RM-COMP-EPDM,MAT-200835,RM-COMP-EPDM,0.248,KG,RUBBER COMPOUND EPDM80,6,0.016,0.026,1.016,1.026,1.0424,0.259,P01_NW02_Northwind Heartland,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 36,1,1,Active
P01_NW02_MAT-200835,P01_NW02_RM-COMP-AFLAS,MAT-200835,RM-COMP-AFLAS,0.441,KG,RUBBER COMPOUND AFLAS,4,0.035,0.007,1.035,1.007,1.0422,0.46,P01_NW02_Northwind Heartland,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 36,1,1,Active
P01_NW02_MAT-200836,P01_NW02_RM-COMP-EPDM,MAT-200836,RM-COMP-EPDM,0.302,KG,RUBBER COMPOUND EPDM80,8,0.036,0.015,1.036,1.015,1.0515,0.318,P01_NW02_Northwind Heartland,OPS-M20-SILI,RM-COMP,Gaskets,M20-SILI GASKET 37,1,1,Active
P01_NW02_MAT-200846,P01_NW02_RM-COMP-EPDM,MAT-200846,RM-COMP-EPDM,0.231,KG,RUBBER COMPOUND EPDM80,8,0.055,0.025,1.055,1.025,1.0814,0.25,P01_NW02_Northwind Heartland,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 07,1,1,Active
P01_NW02_MAT-200854,P01_NW02_RM-COMP-EPDM,MAT-200854,RM-COMP-EPDM,0.257,KG,RUBBER COMPOUND EPDM80,3,0.014,0.011,1.014,1.011,1.0252,0.263,P01_NW02_Northwind Heartland,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 15,1,1,Active
P01_NW02_MAT-200859,P01_NW02_RM-COMP-SILI,MAT-200859,RM-COMP-SILI,0.352,KG,RUBBER COMPOUND SILICONE,3,0.044,0.029,1.044,1.029,1.0743,0.378,P01_NW02_Northwind Heartland,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 20,1,1,Active
P01_NW02_MAT-200860,P01_NW02_RM-COMP-HNBR,MAT-200860,RM-COMP-HNBR,0.404,KG,RUBBER COMPOUND HNBR60,2,0.039,0.018,1.039,1.018,1.0577,0.427,P01_NW02_Northwind Heartland,OPS-M20-SILI,RM-COMP,Gaskets,M20-SILI GASKET 21,1,1,Active
P01_NW02_MAT-200860,P01_NW02_RM-COMP-SILI,MAT-200860,RM-COMP-SILI,0.29,KG,RUBBER COMPOUND SILICONE,4,0.043,0.015,1.043,1.015,1.0586,0.307,P01_NW02_Northwind Heartland,OPS-M20-SILI,RM-COMP,Gaskets,M20-SILI GASKET 21,1,1,Active
P01_NW02_MAT-200864,P01_NW02_RM-COMP-SILI,MAT-200864,RM-COMP-SILI,0.291,KG,RUBBER COMPOUND SILICONE,3,0.039,0.009,1.039,1.009,1.0484,0.305,P01_NW02_Northwind Heartland,OPS-M10-BFG,RM-COMP,Gaskets,M10-BFG GASKET 25,1,1,Active
P01_NW02_MAT-200866,P01_NW02_RM-COMP-FKM,MAT-200866,RM-COMP-FKM,0.435,KG,RUBBER COMPOUND FKM75,6,0.018,0.018,1.018,1.018,1.0363,0.451,P01_NW02_Northwind Heartland,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 27,1,1,Active
P01_NW02_MAT-200870,P01_NW02_RM-COMP-EPDM,MAT-200870,RM-COMP-EPDM,0.325,KG,RUBBER COMPOUND EPDM80,6,0.012,0.012,1.012,1.012,1.0241,0.333,P01_NW02_Northwind Heartland,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 31,1,1,Active
P01_NW02_MAT-200879,P01_NW02_RM-COMP-AFLAS,MAT-200879,RM-COMP-AFLAS,0.535,KG,RUBBER COMPOUND AFLAS,2,0.031,0.015,1.031,1.015,1.0465,0.56,P01_NW02_Northwind Heartland,OPS-M22-NBR,RM-COMP,Gaskets,M22-NBR GASKET 40,1,1,Active
P01_NW02_MAT-200882,P01_NW02_RM-COMP-FKM,MAT-200882,RM-COMP-FKM,0.492,KG,RUBBER COMPOUND FKM75,6,0.052,0.022,1.052,1.022,1.0751,0.529,P01_NW02_Northwind Heartland,OPS-M12-EPDM,RM-COMP,Gaskets,M12-EPDM GASKET 03,1,1,Active
P01_NW02_MAT-200883,P01_NW02_RM-COMP-SILI,MAT-200883,RM-COMP-SILI,0.27,KG,RUBBER COMPOUND SILICONE,8,0.04,0.027,1.04,1.027,1.0681,0.288,P01_NW02_Northwind Heartland,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 04,1,1,Active
P01_NW02_MAT-200883,P01_NW02_RM-COMP-EPDM,MAT-200883,RM-COMP-EPDM,0.272,KG,RUBBER COMPOUND EPDM80,2,0.022,0.012,1.022,1.012,1.0343,0.281,P01_NW02_Northwind Heartland,OPS-M6-FKM,RM-COMP,Gaskets,M6-FKM GASKET 04,1,1,Active
P01_NW02_MAT-200886,P01_NW02_RM-COMP-EPDM,MAT-200886,RM-COMP-EPDM,0.258,KG,RUBBER COMPOUND EPDM80,2,0.021,0.009,1.021,1.009,1.0302,0.266,P01_NW02_Northwind Heartland,OPS-M18-AFLAS,RM-COMP,Gaskets,M18-AFLAS GASKET 07,1,1,Active
P01_NW02_MAT-200889,P01_NW02_RM-COMP-SILI,MAT-200889,RM-COMP-SILI,0.307,KG,RUBBER COMPOUND SILICONE,3,0.034,0.024,1.034,1.024,1.0588,0.325,P01_NW02_Northwind Heartland,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 10,1,1,Active
P01_NW02_MAT-200889,P01_NW02_RM-COMP-NBR,MAT-200889,RM-COMP-NBR,0.348,KG,RUBBER COMPOUND NBR70,3,0.054,0.009,1.054,1.009,1.0635,0.37,P01_NW02_Northwind Heartland,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 10,1,1,Active
P01_NW02_MAT-200893,P01_NW02_RM-COMP-SILI,MAT-200893,RM-COMP-SILI,0.259,KG,RUBBER COMPOUND SILICONE,4,0.012,0.013,1.012,1.013,1.0252,0.266,P01_NW02_Northwind Heartland,OPS-M14-HNBR,RM-COMP,Gaskets,M14-HNBR GASKET 14,1,1,Active
P01_NW02_MAT-200896,P01_NW02_RM-COMP-SILI,MAT-200896,RM-COMP-SILI,0.312,KG,RUBBER COMPOUND SILICONE,3,0.013,0.009,1.013,1.009,1.0221,0.319,P01_NW02_Northwind Heartland,OPS-M10-BFG,RM-COMP,Gaskets,M10-BFG GASKET 17,1,1,Active
P01_NW02_MAT-200897,P01_NW02_RM-COMP-NBR,MAT-200897,RM-COMP-NBR,0.343,KG,RUBBER COMPOUND NBR70,4,0.012,0.025,1.012,1.025,1.0373,0.356,P01_NW02_Northwind Heartland,OPS-M8-NBR,RM-COMP,Gaskets,M8-NBR GASKET 18,1,1,Active
P01_NW03_MAT-100001,P01_NW03_RM-COIL-HC276,MAT-100001,RM-COIL-HC276,7.629,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.013,0.016,1.013,1.016,1.0292,7.852,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.02 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100007,P01_NW03_RM-COIL-AL,MAT-100007,RM-COIL-AL,5.965,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.032,0.01,1.032,1.01,1.0423,6.217,P01_NW03_Northwind Carpathia,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.08 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100012,P01_NW03_RM-COIL-SS316,MAT-100012,RM-COIL-SS316,6.028,KG,COIL SS316 1250mm 0.5mm,4,0.049,0.012,1.049,1.012,1.0616,6.399,P01_NW03_Northwind Carpathia,OPS-S62,RM-COIL,Plates,S62/PL.13 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100016,P01_NW03_RM-COIL-SS316,MAT-100016,RM-COIL-SS316,12.34,KG,COIL SS316 1250mm 0.5mm,6,0.028,0.005,1.028,1.005,1.0331,12.748,P01_NW03_Northwind Carpathia,OPS-XL420,RM-COIL,Plates,XL420/PL.17 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100017,P01_NW03_RM-COIL-AL,MAT-100017,RM-COIL-AL,7.906,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.01,0.006,1.01,1.006,1.0161,8.033,P01_NW03_Northwind Carpathia,OPS-XL520,RM-COIL,Plates,XL520/PL.18 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100020,P01_NW03_RM-COIL-AL,MAT-100020,RM-COIL-AL,5.358,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.059,0.009,1.059,1.009,1.0685,5.725,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.21 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100022,P01_NW03_RM-COIL-AL,MAT-100022,RM-COIL-AL,3.957,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.03,0.012,1.03,1.012,1.0424,4.125,P01_NW03_Northwind Carpathia,OPS-MX250,RM-COIL,Plates,MX250/PL.23 304TL 0.3mm,1,1,Active
P01_NW03_MAT-100028,P01_NW03_RM-COIL-NI,MAT-100028,RM-COIL-NI,11.173,KG,COIL NICKEL 1200mm 0.35mm,2,0.028,0.007,1.028,1.007,1.0352,11.566,P01_NW03_Northwind Carpathia,OPS-XL420,RM-COIL,Plates,XL420/PL.29 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100032,P01_NW03_RM-COIL-SS316,MAT-100032,RM-COIL-SS316,5.945,KG,COIL SS316 1250mm 0.5mm,8,0.049,0.021,1.049,1.021,1.071,6.367,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.33 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100035,P01_NW03_RM-COIL-NI,MAT-100035,RM-COIL-NI,11.168,KG,COIL NICKEL 1200mm 0.35mm,4,0.049,0.03,1.049,1.03,1.0805,12.067,P01_NW03_Northwind Carpathia,OPS-HT80,RM-COIL,Plates,HT80/PL.36 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100042,P01_NW03_RM-COIL-SS304,MAT-100042,RM-COIL-SS304,7.184,KG,COIL SS304 1250mm 0.4mm,6,0.025,0.02,1.025,1.02,1.0455,7.511,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.43 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100042,P01_NW03_RM-COIL-SS316,MAT-100042,RM-COIL-SS316,9.428,KG,COIL SS316 1250mm 0.5mm,3,0.056,0.014,1.056,1.014,1.0708,10.096,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.43 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100052,P01_NW03_RM-COIL-SS316,MAT-100052,RM-COIL-SS316,12.591,KG,COIL SS316 1250mm 0.5mm,3,0.05,0.029,1.05,1.029,1.0804,13.603,P01_NW03_Northwind Carpathia,OPS-XL420,RM-COIL,Plates,XL420/PL.03 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100057,P01_NW03_RM-COIL-HC276,MAT-100057,RM-COIL-HC276,8.297,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.011,0.022,1.011,1.022,1.0332,8.572,P01_NW03_Northwind Carpathia,OPS-MX200,RM-COIL,Plates,MX200/PL.08 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100057,P01_NW03_RM-COIL-AL,MAT-100057,RM-COIL-AL,5.716,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.058,0.025,1.058,1.025,1.0844,6.198,P01_NW03_Northwind Carpathia,OPS-MX200,RM-COIL,Plates,MX200/PL.08 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100060,P01_NW03_RM-COIL-HC276,MAT-100060,RM-COIL-HC276,8.105,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.028,0.01,1.028,1.01,1.0383,8.415,P01_NW03_Northwind Carpathia,OPS-S62,RM-COIL,Plates,S62/PL.11 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100069,P01_NW03_RM-COIL-TI,MAT-100069,RM-COIL-TI,5.698,KG,COIL TITANIUM 1200mm 0.4mm,3,0.014,0.016,1.014,1.016,1.0302,5.87,P01_NW03_Northwind Carpathia,OPS-MX200,RM-COIL,Plates,MX200/PL.20 304TL 0.3mm,1,1,Active
P01_NW03_MAT-100072,P01_NW03_RM-COIL-HC276,MAT-100072,RM-COIL-HC276,8.32,KG,COIL HASTELLOY C276 1250mm 0.5mm,2,0.026,0.01,1.026,1.01,1.0363,8.622,P01_NW03_Northwind Carpathia,OPS-S62,RM-COIL,Plates,S62/PL.23 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100073,P01_NW03_RM-COIL-HC276,MAT-100073,RM-COIL-HC276,8.4,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.02,0.02,1.02,1.02,1.0404,8.739,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.24 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100075,P01_NW03_RM-COIL-SS316,MAT-100075,RM-COIL-SS316,8.132,KG,COIL SS316 1250mm 0.5mm,3,0.042,0.018,1.042,1.018,1.0608,8.626,P01_NW03_Northwind Carpathia,OPS-S160,RM-COIL,Plates,S160/PL.26 304TL 0.3mm,1,1,Active
P01_NW03_MAT-100078,P01_NW03_RM-COIL-SS316,MAT-100078,RM-COIL-SS316,8.264,KG,COIL SS316 1250mm 0.5mm,6,0.019,0.016,1.019,1.016,1.0353,8.556,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.29 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100080,P01_NW03_RM-COIL-TI,MAT-100080,RM-COIL-TI,6.189,KG,COIL TITANIUM 1200mm 0.4mm,8,0.018,0.011,1.018,1.011,1.0292,6.37,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.31 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100082,P01_NW03_RM-COIL-AL,MAT-100082,RM-COIL-AL,4.944,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.041,0.01,1.041,1.01,1.0514,5.198,P01_NW03_Northwind Carpathia,OPS-MX250,RM-COIL,Plates,MX250/PL.33 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100086,P01_NW03_RM-COIL-TI,MAT-100086,RM-COIL-TI,5.137,KG,COIL TITANIUM 1200mm 0.4mm,4,0.031,0.009,1.031,1.009,1.0403,5.344,P01_NW03_Northwind Carpathia,OPS-S140,RM-COIL,Plates,S140/PL.37 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100092,P01_NW03_RM-COIL-HC276,MAT-100092,RM-COIL-HC276,7.799,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.015,0.027,1.015,1.027,1.0424,8.13,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.43 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100094,P01_NW03_RM-COIL-NI,MAT-100094,RM-COIL-NI,5.372,KG,COIL NICKEL 1200mm 0.35mm,8,0.037,0.016,1.037,1.016,1.0536,5.66,P01_NW03_Northwind Carpathia,OPS-MX250,RM-COIL,Plates,MX250/PL.45 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100097,P01_NW03_RM-COIL-AL,MAT-100097,RM-COIL-AL,4.614,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.056,0.028,1.056,1.028,1.0856,5.009,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.48 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100097,P01_NW03_RM-COIL-SS316,MAT-100097,RM-COIL-SS316,6.698,KG,COIL SS316 1250mm 0.5mm,3,0.016,0.006,1.016,1.006,1.0221,6.846,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.48 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100099,P01_NW03_RM-COIL-TI,MAT-100099,RM-COIL-TI,5.22,KG,COIL TITANIUM 1200mm 0.4mm,3,0.021,0.01,1.021,1.01,1.0312,5.383,P01_NW03_Northwind Carpathia,OPS-S160,RM-COIL,Plates,S160/PL.50 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100099,P01_NW03_RM-COIL-HC276,MAT-100099,RM-COIL-HC276,6.445,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.014,0.028,1.014,1.028,1.0424,6.718,P01_NW03_Northwind Carpathia,OPS-S160,RM-COIL,Plates,S160/PL.50 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100103,P01_NW03_RM-COIL-AL,MAT-100103,RM-COIL-AL,7.285,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.016,0.007,1.016,1.007,1.0231,7.453,P01_NW03_Northwind Carpathia,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.04 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100107,P01_NW03_RM-COIL-NI,MAT-100107,RM-COIL-NI,11.881,KG,COIL NICKEL 1200mm 0.35mm,8,0.057,0.012,1.057,1.012,1.0697,12.709,P01_NW03_Northwind Carpathia,OPS-HT80,RM-COIL,Plates,HT80/PL.08 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100110,P01_NW03_RM-COIL-AL,MAT-100110,RM-COIL-AL,5.146,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.025,0.025,1.025,1.025,1.0506,5.406,P01_NW03_Northwind Carpathia,OPS-S140,RM-COIL,Plates,S140/PL.11 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100110,P01_NW03_RM-COIL-HC276,MAT-100110,RM-COIL-HC276,6.689,KG,COIL HASTELLOY C276 1250mm 0.5mm,3,0.026,0.006,1.026,1.006,1.0322,6.904,P01_NW03_Northwind Carpathia,OPS-S140,RM-COIL,Plates,S140/PL.11 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100113,P01_NW03_RM-COIL-AL,MAT-100113,RM-COIL-AL,9.97,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.018,0.022,1.018,1.022,1.0404,10.373,P01_NW03_Northwind Carpathia,OPS-XL520,RM-COIL,Plates,XL520/PL.14 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100113,P01_NW03_RM-COIL-NI,MAT-100113,RM-COIL-NI,10.466,KG,COIL NICKEL 1200mm 0.35mm,6,0.026,0.029,1.026,1.029,1.0558,11.05,P01_NW03_Northwind Carpathia,OPS-XL520,RM-COIL,Plates,XL520/PL.14 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100116,P01_NW03_RM-COIL-NI,MAT-100116,RM-COIL-NI,5.385,KG,COIL NICKEL 1200mm 0.35mm,3,0.038,0.027,1.038,1.027,1.066,5.74,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.17 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100121,P01_NW03_RM-COIL-AL,MAT-100121,RM-COIL-AL,4.814,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.031,0.025,1.031,1.025,1.0568,5.087,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.22 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100124,P01_NW03_RM-COIL-AL,MAT-100124,RM-COIL-AL,10.254,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.033,0.025,1.033,1.025,1.0588,10.857,P01_NW03_Northwind Carpathia,OPS-XL420,RM-COIL,Plates,XL420/PL.25 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100126,P01_NW03_RM-COIL-SS304,MAT-100126,RM-COIL-SS304,7.792,KG,COIL SS304 1250mm 0.4mm,4,0.029,0.018,1.029,1.018,1.0475,8.162,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.27 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100126,P01_NW03_RM-COIL-HC276,MAT-100126,RM-COIL-HC276,11.816,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.053,0.018,1.053,1.018,1.072,12.667,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.27 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100130,P01_NW03_RM-COIL-HC276,MAT-100130,RM-COIL-HC276,6.995,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.043,0.014,1.043,1.014,1.0576,7.398,P01_NW03_Northwind Carpathia,OPS-MX250,RM-COIL,Plates,MX250/PL.31 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100131,P01_NW03_RM-COIL-HC276,MAT-100131,RM-COIL-HC276,11.609,KG,COIL HASTELLOY C276 1250mm 0.5mm,3,0.025,0.009,1.025,1.009,1.0342,12.006,P01_NW03_Northwind Carpathia,OPS-HT80,RM-COIL,Plates,HT80/PL.32 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100132,P01_NW03_RM-COIL-TI,MAT-100132,RM-COIL-TI,6.336,KG,COIL TITANIUM 1200mm 0.4mm,3,0.035,0.03,1.035,1.03,1.066,6.754,P01_NW03_Northwind Carpathia,OPS-S62,RM-COIL,Plates,S62/PL.33 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100135,P01_NW03_RM-COIL-HC276,MAT-100135,RM-COIL-HC276,8.411,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.025,0.01,1.025,1.01,1.0353,8.708,P01_NW03_Northwind Carpathia,OPS-S160,RM-COIL,Plates,S160/PL.36 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100137,P01_NW03_RM-COIL-HC276,MAT-100137,RM-COIL-HC276,14.867,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.016,0.025,1.016,1.025,1.0414,15.482,P01_NW03_Northwind Carpathia,OPS-XL520,RM-COIL,Plates,XL520/PL.38 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100138,P01_NW03_RM-COIL-HC276,MAT-100138,RM-COIL-HC276,10.712,KG,COIL HASTELLOY C276 1250mm 0.5mm,3,0.034,0.009,1.034,1.009,1.0433,11.176,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.39 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100138,P01_NW03_RM-COIL-TI,MAT-100138,RM-COIL-TI,8.215,KG,COIL TITANIUM 1200mm 0.4mm,8,0.042,0.015,1.042,1.015,1.0576,8.688,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.39 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100146,P01_NW03_RM-COIL-SS304,MAT-100146,RM-COIL-SS304,7.352,KG,COIL SS304 1250mm 0.4mm,4,0.017,0.03,1.017,1.03,1.0475,7.701,P01_NW03_Northwind Carpathia,OPS-S140,RM-COIL,Plates,S140/PL.47 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100146,P01_NW03_RM-COIL-AL,MAT-100146,RM-COIL-AL,4.727,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.056,0.014,1.056,1.014,1.0708,5.062,P01_NW03_Northwind Carpathia,OPS-S140,RM-COIL,Plates,S140/PL.47 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100147,P01_NW03_RM-COIL-SS316,MAT-100147,RM-COIL-SS316,5.869,KG,COIL SS316 1250mm 0.5mm,4,0.032,0.029,1.032,1.029,1.0619,6.232,P01_NW03_Northwind Carpathia,OPS-S160,RM-COIL,Plates,S160/PL.48 304TL 0.7mm,1,1,Active
P01_NW03_MAT-100156,P01_NW03_RM-COIL-SS304,MAT-100156,RM-COIL-SS304,6.74,KG,COIL SS304 1250mm 0.4mm,2,0.013,0.027,1.013,1.027,1.0404,7.012,P01_NW03_Northwind Carpathia,OPS-S62,RM-COIL,Plates,S62/PL.07 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100163,P01_NW03_RM-COIL-TI,MAT-100163,RM-COIL-TI,6.095,KG,COIL TITANIUM 1200mm 0.4mm,4,0.02,0.022,1.02,1.022,1.0424,6.353,P01_NW03_Northwind Carpathia,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.14 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100164,P01_NW03_RM-COIL-TI,MAT-100164,RM-COIL-TI,5.12,KG,COIL TITANIUM 1200mm 0.4mm,6,0.051,0.012,1.051,1.012,1.0636,5.446,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.15 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100165,P01_NW03_RM-COIL-SS316,MAT-100165,RM-COIL-SS316,7.208,KG,COIL SS316 1250mm 0.5mm,4,0.023,0.028,1.023,1.028,1.0516,7.58,P01_NW03_Northwind Carpathia,OPS-MX200,RM-COIL,Plates,MX200/PL.16 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100165,P01_NW03_RM-COIL-NI,MAT-100165,RM-COIL-NI,5.413,KG,COIL NICKEL 1200mm 0.35mm,6,0.041,0.005,1.041,1.005,1.0462,5.663,P01_NW03_Northwind Carpathia,OPS-MX200,RM-COIL,Plates,MX200/PL.16 304TL 0.8mm,1,1,Active
P01_NW03_MAT-100173,P01_NW03_RM-COIL-AL,MAT-100173,RM-COIL-AL,10.237,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.042,0.008,1.042,1.008,1.0503,10.752,P01_NW03_Northwind Carpathia,OPS-XL520,RM-COIL,Plates,XL520/PL.24 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100174,P01_NW03_RM-COIL-SS304,MAT-100174,RM-COIL-SS304,7.921,KG,COIL SS304 1250mm 0.4mm,2,0.033,0.016,1.033,1.016,1.0495,8.313,P01_NW03_Northwind Carpathia,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.25 304TL 0.6mm,1,1,Active
P01_NW03_MAT-100176,P01_NW03_RM-COIL-AL,MAT-100176,RM-COIL-AL,5.315,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.01,0.009,1.01,1.009,1.0191,5.417,P01_NW03_Northwind Carpathia,OPS-MX100,RM-COIL,Plates,MX100/PL.27 304TL 0.4mm,1,1,Active
P01_NW03_MAT-100181,P01_NW03_RM-COIL-SS316,MAT-100181,RM-COIL-SS316,8.162,KG,COIL SS316 1250mm 0.5mm,8,0.053,0.026,1.053,1.026,1.0804,8.818,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.32 304TL 0.5mm,1,1,Active
P01_NW03_MAT-100181,P01_NW03_RM-COIL-TI,MAT-100181,RM-COIL-TI,4.749,KG,COIL TITANIUM 1200mm 0.4mm,4,0.043,0.01,1.043,1.01,1.0534,5.003,P01_NW03_Northwind Carpathia,OPS-S120,RM-COIL,Plates,S120/PL.32 304TL 0.5mm,1,1,Active
