P80 - Plant Material: Plant without system,P80 - Plant Material: Code,P80 - Plant Material: Pure Material,P80 - Plant Material: Material Description,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP
NW10,P01_NW10_MAT-101053,MAT-101053,MX200/PL.04 304TL 0.8mm,OPS-MX200,True
NW10,P01_NW10_MAT-101068,MAT-101068,S62/PL.19 304TL 0.6mm,OPS-S62,False
NW10,P01_NW10_MAT-101082,MAT-101082,S140/PL.33 304TL 0.4mm,OPS-S140,False
NW10,P01_NW10_MAT-101083,MAT-101083,S160/PL.34 304TL 0.6mm,OPS-S160,False
NW10,P01_NW10_MAT-101086,MAT-101086,PRO-9X/PL.37 304TL 0.5mm,OPS-PRO-9X,True
NW10,P01_NW10_MAT-101087,MAT-101087,PRO-12X/PL.38 304TL 0.6mm,OPS-PRO-12X,False
NW10,P01_NW10_MAT-101090,MAT-101090,MX250/PL.41 304TL 0.7mm,OPS-MX250,True
NW10,P01_NW10_MAT-101091,MAT-101091,HT80/PL.42 304TL 0.4mm,OPS-HT80,True
NW10,P01_NW10_MAT-101094,MAT-101094,S140/PL.45 304TL 0.3mm,OPS-S140,False
NW10,P01_NW10_MAT-101095,MAT-101095,S160/PL.46 304TL 0.6mm,OPS-S160,True
NW10,P01_NW10_MAT-101096,MAT-101096,XL420/PL.47 304TL 0.5mm,OPS-XL420,False
NW10,P01_NW10_MAT-101099,MAT-101099,PRO-12X/PL.50 304TL 0.3mm,OPS-PRO-12X,False
NW10,P01_NW10_MAT-101106,MAT-101106,S140/PL.07 304TL 0.7mm,OPS-S140,True
NW10,P01_NW10_MAT-101108,MAT-101108,XL420/PL.09 304TL 0.3mm,OPS-XL420,True
NW10,P01_NW10_MAT-101112,MAT-101112,MX100/PL.13 304TL 0.3mm,OPS-MX100,True
NW10,P01_NW10_MAT-101115,MAT-101115,HT80/PL.16 304TL 0.5mm,OPS-HT80,True
NW10,P01_NW10_MAT-101117,MAT-101117,S120/PL.18 304TL 0.3mm,OPS-S120,False
NW10,P01_NW10_MAT-101123,MAT-101123,PRO-12X/PL.24 304TL 0.5mm,OPS-PRO-12X,True
NW10,P01_NW10_MAT-101124,MAT-101124,MX100/PL.25 304TL 0.7mm,OPS-MX100,True
NW10,P01_NW10_MAT-101129,MAT-101129,S120/PL.30 304TL 0.6mm,OPS-S120,False
NW10,P01_NW10_MAT-101131,MAT-101131,S160/PL.32 304TL 0.7mm,OPS-S160,False
NW10,P01_NW10_MAT-101140,MAT-101140,S62/PL.41 304TL 0.7mm,OPS-S62,False
NW10,P01_NW10_MAT-101147,MAT-101147,PRO-12X/PL.48 304TL 0.8mm,OPS-PRO-12X,False
NW10,P01_NW10_MAT-101151,MAT-101151,HT80/PL.02 304TL 0.5mm,OPS-HT80,True
NW10,P01_NW10_MAT-101157,MAT-101157,XL520/PL.08 304TL 0.4mm,OPS-XL520,True
NW10,P01_NW10_MAT-101159,MAT-101159,PRO-12X/PL.10 304TL 0.6mm,OPS-PRO-12X,True
NW10,P01_NW10_MAT-101161,MAT-101161,MX200/PL.12 304TL 0.3mm,OPS-MX200,True
NW10,P01_NW10_MAT-101163,MAT-101163,HT80/PL.14 304TL 0.4mm,OPS-HT80,True
NW10,P01_NW10_MAT-101166,MAT-101166,S140/PL.17 304TL 0.8mm,OPS-S140,False
NW10,P01_NW10_MAT-101182,MAT-101182,PRO-9X/PL.33 304TL 0.6mm,OPS-PRO-9X,True
NW10,P01_NW10_MAT-101187,MAT-101187,HT80/PL.38 304TL 0.8mm,OPS-HT80,False
NW10,P01_NW10_MAT-101188,MAT-101188,S62/PL.39 304TL 0.6mm,OPS-S62,False
NW10,P01_NW10_MAT-101193,MAT-101193,XL520/PL.44 304TL 0.3mm,OPS-XL520,False
NW10,P01_NW10_MAT-101194,MAT-101194,PRO-9X/PL.45 304TL 0.6mm,OPS-PRO-9X,True
NW10,P01_NW10_MAT-101195,MAT-101195,PRO-12X/PL.46 304TL 0.6mm,OPS-PRO-12X,False
NW10,P01_NW10_MAT-101199,MAT-101199,HT80/PL.50 304TL 0.3mm,OPS-HT80,False
NW10,P01_NW10_MAT-101202,MAT-101202,S140/PL.03 304TL 0.7mm,OPS-S140,False
NW10,P01_NW10_MAT-101208,MAT-101208,MX100/PL.09 304TL 0.8mm,OPS-MX100,True
NW10,P01_NW10_MAT-101212,MAT-101212,S62/PL.13 304TL 0.6mm,OPS-S62,False
NW10,P01_NW10_MAT-101214,MAT-101214,S140/PL.15 304TL 0.6mm,OPS-S140,False
NW10,P01_NW10_MAT-101215,MAT-101215,S160/PL.16 304TL 0.6mm,OPS-S160,True
NW10,P01_NW10_MAT-101217,MAT-101217,XL520/PL.18 304TL 0.5mm,OPS-XL520,True
NW10,P01_NW10_MAT-101218,MAT-101218,PRO-9X/PL.19 304TL 0.6mm,OPS-PRO-9X,False
NW10,P01_NW10_MAT-101225,MAT-101225,S120/PL.26 304TL 0.3mm,OPS-S120,True
NW10,P01_NW10_MAT-101227,MAT-101227,S160/PL.28 304TL 0.7mm,OPS-S160,False
NW10,P01_NW10_MAT-101228,MAT-101228,XL420/PL.29 304TL 0.7mm,OPS-XL420,False
NW10,P01_NW10_MAT-101233,MAT-101233,MX200/PL.34 304TL 0.4mm,OPS-MX200,True
NW10,P01_NW10_MAT-101235,MAT-101235,HT80/PL.36 304TL 0.7mm,OPS-HT80,True
NW10,P01_NW10_MAT-101242,MAT-101242,PRO-9X/PL.43 304TL 0.5mm,OPS-PRO-9X,False
NW10,P01_NW10_MAT-101252,MAT-101252,XL420/PL.03 304TL 0.5mm,OPS-XL420,False
NW10,P01_NW10_MAT-101253,MAT-101253,XL520/PL.04 304TL 0.4mm,OPS-XL520,False
NW10,P01_NW10_MAT-101255,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,OPS-PRO-12X,True
NW10,P01_NW10_MAT-101261,MAT-101261,S120/PL.12 304TL 0.6mm,OPS-S120,True
NW10,P01_NW10_MAT-101264,MAT-101264,XL420/PL.15 304TL 0.3mm,OPS-XL420,True
NW10,P01_NW10_MAT-101267,MAT-101267,PRO-12X/PL.18 304TL 0.5mm,OPS-PRO-12X,False
NW10,P01_NW10_MAT-101268,MAT-101268,MX100/PL.19 304TL 0.7mm,OPS-MX100,True
NW10,P01_NW10_MAT-101273,MAT-101273,S120/PL.24 304TL 0.6mm,OPS-S120,True
NW10,P01_NW10_MAT-101292,MAT-101292,MX100/PL.43 304TL 0.4mm,OPS-MX100,False
NW10,P01_NW10_MAT-101296,MAT-101296,S62/PL.47 304TL 0.4mm,OPS-S62,False
NW10,P01_NW10_MAT-101297,MAT-101297,S120/PL.48 304TL 0.6mm,OPS-S120,False
NW10,P01_NW10_MAT-101306,MAT-101306,MX250/PL.07 304TL 0.4mm,OPS-MX250,False
NW10,P01_NW10_MAT-101314,MAT-101314,PRO-9X/PL.15 304TL 0.5mm,OPS-PRO-9X,True
NW10,P01_NW10_MAT-101316,MAT-101316,MX100/PL.17 304TL 0.8mm,OPS-MX100,True
NW10,P01_NW10_MAT-101321,MAT-101321,S120/PL.22 304TL 0.7mm,OPS-S120,False
NW10,P01_NW10_MAT-101324,MAT-101324,XL420/PL.25 304TL 0.7mm,OPS-XL420,True
NW10,P01_NW10_MAT-101331,MAT-101331,HT80/PL.32 304TL 0.7mm,OPS-HT80,False
NW10,P01_NW10_MAT-101343,MAT-101343,HT80/PL.44 304TL 0.7mm,OPS-HT80,False
NW10,P01_NW10_MAT-101346,MAT-101346,S140/PL.47 304TL 0.6mm,OPS-S140,True
NW10,P01_NW10_MAT-101347,MAT-101347,S160/PL.48 304TL 0.7mm,OPS-S160,False
NW10,P01_NW10_MAT-101349,MAT-101349,XL520/PL.50 304TL 0.8mm,OPS-XL520,False
NW10,P01_NW10_MAT-101350,MAT-101350,PRO-9X/PL.01 304TL 0.5mm,OPS-PRO-9X,False
NW10,P01_NW10_MAT-101351,MAT-101351,PRO-12X/PL.02 304TL 0.5mm,OPS-PRO-12X,True
NW10,P01_NW10_MAT-101353,MAT-101353,MX200/PL.04 304TL 0.7mm,OPS-MX200,False
NW10,P01_NW10_MAT-101354,MAT-101354,MX250/PL.05 304TL 0.5mm,OPS-MX250,True
NW10,P01_NW10_MAT-101358,MAT-101358,S140/PL.09 304TL 0.6mm,OPS-S140,True
NW10,P01_NW10_MAT-101364,MAT-101364,MX100/PL.15 304TL 0.4mm,OPS-MX100,False
NW10,P01_NW10_MAT-101367,MAT-101367,HT80/PL.18 304TL 0.7mm,OPS-HT80,True
NW10,P01_NW10_MAT-101368,MAT-101368,S62/PL.19 304TL 0.6mm,OPS-S62,False
NW10,P01_NW10_MAT-101369,MAT-101369,S120/PL.20 304TL 0.5mm,OPS-S120,False
NW10,P01_NW10_MAT-101378,MAT-101378,MX250/PL.29 304TL 0.6mm,OPS-MX250,True
NW10,P01_NW10_MAT-101381,MAT-101381,S120/PL.32 304TL 0.8mm,OPS-S120,True
NW10,P01_NW10_MAT-101383,MAT-101383,S160/PL.34 304TL 0.6mm,OPS-S160,True
NW10,P01_NW10_MAT-101386,MAT-101386,PRO-9X/PL.37 304TL 0.6mm,OPS-PRO-9X,False
NW10,P01_NW10_MAT-101387,MAT-101387,PRO-12X/PL.38 304TL 0.4mm,OPS-PRO-12X,False
NW10,P01_NW10_MAT-101389,MAT-101389,MX200/PL.40 304TL 0.4mm,OPS-MX200,False
NW10,P01_NW10_MAT-101395,MAT-101395,S160/PL.46 304TL 0.7mm,OPS-S160,True
NW10,P01_NW10_MAT-101397,MAT-101397,XL520/PL.48 304TL 0.6mm,OPS-XL520,True
NW10,P01_NW10_MAT-101399,MAT-101399,PRO-12X/PL.50 304TL 0.7mm,OPS-PRO-12X,True
NW10,P01_NW10_MAT-101409,MAT-101409,XL520/PL.10 304TL 0.4mm,OPS-XL520,False
NW10,P01_NW10_MAT-101412,MAT-101412,MX100/PL.13 304TL 0.6mm,OPS-MX100,True
NW10,P01_NW10_MAT-101413,MAT-101413,MX200/PL.14 304TL 0.7mm,OPS-MX200,True
NW10,P01_NW10_MAT-101416,MAT-101416,S62/PL.17 304TL 0.5mm,OPS-S62,False
NW10,P01_NW10_MAT-101422,MAT-101422,PRO-9X/PL.23 304TL 0.4mm,OPS-PRO-9X,True
NW10,P01_NW10_MAT-101426,MAT-101426,MX250/PL.27 304TL 0.7mm,OPS-MX250,False
NW10,P01_NW10_MAT-101428,MAT-101428,S62/PL.29 304TL 0.3mm,OPS-S62,False
NW10,P01_NW10_MAT-101429,MAT-101429,S120/PL.30 304TL 0.6mm,OPS-S120,False
NW10,P01_NW10_MAT-101434,MAT-101434,PRO-9X/PL.35 304TL 0.8mm,OPS-PRO-9X,True
NW10,P01_NW10_MAT-101440,MAT-101440,S62/PL.41 304TL 0.4mm,OPS-S62,True
NW10,P01_NW10_MAT-101462,MAT-101462,MX250/PL.13 304TL 0.5mm,OPS-MX250,True
NW10,P01_NW10_MAT-101464,MAT-101464,S62/PL.15 304TL 0.7mm,OPS-S62,False
NW10,P01_NW10_MAT-101465,MAT-101465,S120/PL.16 304TL 0.6mm,OPS-S120,True
NW10,P01_NW10_MAT-101466,MAT-101466,S140/PL.17 304TL 0.3mm,OPS-S140,True
NW10,P01_NW10_MAT-101472,MAT-101472,MX100/PL.23 304TL 0.4mm,OPS-MX100,True
NW10,P01_NW10_MAT-101474,MAT-101474,MX250/PL.25 304TL 0.7mm,OPS-MX250,False
NW10,P01_NW10_MAT-101476,MAT-101476,S62/PL.27 304TL 0.6mm,OPS-S62,True
NW10,P01_NW10_MAT-101478,MAT-101478,S140/PL.29 304TL 0.7mm,OPS-S140,False
NW10,P01_NW10_MAT-101480,MAT-101480,XL420/PL.31 304TL 0.6mm,OPS-XL420,True
NW10,P01_NW10_MAT-101482,MAT-101482,PRO-9X/PL.33 304TL 0.5mm,OPS-PRO-9X,False
NW10,P01_NW10_MAT-101494,MAT-101494,PRO-9X/PL.45 304TL 0.4mm,OPS-PRO-9X,False
NW10,P01_NW10_MAT-200001,MAT-200001,M8-NBR GASKET 02,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200005,MAT-200005,M14-HNBR GASKET 06,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200007,MAT-200007,M22-NBR GASKET 08,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200009,MAT-200009,M8-NBR GASKET 10,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200012,MAT-200012,M20-SILI GASKET 13,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200019,MAT-200019,M6-FKM GASKET 20,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200021,MAT-200021,M14-HNBR GASKET 22,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200022,MAT-200022,M18-AFLAS GASKET 23,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200028,MAT-200028,M20-SILI GASKET 29,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200036,MAT-200036,M20-SILI GASKET 37,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200037,MAT-200037,M14-HNBR GASKET 38,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200038,MAT-200038,M18-AFLAS GASKET 39,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200039,MAT-200039,M22-NBR GASKET 40,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200043,MAT-200043,M6-FKM GASKET 04,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200044,MAT-200044,M20-SILI GASKET 05,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200045,MAT-200045,M14-HNBR GASKET 06,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200053,MAT-200053,M14-HNBR GASKET 14,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200056,MAT-200056,M10-BFG GASKET 17,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200067,MAT-200067,M6-FKM GASKET 28,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200068,MAT-200068,M20-SILI GASKET 29,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200070,MAT-200070,M18-AFLAS GASKET 31,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200075,MAT-200075,M6-FKM GASKET 36,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200090,MAT-200090,M12-EPDM GASKET 11,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200093,MAT-200093,M14-HNBR GASKET 14,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200110,MAT-200110,M18-AFLAS GASKET 31,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200115,MAT-200115,M6-FKM GASKET 36,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200118,MAT-200118,M18-AFLAS GASKET 39,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200119,MAT-200119,M22-NBR GASKET 40,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200122,MAT-200122,M12-EPDM GASKET 03,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200124,MAT-200124,M20-SILI GASKET 05,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200130,MAT-200130,M12-EPDM GASKET 11,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200131,MAT-200131,M6-FKM GASKET 12,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200134,MAT-200134,M18-AFLAS GASKET 15,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200144,MAT-200144,M10-BFG GASKET 25,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200153,MAT-200153,M8-NBR GASKET 34,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200156,MAT-200156,M20-SILI GASKET 37,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200158,MAT-200158,M18-AFLAS GASKET 39,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200161,MAT-200161,M8-NBR GASKET 02,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200166,MAT-200166,M18-AFLAS GASKET 07,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200167,MAT-200167,M22-NBR GASKET 08,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200173,MAT-200173,M14-HNBR GASKET 14,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200182,MAT-200182,M18-AFLAS GASKET 23,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200184,MAT-200184,M10-BFG GASKET 25,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200199,MAT-200199,M22-NBR GASKET 40,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200200,MAT-200200,M10-BFG GASKET 01,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200203,MAT-200203,M6-FKM GASKET 04,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200212,MAT-200212,M20-SILI GASKET 13,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200213,MAT-200213,M14-HNBR GASKET 14,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200216,MAT-200216,M10-BFG GASKET 17,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200218,MAT-200218,M12-EPDM GASKET 19,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200225,MAT-200225,M8-NBR GASKET 26,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200226,MAT-200226,M12-EPDM GASKET 27,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200234,MAT-200234,M12-EPDM GASKET 35,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200237,MAT-200237,M14-HNBR GASKET 38,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200244,MAT-200244,M20-SILI GASKET 05,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200248,MAT-200248,M10-BFG GASKET 09,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200250,MAT-200250,M12-EPDM GASKET 11,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200251,MAT-200251,M6-FKM GASKET 12,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200270,MAT-200270,M18-AFLAS GASKET 31,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200274,MAT-200274,M12-EPDM GASKET 35,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200282,MAT-200282,M12-EPDM GASKET 03,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200285,MAT-200285,M14-HNBR GASKET 06,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200289,MAT-200289,M8-NBR GASKET 10,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200290,MAT-200290,M12-EPDM GASKET 11,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200291,MAT-200291,M6-FKM GASKET 12,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200292,MAT-200292,M20-SILI GASKET 13,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200295,MAT-200295,M22-NBR GASKET 16,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200296,MAT-200296,M10-BFG GASKET 17,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200299,MAT-200299,M6-FKM GASKET 20,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200303,MAT-200303,M22-NBR GASKET 24,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200308,MAT-200308,M20-SILI GASKET 29,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200309,MAT-200309,M14-HNBR GASKET 30,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200313,MAT-200313,M8-NBR GASKET 34,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200318,MAT-200318,M18-AFLAS GASKET 39,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200321,MAT-200321,M8-NBR GASKET 02,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200346,MAT-200346,M12-EPDM GASKET 27,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200368,MAT-200368,M10-BFG GASKET 09,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200375,MAT-200375,M22-NBR GASKET 16,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200388,MAT-200388,M20-SILI GASKET 29,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200395,MAT-200395,M6-FKM GASKET 36,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200402,MAT-200402,M12-EPDM GASKET 03,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200405,MAT-200405,M14-HNBR GASKET 06,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200409,MAT-200409,M8-NBR GASKET 10,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200410,MAT-200410,M12-EPDM GASKET 11,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200413,MAT-200413,M14-HNBR GASKET 14,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200417,MAT-200417,M8-NBR GASKET 18,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200418,MAT-200418,M12-EPDM GASKET 19,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200422,MAT-200422,M18-AFLAS GASKET 23,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200433,MAT-200433,M8-NBR GASKET 34,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200435,MAT-200435,M6-FKM GASKET 36,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200439,MAT-200439,M22-NBR GASKET 40,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200450,MAT-200450,M12-EPDM GASKET 11,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200453,MAT-200453,M14-HNBR GASKET 14,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200458,MAT-200458,M12-EPDM GASKET 19,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200463,MAT-200463,M22-NBR GASKET 24,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200468,MAT-200468,M20-SILI GASKET 29,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200470,MAT-200470,M18-AFLAS GASKET 31,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200473,MAT-200473,M8-NBR GASKET 34,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200490,MAT-200490,M12-EPDM GASKET 11,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200491,MAT-200491,M6-FKM GASKET 12,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200498,MAT-200498,M12-EPDM GASKET 19,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200506,MAT-200506,M12-EPDM GASKET 27,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200509,MAT-200509,M14-HNBR GASKET 30,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200511,MAT-200511,M22-NBR GASKET 32,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200528,MAT-200528,M10-BFG GASKET 09,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200532,MAT-200532,M20-SILI GASKET 13,OPS-M20-SILI,False
NW10,P01_NW10_MAT-200537,MAT-200537,M8-NBR GASKET 18,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200550,MAT-200550,M18-AFLAS GASKET 31,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200555,MAT-200555,M6-FKM GASKET 36,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200573,MAT-200573,M14-HNBR GASKET 14,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200577,MAT-200577,M8-NBR GASKET 18,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200581,MAT-200581,M14-HNBR GASKET 22,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200583,MAT-200583,M22-NBR GASKET 24,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200587,MAT-200587,M6-FKM GASKET 28,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200591,MAT-200591,M22-NBR GASKET 32,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200592,MAT-200592,M10-BFG GASKET 33,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200593,MAT-200593,M8-NBR GASKET 34,OPS-M8-NBR,False
NW10,P01_NW10_MAT-200600,MAT-200600,M10-BFG GASKET 01,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200607,MAT-200607,M22-NBR GASKET 08,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200610,MAT-200610,M12-EPDM GASKET 11,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200611,MAT-200611,M6-FKM GASKET 12,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200615,MAT-200615,M22-NBR GASKET 16,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200621,MAT-200621,M14-HNBR GASKET 22,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200625,MAT-200625,M8-NBR GASKET 26,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200629,MAT-200629,M14-HNBR GASKET 30,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200635,MAT-200635,M6-FKM GASKET 36,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200648,MAT-200648,M10-BFG GASKET 09,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200667,MAT-200667,M6-FKM GASKET 28,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200672,MAT-200672,M10-BFG GASKET 33,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200679,MAT-200679,M22-NBR GASKET 40,OPS-M22-NBR,False
NW10,P01_NW10_MAT-200683,MAT-200683,M6-FKM GASKET 04,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200685,MAT-200685,M14-HNBR GASKET 06,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200691,MAT-200691,M6-FKM GASKET 12,OPS-M6-FKM,True
NW10,P01_NW10_MAT-200694,MAT-200694,M18-AFLAS GASKET 15,OPS-M18-AFLAS,False
NW10,P01_NW10_MAT-200704,MAT-200704,M10-BFG GASKET 25,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200709,MAT-200709,M14-HNBR GASKET 30,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200714,MAT-200714,M12-EPDM GASKET 35,OPS-M12-EPDM,True
NW10,P01_NW10_MAT-200728,MAT-200728,M10-BFG GASKET 09,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200733,MAT-200733,M14-HNBR GASKET 14,OPS-M14-HNBR,False
NW10,P01_NW10_MAT-200740,MAT-200740,M20-SILI GASKET 21,OPS-M20-SILI,True
NW10,P01_NW10_MAT-200744,MAT-200744,M10-BFG GASKET 25,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200746,MAT-200746,M12-EPDM GASKET 27,OPS-M12-EPDM,False
NW10,P01_NW10_MAT-200749,MAT-200749,M14-HNBR GASKET 30,OPS-M14-HNBR,True
NW10,P01_NW10_MAT-200751,MAT-200751,M22-NBR GASKET 32,OPS-M22-NBR,True
NW10,P01_NW10_MAT-200752,MAT-200752,M10-BFG GASKET 33,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200753,MAT-200753,M8-NBR GASKET 34,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200755,MAT-200755,M6-FKM GASKET 36,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200760,MAT-200760,M10-BFG GASKET 01,OPS-M10-BFG,False
NW10,P01_NW10_MAT-200774,MAT-200774,M18-AFLAS GASKET 15,OPS-M18-AFLAS,True
NW10,P01_NW10_MAT-200787,MAT-200787,M6-FKM GASKET 28,OPS-M6-FKM,False
NW10,P01_NW10_MAT-200792,MAT-200792,M10-BFG GASKET 33,OPS-M10-BFG,True
NW10,P01_NW10_MAT-200793,MAT-200793,M8-NBR GASKET 34,OPS-M8-NBR,True
NW10,P01_NW10_MAT-200800,MAT-200800,M10-BFG GASKET 01,OPS-M10-BFG,True
