Sap code,Description,Old Material Number,Base Unit of Measure,Material Type,ABC (SAP),Procurement Type,In House Production Time (WD),Production LT Weeks,Transportation Lanes Lead Time (CD),Planned Delivery Time (MARC) (CD),Standard Cost in EUR,Avg Sales Price in EUR,G35 - Plant,G37 - Vendor,P45 - Supply Group,P55 - Operations Group,Is Network Material,BOM Material,BOM Header,BOM Component
MAT-200799,M22-NBR GASKET 40,OLD-200799,PC,FERT,A,E,5,8,7,35,119.33,155.1,NW04,V-29198,SG-11,OPS-M22-NBR,Y,MAT-200799,BH-5715,BC-7957
MAT-200801,M8-NBR GASKET 02,OLD-200801,PC,ROH,B,F,14,3,14,35,46.69,174.87,NW04,V-83753,SG-82,OPS-M8-NBR,N,MAT-200801,BH-4462,BC-4511
MAT-200805,M14-HNBR GASKET 06,OLD-200805,PC,HALB,C,X,21,6,14,60,44.09,143.93,NW04,V-79158,SG-45,OPS-M14-HNBR,Y,MAT-200805,BH-2759,BC-7599
MAT-200811,M6-FKM GASKET 12,OLD-200811,PC,FERT,C,X,7,6,7,21,62.05,47.64,NW04,V-43982,SG-85,OPS-M6-FKM,N,MAT-200811,BH-4997,BC-3901
MAT-200812,M20-SILI GASKET 13,OLD-200812,PC,ROH,B,F,21,3,7,35,10.58,121.51,NW04,V-89377,SG-47,OPS-M20-SILI,N,MAT-200812,BH-6920,BC-3109
MAT-200813,M14-HNBR GASKET 14,OLD-200813,PC,ROH,B,X,10,3,21,28,117.64,156.21,NW04,V-11066,SG-102,OPS-M14-HNBR,Y,MAT-200813,BH-9324,BC-7647
MAT-200817,M8-NBR GASKET 18,OLD-200817,PC,FERT,B,F,7,6,14,35,58.4,168.04,NW04,V-46897,SG-47,OPS-M8-NBR,Y,MAT-200817,BH-8249,BC-9135
MAT-200838,M18-AFLAS GASKET 39,OLD-200838,PC,HALB,B,F,21,8,14,60,19.95,31.26,NW04,V-34899,SG-104,OPS-M18-AFLAS,N,MAT-200838,BH-9697,BC-2297
MAT-200849,M8-NBR GASKET 10,OLD-200849,PC,ROH,C,E,14,6,30,45,31.0,125.68,NW04,V-45376,SG-120,OPS-M8-NBR,N,MAT-200849,BH-8861,BC-2540
MAT-200857,M8-NBR GASKET 18,OLD-200857,PC,ROH,A,X,10,4,7,21,31.91,4.03,NW04,V-28941,SG-91,OPS-M8-NBR,Y,MAT-200857,BH-9604,BC-9671
MAT-200858,M12-EPDM GASKET 19,OLD-200858,PC,HALB,B,E,14,3,7,14,97.37,138.42,NW04,V-43188,SG-32,OPS-M12-EPDM,Y,MAT-200858,BH-4057,BC-1652
MAT-200859,M6-FKM GASKET 20,OLD-200859,PC,FERT,A,E,5,2,7,21,98.74,54.6,NW04,V-74538,SG-85,OPS-M6-FKM,Y,MAT-200859,BH-3259,BC-7008
MAT-200861,M14-HNBR GASKET 22,OLD-200861,PC,HALB,A,E,5,8,30,14,12.52,138.94,NW04,V-11031,SG-46,OPS-M14-HNBR,Y,MAT-200861,BH-8319,BC-3394
MAT-200866,M12-EPDM GASKET 27,OLD-200866,PC,ROH,A,E,10,2,7,28,84.81,38.44,NW04,V-84436,SG-119,OPS-M12-EPDM,Y,MAT-200866,BH-9294,BC-6572
MAT-200882,M12-EPDM GASKET 03,OLD-200882,PC,ROH,C,E,10,3,14,45,60.09,194.82,NW04,V-10705,SG-26,OPS-M12-EPDM,Y,MAT-200882,BH-4293,BC-9157
MAT-200887,M22-NBR GASKET 08,OLD-200887,PC,FERT,A,F,5,6,14,21,113.17,85.24,NW04,V-30209,SG-118,OPS-M22-NBR,N,MAT-200887,BH-3668,BC-6681
MAT-200893,M14-HNBR GASKET 14,OLD-200893,PC,HALB,C,X,21,3,30,60,11.48,15.7,NW04,V-89809,SG-87,OPS-M14-HNBR,Y,MAT-200893,BH-6934,BC-2709
MAT-100001,S120/PL.02 304TL 0.4mm,OLD-100001,PC,HALB,C,F,14,6,21,21,19.22,40.06,NW05,V-26938,SG-78,OPS-S120,Y,MAT-100001,BH-8746,BC-1898
MAT-100004,XL420/PL.05 304TL 0.5mm,OLD-100004,PC,HALB,A,X,10,2,21,21,113.19,216.12,NW05,V-53682,SG-111,OPS-XL420,N,MAT-100004,BH-9758,BC-1122
MAT-100015,S160/PL.16 304TL 0.4mm,OLD-100015,PC,HALB,A,E,14,4,30,45,9.35,66.82,NW05,V-95616,SG-80,OPS-S160,Y,MAT-100015,BH-8326,BC-6113
MAT-100022,MX250/PL.23 304TL 0.3mm,OLD-100022,PC,FERT,A,E,21,2,14,35,77.88,201.06,NW05,V-26258,SG-36,OPS-MX250,Y,MAT-100022,BH-3297,BC-8215
MAT-100025,S120/PL.26 304TL 0.5mm,OLD-100025,PC,ROH,B,X,7,6,21,21,22.73,104.11,NW05,V-31941,SG-67,OPS-S120,Y,MAT-100025,BH-2815,BC-6977
MAT-100030,PRO-9X/PL.31 304TL 0.7mm,OLD-100030,PC,ROH,A,E,14,3,7,14,88.6,189.52,NW05,V-23188,SG-10,OPS-PRO-9X,Y,MAT-100030,BH-3617,BC-9805
MAT-100035,HT80/PL.36 304TL 0.5mm,OLD-100035,PC,ROH,B,F,10,3,14,35,107.32,126.53,NW05,V-13730,SG-99,OPS-HT80,Y,MAT-100035,BH-8589,BC-4040
MAT-100041,XL520/PL.42 304TL 0.7mm,OLD-100041,PC,HALB,C,F,7,3,30,14,14.65,66.93,NW05,V-72072,SG-21,OPS-XL520,Y,MAT-100041,BH-3009,BC-2501
MAT-100045,MX200/PL.46 304TL 0.3mm,OLD-100045,PC,HALB,B,F,14,3,7,28,61.43,166.32,NW05,V-34760,SG-103,OPS-MX200,N,MAT-100045,BH-7247,BC-4178
MAT-100046,MX250/PL.47 304TL 0.5mm,OLD-100046,PC,FERT,A,E,5,4,30,28,23.71,30.21,NW05,V-25347,SG-60,OPS-MX250,N,MAT-100046,BH-9546,BC-3405
MAT-100050,S140/PL.01 304TL 0.4mm,OLD-100050,PC,ROH,A,X,10,6,14,60,34.21,95.41,NW05,V-13000,SG-39,OPS-S140,N,MAT-100050,BH-7663,BC-5405
MAT-100052,XL420/PL.03 304TL 0.8mm,OLD-100052,PC,FERT,C,X,14,4,14,45,117.08,19.66,NW05,V-24354,SG-49,OPS-XL420,N,MAT-100052,BH-9839,BC-6579
MAT-100059,HT80/PL.10 304TL 0.3mm,OLD-100059,PC,ROH,C,F,5,2,7,28,80.3,218.45,NW05,V-71542,SG-92,OPS-HT80,N,MAT-100059,BH-3977,BC-6551
MAT-100060,S62/PL.11 304TL 0.8mm,OLD-100060,PC,ROH,C,E,10,2,7,35,15.77,157.97,NW05,V-75745,SG-101,OPS-S62,N,MAT-100060,BH-9204,BC-2668
MAT-100063,S160/PL.14 304TL 0.3mm,OLD-100063,PC,ROH,C,E,21,6,30,45,74.66,76.96,NW05,V-84442,SG-51,OPS-S160,N,MAT-100063,BH-3117,BC-5587
MAT-100075,S160/PL.26 304TL 0.3mm,OLD-100075,PC,FERT,C,E,21,8,21,14,20.36,90.72,NW05,V-37237,SG-39,OPS-S160,Y,MAT-100075,BH-3759,BC-9337
MAT-100083,HT80/PL.34 304TL 0.7mm,OLD-100083,PC,HALB,C,X,14,8,14,60,78.42,185.65,NW05,V-96408,SG-99,OPS-HT80,Y,MAT-100083,BH-2661,BC-6959
MAT-100085,S120/PL.36 304TL 0.7mm,OLD-100085,PC,FERT,C,E,14,2,14,35,76.92,172.34,NW05,V-75654,SG-114,OPS-S120,N,MAT-100085,BH-3791,BC-4334
MAT-100096,S62/PL.47 304TL 0.6mm,OLD-100096,PC,HALB,B,E,14,4,14,14,13.29,40.77,NW05,V-61132,SG-75,OPS-S62,Y,MAT-100096,BH-6958,BC-4252
MAT-100100,XL420/PL.01 304TL 0.8mm,OLD-100100,PC,HALB,B,F,10,6,21,21,102.92,72.07,NW05,V-39708,SG-92,OPS-XL420,N,MAT-100100,BH-7397,BC-7210
MAT-100107,HT80/PL.08 304TL 0.6mm,OLD-100107,PC,FERT,B,F,10,4,21,28,53.98,27.78,NW05,V-87736,SG-101,OPS-HT80,Y,MAT-100107,BH-5563,BC-2002
MAT-100118,MX250/PL.19 304TL 0.6mm,OLD-100118,PC,FERT,A,F,14,3,21,60,47.14,165.77,NW05,V-90751,SG-116,OPS-MX250,Y,MAT-100118,BH-6027,BC-5241
MAT-100139,PRO-12X/PL.40 304TL 0.3mm,OLD-100139,PC,FERT,B,X,14,8,21,28,113.64,44.95,NW05,V-38856,SG-95,OPS-PRO-12X,Y,MAT-100139,BH-2653,BC-3871
MAT-100140,MX100/PL.41 304TL 0.5mm,OLD-100140,PC,HALB,B,F,5,6,14,21,116.07,85.2,NW05,V-80685,SG-27,OPS-MX100,N,MAT-100140,BH-7585,BC-7392
MAT-100166,MX250/PL.17 304TL 0.7mm,OLD-100166,PC,FERT,A,F,21,3,14,45,44.38,23.42,NW05,V-64589,SG-31,OPS-MX250,N,MAT-100166,BH-7428,BC-6331
MAT-100168,S62/PL.19 304TL 0.3mm,OLD-100168,PC,HALB,A,X,10,4,7,14,78.98,210.42,NW05,V-47116,SG-49,OPS-S62,Y,MAT-100168,BH-6017,BC-4701
MAT-100170,S140/PL.21 304TL 0.8mm,OLD-100170,PC,ROH,B,X,5,2,14,45,75.71,62.36,NW05,V-48181,SG-24,OPS-S140,Y,MAT-100170,BH-9775,BC-8604
MAT-100176,MX100/PL.27 304TL 0.4mm,OLD-100176,PC,ROH,C,X,5,6,30,14,111.44,172.94,NW05,V-18627,SG-63,OPS-MX100,N,MAT-100176,BH-1376,BC-4344
MAT-100177,MX200/PL.28 304TL 0.5mm,OLD-100177,PC,ROH,A,E,10,2,21,45,71.62,56.88,NW05,V-58687,SG-104,OPS-MX200,Y,MAT-100177,BH-1619,BC-6131
MAT-100188,MX100/PL.39 304TL 0.6mm,OLD-100188,PC,HALB,C,E,14,6,14,21,44.67,52.45,NW05,V-12142,SG-33,OPS-MX100,Y,MAT-100188,BH-5094,BC-4815
MAT-100198,PRO-9X/PL.49 304TL 0.5mm,OLD-100198,PC,ROH,B,E,14,4,14,45,102.18,127.7,NW05,V-72139,SG-78,OPS-PRO-9X,N,MAT-100198,BH-9648,BC-1621
MAT-100200,MX100/PL.01 304TL 0.5mm,OLD-100200,PC,HALB,A,X,5,8,14,35,26.77,151.43,NW05,V-93123,SG-62,OPS-MX100,N,MAT-100200,BH-1047,BC-8237
MAT-100202,MX250/PL.03 304TL 0.3mm,OLD-100202,PC,FERT,C,E,7,2,7,35,103.38,192.58,NW05,V-97931,SG-110,OPS-MX250,Y,MAT-100202,BH-1858,BC-1925
MAT-100203,HT80/PL.04 304TL 0.5mm,OLD-100203,PC,ROH,A,F,7,8,30,35,117.38,152.33,NW05,V-50400,SG-12,OPS-HT80,N,MAT-100203,BH-3992,BC-2903
MAT-100207,S160/PL.08 304TL 0.5mm,OLD-100207,PC,ROH,B,X,21,8,21,45,42.81,181.08,NW05,V-38522,SG-71,OPS-S160,N,MAT-100207,BH-8576,BC-4325
MAT-100215,HT80/PL.16 304TL 0.8mm,OLD-100215,PC,ROH,A,E,5,3,30,28,58.65,94.53,NW05,V-45445,SG-116,OPS-HT80,Y,MAT-100215,BH-1506,BC-8075
MAT-100218,S140/PL.19 304TL 0.4mm,OLD-100218,PC,HALB,C,F,14,8,21,60,63.23,57.62,NW05,V-84885,SG-10,OPS-S140,Y,MAT-100218,BH-6858,BC-4201
MAT-100224,MX100/PL.25 304TL 0.8mm,OLD-100224,PC,ROH,B,F,10,4,7,60,110.69,100.1,NW05,V-79675,SG-55,OPS-MX100,N,MAT-100224,BH-9590,BC-4151
MAT-100227,HT80/PL.28 304TL 0.6mm,OLD-100227,PC,ROH,C,F,21,8,7,35,27.6,39.47,NW05,V-29604,SG-105,OPS-HT80,Y,MAT-100227,BH-9247,BC-4802
MAT-100228,S62/PL.29 304TL 0.5mm,OLD-100228,PC,FERT,C,X,7,2,14,45,99.57,93.53,NW05,V-73925,SG-74,OPS-S62,Y,MAT-100228,BH-4948,BC-9281
MAT-100231,S160/PL.32 304TL 0.5mm,OLD-100231,PC,FERT,C,E,7,6,7,14,44.08,61.92,NW05,V-82352,SG-113,OPS-S160,Y,MAT-100231,BH-5909,BC-5820
MAT-100232,XL420/PL.33 304TL 0.3mm,OLD-100232,PC,ROH,C,X,5,8,30,45,103.16,145.63,NW05,V-86240,SG-36,OPS-XL420,Y,MAT-100232,BH-5502,BC-9683
MAT-100239,HT80/PL.40 304TL 0.5mm,OLD-100239,PC,FERT,A,F,21,6,30,21,39.72,212.3,NW05,V-32451,SG-38,OPS-HT80,N,MAT-100239,BH-3069,BC-6373
MAT-100241,S120/PL.42 304TL 0.7mm,OLD-100241,PC,ROH,A,E,7,6,14,60,110.68,163.16,NW05,V-37299,SG-11,OPS-S120,N,MAT-100241,BH-3845,BC-9259
MAT-100243,S160/PL.44 304TL 0.8mm,OLD-100243,PC,ROH,A,F,5,4,21,14,68.54,172.69,NW05,V-84663,SG-84,OPS-S160,Y,MAT-100243,BH-7907,BC-2795
MAT-100245,XL520/PL.46 304TL 0.5mm,OLD-100245,PC,FERT,B,E,5,8,30,28,51.6,123.32,NW05,V-12310,SG-31,OPS-XL520,Y,MAT-100245,BH-7383,BC-4654
MAT-100246,PRO-9X/PL.47 304TL 0.5mm,OLD-100246,PC,ROH,A,F,21,3,21,35,83.73,155.2,NW05,V-93967,SG-96,OPS-PRO-9X,Y,MAT-100246,BH-5698,BC-7109
MAT-100248,MX100/PL.49 304TL 0.5mm,OLD-100248,PC,ROH,C,E,21,3,30,35,53.07,188.29,NW05,V-29398,SG-28,OPS-MX100,Y,MAT-100248,BH-8216,BC-4729
MAT-100262,MX250/PL.13 304TL 0.4mm,OLD-100262,PC,HALB,A,E,7,6,14,21,83.8,5.0,NW05,V-88199,SG-75,OPS-MX250,Y,MAT-100262,BH-2985,BC-6897
MAT-100271,PRO-12X/PL.22 304TL 0.5mm,OLD-100271,PC,ROH,C,F,7,6,7,60,67.6,30.71,NW05,V-85297,SG-80,OPS-PRO-12X,N,MAT-100271,BH-2121,BC-6062
MAT-100272,MX100/PL.23 304TL 0.7mm,OLD-100272,PC,ROH,B,F,10,8,7,35,13.67,15.66,NW05,V-50709,SG-104,OPS-MX100,N,MAT-100272,BH-7835,BC-7412
MAT-100278,S140/PL.29 304TL 0.8mm,OLD-100278,PC,HALB,B,E,21,2,30,35,101.03,177.35,NW05,V-72666,SG-97,OPS-S140,N,MAT-100278,BH-9073,BC-7622
MAT-100290,S140/PL.41 304TL 0.6mm,OLD-100290,PC,HALB,A,X,5,6,30,35,104.55,82.43,NW05,V-41967,SG-114,OPS-S140,N,MAT-100290,BH-4428,BC-2622
MAT-100291,S160/PL.42 304TL 0.4mm,OLD-100291,PC,FERT,A,X,7,4,30,60,2.74,77.32,NW05,V-92151,SG-50,OPS-S160,N,MAT-100291,BH-2082,BC-3349
MAT-100310,MX250/PL.11 304TL 0.7mm,OLD-100310,PC,HALB,C,X,10,3,14,14,115.75,195.23,NW05,V-14399,SG-55,OPS-MX250,Y,MAT-100310,BH-3203,BC-6127
MAT-100311,HT80/PL.12 304TL 0.7mm,OLD-100311,PC,HALB,B,F,14,6,7,14,32.91,198.93,NW05,V-59181,SG-90,OPS-HT80,Y,MAT-100311,BH-2416,BC-7733
MAT-100317,XL520/PL.18 304TL 0.5mm,OLD-100317,PC,ROH,A,E,5,6,21,21,34.8,145.11,NW05,V-82525,SG-64,OPS-XL520,Y,MAT-100317,BH-1943,BC-3206
MAT-100319,PRO-12X/PL.20 304TL 0.5mm,OLD-100319,PC,HALB,B,E,21,2,7,35,79.17,139.05,NW05,V-82424,SG-33,OPS-PRO-12X,Y,MAT-100319,BH-8365,BC-7487
MAT-100328,XL420/PL.29 304TL 0.5mm,OLD-100328,PC,HALB,C,E,21,2,21,14,41.31,118.74,NW05,V-93850,SG-99,OPS-XL420,Y,MAT-100328,BH-6746,BC-8060
MAT-100329,XL520/PL.30 304TL 0.6mm,OLD-100329,PC,HALB,B,X,7,3,30,45,59.47,90.88,NW05,V-49824,SG-65,OPS-XL520,Y,MAT-100329,BH-2489,BC-1942
MAT-100333,MX200/PL.34 304TL 0.3mm,OLD-100333,PC,ROH,A,F,21,8,14,45,71.86,94.49,NW05,V-25844,SG-114,OPS-MX200,N,MAT-100333,BH-9038,BC-2158
MAT-100334,MX250/PL.35 304TL 0.8mm,OLD-100334,PC,FERT,B,X,5,4,14,14,3.05,68.96,NW05,V-73929,SG-103,OPS-MX250,Y,MAT-100334,BH-7992,BC-9495
MAT-100339,S160/PL.40 304TL 0.5mm,OLD-100339,PC,HALB,A,X,14,8,14,60,28.74,73.5,NW05,V-96637,SG-81,OPS-S160,Y,MAT-100339,BH-7220,BC-2473
MAT-100353,XL520/PL.04 304TL 0.5mm,OLD-100353,PC,HALB,B,F,21,2,30,14,54.79,99.46,NW05,V-46432,SG-60,OPS-XL520,N,MAT-100353,BH-5282,BC-8116
MAT-100355,PRO-12X/PL.06 304TL 0.6mm,OLD-100355,PC,FERT,A,F,5,3,21,14,27.19,219.96,NW05,V-54348,SG-35,OPS-PRO-12X,N,MAT-100355,BH-8625,BC-8739
MAT-100358,MX250/PL.09 304TL 0.8mm,OLD-100358,PC,HALB,C,E,10,3,30,45,79.77,38.59,NW05,V-14883,SG-80,OPS-MX250,N,MAT-100358,BH-7507,BC-8703
MAT-100359,HT80/PL.10 304TL 0.4mm,OLD-100359,PC,HALB,C,X,10,4,14,21,32.99,130.86,NW05,V-81768,SG-90,OPS-HT80,N,MAT-100359,BH-6747,BC-4888
MAT-100362,S140/PL.13 304TL 0.4mm,OLD-100362,PC,HALB,C,X,10,2,7,28,52.33,208.71,NW05,V-12774,SG-17,OPS-S140,Y,MAT-100362,BH-4863,BC-8190
MAT-100364,XL420/PL.15 304TL 0.7mm,OLD-100364,PC,HALB,A,X,5,8,21,35,98.15,116.81,NW05,V-98467,SG-115,OPS-XL420,N,MAT-100364,BH-2624,BC-6597
MAT-100368,MX100/PL.19 304TL 0.4mm,OLD-100368,PC,FERT,C,X,10,3,14,28,105.33,144.16,NW05,V-80790,SG-49,OPS-MX100,Y,MAT-100368,BH-2934,BC-2996
MAT-100371,HT80/PL.22 304TL 0.5mm,OLD-100371,PC,ROH,A,X,7,3,14,14,99.07,153.99,NW05,V-89858,SG-80,OPS-HT80,N,MAT-100371,BH-3409,BC-9498
MAT-100372,S62/PL.23 304TL 0.6mm,OLD-100372,PC,HALB,B,X,14,8,7,60,36.74,99.24,NW05,V-83383,SG-63,OPS-S62,N,MAT-100372,BH-8773,BC-9441
MAT-100374,S140/PL.25 304TL 0.7mm,OLD-100374,PC,FERT,A,E,5,8,7,45,66.71,13.14,NW05,V-94433,SG-65,OPS-S140,Y,MAT-100374,BH-4311,BC-1562
MAT-100384,S62/PL.35 304TL 0.4mm,OLD-100384,PC,HALB,B,E,10,6,14,28,84.95,45.68,NW05,V-45079,SG-33,OPS-S62,N,MAT-100384,BH-7187,BC-6461
MAT-100385,S120/PL.36 304TL 0.3mm,OLD-100385,PC,ROH,B,X,14,2,30,28,11.48,194.05,NW05,V-89284,SG-13,OPS-S120,N,MAT-100385,BH-8045,BC-2663
MAT-100386,S140/PL.37 304TL 0.5mm,OLD-100386,PC,HALB,A,E,14,3,7,35,98.33,78.61,NW05,V-66837,SG-58,OPS-S140,N,MAT-100386,BH-2117,BC-3343
MAT-100392,MX100/PL.43 304TL 0.6mm,OLD-100392,PC,HALB,C,X,14,2,14,60,59.11,105.91,NW05,V-64848,SG-109,OPS-MX100,Y,MAT-100392,BH-5198,BC-7685
MAT-100393,MX200/PL.44 304TL 0.8mm,OLD-100393,PC,ROH,A,E,14,6,14,21,66.61,206.29,NW05,V-64596,SG-22,OPS-MX200,Y,MAT-100393,BH-7120,BC-9232
MAT-100394,MX250/PL.45 304TL 0.4mm,OLD-100394,PC,FERT,A,F,14,2,14,28,49.02,10.94,NW05,V-32408,SG-106,OPS-MX250,N,MAT-100394,BH-3017,BC-7340
MAT-100401,XL520/PL.02 304TL 0.6mm,OLD-100401,PC,ROH,C,X,10,3,14,45,24.19,166.89,NW05,V-69334,SG-83,OPS-XL520,Y,MAT-100401,BH-6467,BC-7861
MAT-100409,S120/PL.10 304TL 0.7mm,OLD-100409,PC,ROH,B,E,21,6,30,28,103.2,132.71,NW05,V-57486,SG-25,OPS-S120,Y,MAT-100409,BH-3107,BC-2403
MAT-100410,S140/PL.11 304TL 0.5mm,OLD-100410,PC,HALB,A,E,10,3,14,21,29.27,159.89,NW05,V-56294,SG-76,OPS-S140,N,MAT-100410,BH-9048,BC-3050
MAT-100412,XL420/PL.13 304TL 0.4mm,OLD-100412,PC,HALB,C,E,21,4,21,35,95.22,208.18,NW05,V-19073,SG-99,OPS-XL420,N,MAT-100412,BH-6808,BC-7567
MAT-100419,HT80/PL.20 304TL 0.5mm,OLD-100419,PC,ROH,C,X,7,6,14,35,39.67,98.12,NW05,V-95550,SG-79,OPS-HT80,N,MAT-100419,BH-1801,BC-6889
MAT-100421,S120/PL.22 304TL 0.7mm,OLD-100421,PC,FERT,A,X,7,3,14,21,69.75,133.32,NW05,V-52466,SG-23,OPS-S120,N,MAT-100421,BH-5168,BC-4103
MAT-100426,PRO-9X/PL.27 304TL 0.5mm,OLD-100426,PC,HALB,B,X,21,6,30,28,22.05,144.21,NW05,V-54536,SG-78,OPS-PRO-9X,N,MAT-100426,BH-3170,BC-5002
MAT-100431,HT80/PL.32 304TL 0.8mm,OLD-100431,PC,HALB,C,F,21,6,30,21,24.19,144.09,NW05,V-91508,SG-47,OPS-HT80,N,MAT-100431,BH-2513,BC-2529
MAT-100432,S62/PL.33 304TL 0.5mm,OLD-100432,PC,ROH,A,X,10,3,30,60,47.98,144.49,NW05,V-24589,SG-42,OPS-S62,N,MAT-100432,BH-4228,BC-5870
MAT-100434,S140/PL.35 304TL 0.4mm,OLD-100434,PC,ROH,A,F,10,8,30,45,53.17,109.12,NW05,V-89366,SG-118,OPS-S140,Y,MAT-100434,BH-2441,BC-1926
MAT-100444,S62/PL.45 304TL 0.8mm,OLD-100444,PC,ROH,A,E,10,2,30,21,108.26,187.83,NW05,V-94810,SG-105,OPS-S62,N,MAT-100444,BH-2042,BC-6354
MAT-100446,S140/PL.47 304TL 0.7mm,OLD-100446,PC,HALB,C,F,5,6,30,21,99.1,11.32,NW05,V-85843,SG-62,OPS-S140,Y,MAT-100446,BH-1086,BC-7675
MAT-100451,PRO-12X/PL.02 304TL 0.4mm,OLD-100451,PC,FERT,A,E,5,3,14,28,27.76,62.62,NW05,V-92483,SG-96,OPS-PRO-12X,Y,MAT-100451,BH-1442,BC-4670
MAT-100452,MX100/PL.03 304TL 0.6mm,OLD-100452,PC,FERT,B,E,10,3,14,28,52.35,113.2,NW05,V-35368,SG-63,OPS-MX100,Y,MAT-100452,BH-6220,BC-1056
MAT-100465,MX200/PL.16 304TL 0.4mm,OLD-100465,PC,FERT,B,E,10,2,7,35,36.15,169.38,NW05,V-53472,SG-116,OPS-MX200,Y,MAT-100465,BH-8521,BC-4016
MAT-100473,XL520/PL.24 304TL 0.4mm,OLD-100473,PC,HALB,B,F,7,3,30,14,49.03,114.38,NW05,V-13537,SG-36,OPS-XL520,Y,MAT-100473,BH-7701,BC-6810
MAT-100476,MX100/PL.27 304TL 0.5mm,OLD-100476,PC,HALB,B,X,7,3,30,60,88.54,9.02,NW05,V-75605,SG-113,OPS-MX100,Y,MAT-100476,BH-8477,BC-5207
MAT-100483,S160/PL.34 304TL 0.4mm,OLD-100483,PC,FERT,B,F,14,4,14,60,99.63,122.62,NW05,V-79368,SG-63,OPS-S160,Y,MAT-100483,BH-9916,BC-8318
MAT-100484,XL420/PL.35 304TL 0.5mm,OLD-100484,PC,FERT,A,X,14,6,21,35,55.91,197.79,NW05,V-15416,SG-24,OPS-XL420,N,MAT-100484,BH-2326,BC-6668
MAT-100488,MX100/PL.39 304TL 0.5mm,OLD-100488,PC,HALB,B,F,21,6,14,35,80.67,46.93,NW05,V-19088,SG-64,OPS-MX100,Y,MAT-100488,BH-6107,BC-2810
MAT-100489,MX200/PL.40 304TL 0.6mm,OLD-100489,PC,FERT,A,X,14,6,21,35,40.53,75.79,NW05,V-79743,SG-98,OPS-MX200,Y,MAT-100489,BH-4342,BC-1244
MAT-100499,PRO-12X/PL.50 304TL 0.5mm,OLD-100499,PC,ROH,C,X,10,4,7,21,89.41,46.47,NW05,V-91383,SG-102,OPS-PRO-12X,N,MAT-100499,BH-8293,BC-5629
MAT-100502,MX250/PL.03 304TL 0.5mm,OLD-100502,PC,HALB,C,E,5,4,7,60,118.35,62.57,NW05,V-76773,SG-20,OPS-MX250,N,MAT-100502,BH-6889,BC-1937
MAT-100503,HT80/PL.04 304TL 0.4mm,OLD-100503,PC,ROH,A,F,5,8,7,28,44.12,206.73,NW05,V-66468,SG-54,OPS-HT80,N,MAT-100503,BH-5052,BC-9906
MAT-100518,S140/PL.19 304TL 0.6mm,OLD-100518,PC,FERT,B,X,14,4,21,21,76.1,133.97,NW05,V-41792,SG-99,OPS-S140,Y,MAT-100518,BH-1444,BC-7380
MAT-100521,XL520/PL.22 304TL 0.6mm,OLD-100521,PC,HALB,C,F,5,4,30,60,8.29,111.7,NW05,V-19096,SG-30,OPS-XL520,N,MAT-100521,BH-8165,BC-1300
MAT-100523,PRO-12X/PL.24 304TL 0.7mm,OLD-100523,PC,HALB,C,X,5,2,21,28,73.53,9.19,NW05,V-28614,SG-68,OPS-PRO-12X,Y,MAT-100523,BH-1563,BC-6253
MAT-100530,S140/PL.31 304TL 0.6mm,OLD-100530,PC,ROH,B,F,14,8,14,21,97.5,34.62,NW05,V-20552,SG-16,OPS-S140,Y,MAT-100530,BH-8637,BC-1850
MAT-100533,XL520/PL.34 304TL 0.7mm,OLD-100533,PC,HALB,B,F,21,3,14,28,92.72,64.56,NW05,V-13581,SG-120,OPS-XL520,N,MAT-100533,BH-6842,BC-8037
MAT-100534,PRO-9X/PL.35 304TL 0.4mm,OLD-100534,PC,HALB,C,E,5,3,14,45,99.0,173.2,NW05,V-27393,SG-40,OPS-PRO-9X,Y,MAT-100534,BH-9835,BC-7426
MAT-100536,MX100/PL.37 304TL 0.6mm,OLD-100536,PC,FERT,C,X,14,3,30,14,19.46,207.86,NW05,V-78359,SG-31,OPS-MX100,N,MAT-100536,BH-5934,BC-6226
MAT-100537,MX200/PL.38 304TL 0.7mm,OLD-100537,PC,FERT,B,E,10,8,21,28,43.62,214.04,NW05,V-11409,SG-91,OPS-MX200,N,MAT-100537,BH-1567,BC-5796
MAT-100538,MX250/PL.39 304TL 0.5mm,OLD-100538,PC,ROH,A,E,7,2,14,28,28.05,9.74,NW05,V-70705,SG-18,OPS-MX250,N,MAT-100538,BH-1403,BC-2810
MAT-100539,HT80/PL.40 304TL 0.5mm,OLD-100539,PC,HALB,C,F,10,6,7,45,28.09,25.64,NW05,V-90932,SG-95,OPS-HT80,N,MAT-100539,BH-7605,BC-3127
MAT-100546,PRO-9X/PL.47 304TL 0.4mm,OLD-100546,PC,HALB,A,F,10,3,7,45,88.09,171.2,NW05,V-13709,SG-21,OPS-PRO-9X,Y,MAT-100546,BH-2300,BC-7139
MAT-100550,MX250/PL.01 304TL 0.6mm,OLD-100550,PC,FERT,B,E,10,2,7,21,54.58,204.59,NW05,V-49801,SG-27,OPS-MX250,Y,MAT-100550,BH-9001,BC-4658
MAT-100553,S120/PL.04 304TL 0.5mm,OLD-100553,PC,ROH,A,E,10,8,7,60,116.3,4.72,NW05,V-15066,SG-62,OPS-S120,N,MAT-100553,BH-8853,BC-4127
