Status,Connector RCCP pivot,Connector Plant_Material nr,Material number,Material Description,Cycle time,Work center,Tool number,Project_name,Plate Factory,Plate Final,Plate Description,All delayed,demand_month,demand_pcs,product_type,demand_year,demand_month_num,pipeline_plant,factory_production_type,Plant_2_6,Type_2_6,Sap code_2_6,Material description_2_6,Total QTY_2_6,Tool No._2_6,Work center_2_6,Cycle times Standard Value (Machine)_2_6,OPS plan GD_2_6,Rev no_2_6,Material Status_2_6,Project ID,Region,Owner,Probability,Requested delivery date,Customer segment,Total expected PCS,Total expected EUR,Revenue tier,Submission channel,Description_2_3,Material Type_2_3,ABC (SAP)_2_3,Procurement Type_2_3,In House Production Time (WD)_2_3,Production LT Weeks_2_3,Transportation Lanes Lead Time (CD)_2_3,Planned Delivery Time (MARC) (CD)_2_3,Standard Cost in EUR_2_3,Avg Sales Price in EUR_2_3,G37 - Vendor_2_3,P45 - Supply Group_2_3,P55 - Operations Group_2_3,Is Network Material_2_3,Base Unit of Measure_2_3,WC-Description long_2_5,Size_2_5,Weekly Schedule_2_5,Hours_2_5,Days_2_5,Weekly available time_2_5,OEE (in %)_2_5,Daily breaks (in H)_2_5,NR of stands per WC_2_5,AP Limit_2_5,cap_avg_available_hrs_per_week,cap_avg_load_hrs_per_week,cap_utilization_pct,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP,ops_avg_planned_pcs_per_week,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Total Scrap Factor,Effective Component Quantity,Comp Plate/Gasket,BOM Status,Header Description,Stock Qty_3_1,ATP Quantity_3_1,ATP Qty (allow negative)_3_1,Reserved Stock Qty_3_1,Stock in Transit Qty_3_1,Safety Stock Qty_3_1,Minimum Safety Stock Qty_3_1,Stock Value (EUR)_3_1,Stock in Transit Value (EUR)_3_1,Total Stock Value (EUR)_3_1,Calendar day_3_1,Operation Group_3_1,inv_usable_qty_3_1
Not approved,NW12_Northwind Cerrado,NW12_MAT-100585,MAT-100585,MX200/PL.36 304TL 0.4mm,1.311,ASSY_1,T-70273-D,PRJ-OMEGA-0139,P01_NW12_Northwind Cerrado,MAT-100585,MX200/PL.36 304TL 0.4mm,0,11 2026,4308,Plates,2026,11,NW12,Both,NW12,Plates,MAT-100585,MX200/PL.36 304TL 0.4mm,35413.0,T-70273-D,ASSY_1,1.311,306756.0,C,Active,SF-100138,LATAM,M. Akiyama,75,2026-09-16,Pharma,19162,290102.9,Strategic,OEM,MX200/PL.36 304TL 0.4mm,ROH,B,X,7.0,4.0,30.0,45.0,42.81,131.45,V-57073,SG-92,OPS-MX200,N,PC,Assembly cell,S,8/5,8.0,5.0,23.12,0.703,1.0,1.0,"Available Capacity, hours",23.119999999999923,14.208141025641025,0.6145389716972782,OPS-MX200,True,0.03673782051282053,RM-COIL-SS316,7.874,KG,COIL SS316 1250mm 0.5mm,3.0,0.02,0.01,1.0302,8.112,Plates,Active,MX200/PL.36 304TL 0.4mm,2009.0,1053.0,1201.0,219.0,46.0,514.0,360.0,73608.04,1685.4,75293.44,2026.04.03,OPS-MX200,1541.0
Not approved,NW05_Northwind Pacific,NW05_MAT-100203,MAT-100203,HT80/PL.04 304TL 0.5mm,1.872,PRESS_6,T-70691-C,PRJ-ALPHA-0645,P01_NW05_Northwind Pacific,MAT-100203,HT80/PL.04 304TL 0.5mm,0,11 2026,2529,Plates,2026,11,NW05,Both,NW05,Plates,MAT-100203,HT80/PL.04 304TL 0.5mm,238232.0,T-70691-C,PRESS_6,1.872,249420.0,A,Phase-out,SF-100644,APAC-East,S. Iyer,75,2026-09-02,Pharma,54570,1028467.93,Small,OEM,HT80/PL.04 304TL 0.5mm,ROH,A,F,7.0,8.0,30.0,35.0,117.38,152.33,V-50400,SG-12,OPS-HT80,N,PC,Press 13900T,L,24/5,24.0,5.0,92.0,0.85,2.0,3.0,"Available Capacity, hours",92.0,39.214615384615406,0.42624581939799355,OPS-HT80,False,0.12392435897435895,RM-COIL-NI,9.698,KG,COIL NICKEL 1200mm 0.35mm,3.0,0.016,0.018,1.0343,10.031,Plates,Active,HT80/PL.04 304TL 0.5mm,2850.0,1790.0,1846.0,199.0,1128.0,150.0,105.0,170584.43,67515.52,238099.95,2026.04.03,OPS-HT80,3828.0
Not approved,NW02_Northwind Heartland,NW02_MAT-100814,MAT-100814,MX250/PL.15 304TL 0.5mm,1.22,ASSY_1,T-70633-D,PRJ-EPSILON-0279,P01_NW02_Northwind Heartland,MAT-100814,MX250/PL.15 304TL 0.5mm,0,11 2026,6818,Plates,2026,11,NW02,Both,NW02,Plates,MAT-100814,MX250/PL.15 304TL 0.5mm,137197.0,T-70633-D,ASSY_1,1.22,154046.0,C,Active,SF-100278,APAC-South,L. Tran,25,2026-03-12,Oil & Gas,13536,309104.75,Large,OEM,MX250/PL.15 304TL 0.5mm,HALB,C,X,5.0,2.0,21.0,45.0,23.98,209.76,V-48272,SG-102,OPS-MX250,Y,PC,Assembly cell,S,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,1.0,"Available Capacity, hours",26.159999999999943,15.553782051282054,0.5945635340704162,OPS-MX250,True,0.08169743589743586,RM-COIL-TI,5.348,KG,COIL TITANIUM 1200mm 0.4mm,8.0,0.031,0.029,1.0609,5.674,Plates,Active,MX250/PL.15 304TL 0.5mm,8674.0,7701.0,4405.0,1006.0,3122.0,923.0,646.0,197598.85,71121.01,268719.85,2026.04.03,OPS-MX250,10873.0
Not approved,NW01_Northwind Midwest,NW01_MAT-100540,MAT-100540,S62/PL.41 304TL 0.3mm,1.364,PRESS_5,T-70675-C,PRJ-GAMMA-0132,P01_NW01_Northwind Midwest,MAT-100540,S62/PL.41 304TL 0.3mm,0,11 2026,1924,Plates,2026,11,NW01,Both,NW01,Plates,MAT-100540,S62/PL.41 304TL 0.3mm,122511.0,T-70675-C,PRESS_5,1.364,11255.0,C,Active,SF-100131,EMEA-West,R. Weber,50,2026-09-10,Refrigeration,44092,540373.6,Medium,OEM,S62/PL.41 304TL 0.3mm,ROH,B,F,10.0,2.0,7.0,28.0,18.58,198.42,V-68666,SG-118,OPS-S62,Y,PC,Press 11000T,L,24/5,24.0,5.0,86.0,0.8,2.0,3.0,"Available Capacity, hours",86.0,70.53275641025641,0.8201483303518188,OPS-S62,True,0.11630512820512827,RM-COIL-NI,6.61,KG,COIL NICKEL 1200mm 0.35mm,6.0,0.06,0.02,1.0812,7.147,Plates,Active,S62/PL.41 304TL 0.3mm,8286.0,5901.0,4779.0,744.0,3074.0,1127.0,789.0,478066.48,177356.55,655423.03,2026.04.03,OPS-S62,10233.0
Not approved,Missing plant,_,,MX100/PL.35 304TL 0.7mm,Missing CT,Missing WC,Missing tool,PRJ-BETA-0451,,,,0,11 2026,3172,Plates,2026,11,,,,,,,,,,,,,,SF-100450,,L. Tran,75,2026-12-10,Data Center,57898,993607.13,Large,OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not approved,NW15_Northwind Indochina,NW15_MAT-100022,MAT-100022,MX250/PL.23 304TL 0.3mm,1.091,PRESS_1,T-70326-A,PRJ-BETA-0238,P01_NW15_Northwind Indochina,MAT-100022,MX250/PL.23 304TL 0.3mm,0,11 2026,1361,Plates,2026,11,NW15,Both,NW15,Plates,MAT-100022,MX250/PL.23 304TL 0.3mm,6521.0,T-70326-A,PRESS_1,1.091,263738.0,A,Active,SF-100237,EMEA-West,M. Akiyama,10,2026-02-02,Pharma,55841,541108.57,Large,Distributor,MX250/PL.23 304TL 0.3mm,FERT,B,X,14.0,3.0,30.0,14.0,115.62,99.86,V-72170,SG-74,OPS-MX250,N,PC,Press 3300T,S,12/6,12.0,6.0,44.28,0.74,1.5,1.0,"Available Capacity, hours",44.27999999999995,18.093076923076918,0.4086060732402199,OPS-MX250,True,0.011153846153846146,RM-COIL-SS316,7.172,KG,COIL SS316 1250mm 0.5mm,6.0,0.051,0.005,1.0563,7.576,Plates,Active,MX250/PL.23 304TL 0.3mm,7917.0,4724.0,6113.0,886.0,979.0,149.0,104.0,143659.97,17764.7,161424.67,2026.04.03,OPS-MX250,8747.0
Not approved,NW04_Northwind Southbay,NW04_MAT-100212,MAT-100212,MX100/PL.13 304TL 0.8mm,1.19,PRESS_2,T-70322-D,PRJ-OMEGA-0441,P01_NW04_Northwind Southbay,MAT-100212,MX100/PL.13 304TL 0.8mm,0,11 2026,7466,Plates,2026,11,NW04,Both,NW04,Plates,MAT-100212,MX100/PL.13 304TL 0.8mm,147588.0,T-70322-D,PRESS_2,1.19,259061.0,C,Active,SF-100440,EMEA-East,M. Silva,10,2026-08-20,Marine,27895,862907.6,Large,OEM,MX100/PL.13 304TL 0.8mm,ROH,C,E,7.0,6.0,30.0,21.0,87.72,101.94,V-66124,SG-120,OPS-MX100,Y,PC,Press 5500T,M,12/6,12.0,6.0,48.0,0.75,1.0,2.0,"Available Capacity, hours",48.0,35.907051282051285,0.7480635683760685,OPS-MX100,False,0.10230320512820515,RM-COIL-NI,6.202,KG,COIL NICKEL 1200mm 0.35mm,3.0,0.038,0.02,1.0588,6.567,Plates,Active,MX100/PL.13 304TL 0.8mm,7056.0,6356.0,4272.0,1176.0,2006.0,246.0,172.0,71863.27,20430.52,92293.79,2026.04.03,OPS-MX100,8816.0
Not approved,NW07_Northwind West Coast,NW07_MAT-100338,MAT-100338,S140/PL.39 304TL 0.7mm,1.264,PRESS_4,T-70656-C,PRJ-BETA-0574,P01_NW07_Northwind West Coast,MAT-100338,S140/PL.39 304TL 0.7mm,0,11 2026,1592,Plates,2026,11,NW07,Both,NW07,Plates,MAT-100338,S140/PL.39 304TL 0.7mm,47127.0,T-70656-C,PRESS_4,1.264,257685.0,C,Active,SF-100573,EMEA-East,M. Silva,75,2026-10-07,Pharma,10057,84972.24,Strategic,Partner,S140/PL.39 304TL 0.7mm,ROH,B,F,14.0,8.0,14.0,28.0,98.72,194.74,V-26920,SG-48,OPS-S140,Y,PC,Press 11000T,L,24/5,24.0,5.0,89.6,0.83,2.0,3.0,"Available Capacity, hours",89.60000000000024,54.55083333333332,0.6088262648809507,OPS-S140,True,0.12478012820512824,RM-COIL-TI,4.769,KG,COIL TITANIUM 1200mm 0.4mm,3.0,0.019,0.015,1.0343,4.933,Plates,Active,S140/PL.39 304TL 0.7mm,6947.0,3684.0,6167.0,524.0,293.0,899.0,629.0,200386.46,8451.6,208838.05,2026.04.03,OPS-S140,6341.0
Not approved,NW13_Northwind Andes,NW13_MAT-100824,MAT-100824,MX100/PL.25 304TL 0.7mm,1.458,ASSY_1,T-70588-D,PRJ-GAMMA-0713,P01_NW13_Northwind Andes,MAT-100824,MX100/PL.25 304TL 0.7mm,0,11 2026,512,Plates,2026,11,NW13,Both,NW13,Plates,MAT-100824,MX100/PL.25 304TL 0.7mm,70731.0,T-70588-D,ASSY_1,1.458,90116.0,C,Active,SF-100712,,J. Park,50,2026-08-12,Oil & Gas,14173,873748.58,Strategic,Partner,MX100/PL.25 304TL 0.7mm,FERT,A,X,21.0,4.0,21.0,14.0,2.9,129.15,V-35133,SG-96,OPS-MX100,N,PC,Assembly cell,S,8/5,8.0,5.0,23.88,0.722,1.0,1.0,"Available Capacity, hours",23.880000000000077,14.665576923076923,0.6141363870635208,OPS-MX100,True,0.1019878205128205,RM-COIL-SS316,5.884,KG,COIL SS316 1250mm 0.5mm,2.0,0.042,0.009,1.0514,6.186,Plates,Active,MX100/PL.25 304TL 0.7mm,8279.0,7779.0,2862.0,835.0,468.0,559.0,391.0,488959.44,27640.18,516599.62,2026.04.03,OPS-MX100,8188.0
Not approved,NW07_Northwind West Coast,NW07_MAT-101060,MAT-101060,XL420/PL.11 304TL 0.3mm,2.252,PRESS_5,T-70362-A,PRJ-ALPHA-0643,P01_NW07_Northwind West Coast,MAT-101060,XL420/PL.11 304TL 0.3mm,0,11 2026,4491,Plates,2026,11,NW07,Both,NW07,Plates,MAT-101060,XL420/PL.11 304TL 0.3mm,203877.0,T-70362-A,PRESS_5,2.252,239915.0,A,Active,SF-100642,APAC-South,A. Meyer,25,2026-06-07,Pharma,2896,473628.39,Large,Direct,XL420/PL.11 304TL 0.3mm,HALB,B,X,10.0,8.0,14.0,60.0,18.87,141.82,V-84058,SG-36,OPS-XL420,Y,PC,Press 13900T,L,24/5,24.0,5.0,89.6,0.83,2.0,3.0,"Available Capacity, hours",89.60000000000024,42.24147435897436,0.4714450263278376,OPS-XL420,True,0.1627025641025641,RM-COIL-SS304,11.864,KG,COIL SS304 1250mm 0.4mm,4.0,0.037,0.011,1.0484,12.438,Plates,Active,XL420/PL.11 304TL 0.3mm,6260.0,4276.0,4281.0,334.0,1775.0,953.0,667.0,266001.2,75423.66,341424.86,2026.04.03,OPS-XL420,7082.0
Not approved,NW09_Northwind Alpine,NW09_MAT-100656,MAT-100656,MX100/PL.07 304TL 0.4mm,1.425,PRESS_2,T-70209-C,PRJ-DELTA-0592,P01_NW09_Northwind Alpine,MAT-100656,MX100/PL.07 304TL 0.4mm,0,11 2026,3160,Plates,2026,11,NW09,Both,NW09,Plates,MAT-100656,MX100/PL.07 304TL 0.4mm,142509.0,T-70209-C,PRESS_2,1.425,238138.0,B,Active,SF-100591,,J. Park,10,2026-04-21,Oil & Gas,15107,746785.07,Large,Partner,MX100/PL.07 304TL 0.4mm,HALB,B,X,14.0,4.0,21.0,14.0,48.83,102.36,V-79811,SG-54,OPS-MX100,Y,PC,Press 5500T,M,12/5,12.0,5.0,41.8,0.78,1.0,2.0,"Available Capacity, hours",41.80000000000011,16.936089743589754,0.4051696110906629,OPS-MX100,True,0.11209423076923077,RM-COIL-SS316,6.864,KG,COIL SS316 1250mm 0.5mm,8.0,0.05,0.028,1.0794,7.409,Plates,Active,MX100/PL.07 304TL 0.4mm,336.0,176.0,190.0,66.0,645.0,173.0,121.0,6673.65,12811.03,19484.68,2026.04.03,OPS-MX100,808.0
Not approved,Missing plant,_,,S140/PL.15 304TL 0.8mm,Missing CT,Missing WC,Missing tool,PRJ-EPSILON-0321,,,,0,11 2026,2413,Plates,2026,11,,,,,,,,,,,,,,SF-100320,LATAM,A. Meyer,10,2026-08-23,Refrigeration,50304,208948.13,Strategic,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not approved,NW12_Northwind Cerrado,NW12_MAT-100409,MAT-100409,S120/PL.10 304TL 0.7mm,1.249,PRESS_1,T-70538-D,PRJ-EPSILON-0706,P01_NW12_Northwind Cerrado,MAT-100409,S120/PL.10 304TL 0.7mm,0,11 2026,1558,Plates,2026,11,NW12,Both,NW12,Plates,MAT-100409,S120/PL.10 304TL 0.7mm,68376.0,T-70538-D,PRESS_1,1.249,89557.0,A,Active,SF-100705,LATAM,M. Akiyama,90,2026-03-07,Industrial,24017,355686.88,Medium,Distributor,S120/PL.10 304TL 0.7mm,FERT,A,F,7.0,2.0,14.0,60.0,97.07,24.1,V-74211,SG-59,OPS-S120,Y,PC,Press 3300T,S,8/5,8.0,5.0,24.6,0.74,1.0,1.0,"Available Capacity, hours",24.599999999999937,11.670064102564107,0.4743928496977291,OPS-S120,False,0.06199038461538459,RM-COIL-SS304,5.617,KG,COIL SS304 1250mm 0.4mm,6.0,0.034,0.023,1.0578,5.942,Plates,Active,S120/PL.10 304TL 0.7mm,10550.0,9744.0,5912.0,1001.0,1351.0,708.0,496.0,156739.98,20071.63,176811.61,2026.04.03,OPS-S120,11193.0
Not approved,NW02_Northwind Heartland,NW02_MAT-100176,MAT-100176,MX100/PL.27 304TL 0.4mm,1.315,EXTRUSION_1,T-70295-D,PRJ-BETA-0425,P01_NW02_Northwind Heartland,MAT-100176,MX100/PL.27 304TL 0.4mm,0,11 2026,3992,Plates,2026,11,NW02,Both,NW02,Plates,MAT-100176,MX100/PL.27 304TL 0.4mm,137114.0,T-70295-D,EXTRUSION_1,1.315,29359.0,A,Phase-out,SF-100424,,H. Lindqvist,75,2026-10-17,Refrigeration,4936,366952.21,Small,Partner,MX100/PL.27 304TL 0.4mm,FERT,B,X,5.0,4.0,30.0,21.0,61.49,148.29,V-69975,SG-76,OPS-MX100,N,PC,Extrusion line A,M,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,2.0,"Available Capacity, hours",26.159999999999943,16.472500000000007,0.6296827217125399,OPS-MX100,False,0.13009487179487184,RM-COIL-HC276,7.843,KG,COIL HASTELLOY C276 1250mm 0.5mm,6.0,0.038,0.006,1.0442,8.19,Plates,Active,MX100/PL.27 304TL 0.4mm,9472.0,7957.0,7718.0,1711.0,2254.0,386.0,270.0,501211.11,119270.46,620481.57,2026.04.03,OPS-MX100,11340.0
Not approved,NW08_Northwind Iberia,NW08_MAT-101414,MAT-101414,MX250/PL.15 304TL 0.6mm,1.187,ASSY_1,T-70447-A,PRJ-OMEGA-0139,P01_NW08_Northwind Iberia,MAT-101414,MX250/PL.15 304TL 0.6mm,0,11 2026,5710,Plates,2026,11,NW08,Both,NW08,Plates,MAT-101414,MX250/PL.15 304TL 0.6mm,167065.0,T-70447-A,ASSY_1,1.187,30541.0,D,Phase-out,SF-100138,LATAM,M. Akiyama,75,2026-09-16,Pharma,19162,290102.9,Strategic,OEM,MX250/PL.15 304TL 0.6mm,FERT,A,X,14.0,3.0,30.0,14.0,98.12,80.16,V-50770,SG-106,OPS-MX250,N,PC,Assembly cell,S,8/5,8.0,5.0,25.4,0.76,1.0,1.0,"Available Capacity, hours",25.400000000000063,15.660384615384618,0.6165505754088417,OPS-MX250,False,0.16719871794871807,RM-COIL-HC276,8.313,KG,COIL HASTELLOY C276 1250mm 0.5mm,2.0,0.02,0.027,1.0475,8.708,Plates,Active,MX250/PL.15 304TL 0.6mm,1289.0,1052.0,676.0,189.0,3095.0,346.0,242.0,12376.46,29716.94,42093.4,2026.04.03,OPS-MX250,4038.0
Not approved,NW03_Northwind Carpathia,NW03_MAT-100110,MAT-100110,S140/PL.11 304TL 0.8mm,1.631,PRES_7_1,T-70668-C,PRJ-DELTA-0163,P01_NW03_Northwind Carpathia,MAT-100110,S140/PL.11 304TL 0.8mm,0,11 2026,3975,Plates,2026,11,NW03,Both,NW03,Plates,MAT-100110,S140/PL.11 304TL 0.8mm,66408.0,T-70668-C,PRES_7_1,1.631,144602.0,C,Active,SF-100162,EMEA-East,M. Silva,90,2026-05-19,District Heating,48377,892882.96,Small,OEM,S140/PL.11 304TL 0.8mm,FERT,B,X,10.0,4.0,7.0,21.0,41.24,117.73,V-40893,SG-59,OPS-S140,Y,PC,Press 8000T,M,12/6,12.0,6.0,45.72,0.76,1.5,2.0,"Available Capacity, hours",45.720000000000056,31.31794871794871,0.6849945038921407,OPS-S140,False,0.12813653846153847,RM-COIL-AL,5.146,KG,COIL ALUMINUM 1300mm 0.6mm,8.0,0.025,0.025,1.0506,5.406,Plates,Active,S140/PL.11 304TL 0.8mm,8608.0,5776.0,7594.0,1381.0,2887.0,154.0,108.0,38879.75,13039.71,51919.46,2026.04.03,OPS-S140,11341.0
Not approved,NW03_Northwind Carpathia,NW03_MAT-100110,MAT-100110,S140/PL.11 304TL 0.8mm,1.631,PRES_7_1,T-70668-C,PRJ-DELTA-0163,P01_NW03_Northwind Carpathia,MAT-100110,S140/PL.11 304TL 0.8mm,0,11 2026,3975,Plates,2026,11,NW03,Both,NW03,Plates,MAT-100110,S140/PL.11 304TL 0.8mm,66408.0,T-70668-C,PRES_7_1,1.631,144602.0,C,Active,SF-100162,EMEA-East,M. Silva,90,2026-05-19,District Heating,48377,892882.96,Small,OEM,S140/PL.11 304TL 0.8mm,FERT,B,X,10.0,4.0,7.0,21.0,41.24,117.73,V-40893,SG-59,OPS-S140,Y,PC,Press 8000T,M,12/6,12.0,6.0,45.72,0.76,1.5,2.0,"Available Capacity, hours",45.720000000000056,31.31794871794871,0.6849945038921407,OPS-S140,False,0.12813653846153847,RM-COIL-HC276,6.689,KG,COIL HASTELLOY C276 1250mm 0.5mm,3.0,0.026,0.006,1.0322,6.904,Plates,Active,S140/PL.11 304TL 0.8mm,8608.0,5776.0,7594.0,1381.0,2887.0,154.0,108.0,38879.75,13039.71,51919.46,2026.04.03,OPS-S140,11341.0
Not approved,NW14_Northwind Oceania,NW14_MAT-100570,MAT-100570,PRO-9X/PL.21 304TL 0.7mm,1.881,PRESS_1,T-70101-A,PRJ-ALPHA-0511,P01_NW14_Northwind Oceania,MAT-100570,PRO-9X/PL.21 304TL 0.7mm,0,11 2026,288,Plates,2026,11,NW14,Both,NW14,Plates,MAT-100570,PRO-9X/PL.21 304TL 0.7mm,77163.0,T-70101-A,PRESS_1,1.881,135804.0,B,Active,SF-100510,EMEA-East,C. Moreau,25,2026-08-10,Marine,37901,730083.18,Large,OEM,PRO-9X/PL.21 304TL 0.7mm,HALB,C,X,21.0,4.0,30.0,60.0,112.17,17.84,V-87784,SG-93,OPS-PRO-9X,N,PC,Press 3300T,S,8/5,8.0,5.0,27.8,0.82,1.0,1.0,"Available Capacity, hours",27.800000000000082,16.571089743589738,0.5960823648773269,OPS-PRO-9X,False,0.09446153846153843,RM-COIL-SS304,7.584,KG,COIL SS304 1250mm 0.4mm,2.0,0.052,0.022,1.0751,8.154,Plates,Active,PRO-9X/PL.21 304TL 0.7mm,1688.0,878.0,1124.0,79.0,2294.0,1188.0,832.0,90204.48,122588.31,212792.79,2026.04.03,OPS-PRO-9X,2794.0
Not approved,NW04_Northwind Southbay,NW04_MAT-100223,MAT-100223,PRO-12X/PL.24 304TL 0.5mm,1.823,PRESS_3,T-70457-C,PRJ-OMEGA-0109,P01_NW04_Northwind Southbay,MAT-100223,PRO-12X/PL.24 304TL 0.5mm,0,11 2026,8175,Plates,2026,11,NW04,Both,NW04,Plates,MAT-100223,PRO-12X/PL.24 304TL 0.5mm,193229.0,T-70457-C,PRESS_3,1.823,12317.0,C,Active,SF-100108,APAC-South,M. Akiyama,25,2026-10-08,Industrial,37286,702659.83,Medium,Direct,PRO-12X/PL.24 304TL 0.5mm,ROH,C,E,14.0,4.0,21.0,28.0,65.54,140.6,V-18522,SG-30,OPS-PRO-12X,N,PC,Press 8000T,M,12/6,12.0,6.0,48.0,0.75,1.0,2.0,"Available Capacity, hours",48.0,39.19826923076924,0.8166306089743592,OPS-PRO-12X,True,0.039904487179487184,RM-COIL-SS304,7.272,KG,COIL SS304 1250mm 0.4mm,2.0,0.028,0.02,1.0486,7.625,Plates,Active,PRO-12X/PL.24 304TL 0.5mm,6978.0,6171.0,5476.0,976.0,2776.0,753.0,527.0,176317.43,70142.9,246460.33,2026.04.03,OPS-PRO-12X,9001.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100142,MAT-100142,MX250/PL.43 304TL 0.3mm,1.187,PRESS_3,T-70699-B,PRJ-OMEGA-0115,P01_NW12_Northwind Cerrado,MAT-100142,MX250/PL.43 304TL 0.3mm,0,11 2026,531,Plates,2026,11,NW12,Both,NW12,Plates,MAT-100142,MX250/PL.43 304TL 0.3mm,15092.0,T-70699-B,PRESS_3,1.187,31371.0,C,Phase-out,SF-100114,,A. Meyer,75,2026-02-26,Industrial,11644,549821.64,Small,Distributor,MX250/PL.43 304TL 0.3mm,FERT,B,F,5.0,6.0,30.0,28.0,95.28,123.17,V-15551,SG-95,OPS-MX250,Y,PC,Press 8000T,M,8/5,8.0,5.0,24.6,0.74,1.0,2.0,"Available Capacity, hours",24.599999999999937,11.858653846153846,0.4820590994371494,OPS-MX250,False,0.10585576923076925,RM-COIL-HC276,6.412,KG,COIL HASTELLOY C276 1250mm 0.5mm,4.0,0.04,0.013,1.0535,6.755,Plates,Active,MX250/PL.43 304TL 0.3mm,8227.0,4146.0,5818.0,1563.0,213.0,514.0,360.0,465141.29,12042.68,477183.97,2026.04.03,OPS-MX250,7926.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100142,MAT-100142,MX250/PL.43 304TL 0.3mm,1.187,PRESS_3,T-70699-B,PRJ-OMEGA-0115,P01_NW12_Northwind Cerrado,MAT-100142,MX250/PL.43 304TL 0.3mm,0,11 2026,531,Plates,2026,11,NW12,Both,NW12,Plates,MAT-100142,MX250/PL.43 304TL 0.3mm,15092.0,T-70699-B,PRESS_3,1.187,31371.0,C,Phase-out,SF-100114,,A. Meyer,75,2026-02-26,Industrial,11644,549821.64,Small,Distributor,MX250/PL.43 304TL 0.3mm,FERT,B,F,5.0,6.0,30.0,28.0,95.28,123.17,V-15551,SG-95,OPS-MX250,Y,PC,Press 8000T,M,8/5,8.0,5.0,24.6,0.74,1.0,2.0,"Available Capacity, hours",24.599999999999937,11.858653846153846,0.4820590994371494,OPS-MX250,False,0.10585576923076925,RM-COIL-AL,4.759,KG,COIL ALUMINUM 1300mm 0.6mm,4.0,0.047,0.027,1.0753,5.117,Plates,Active,MX250/PL.43 304TL 0.3mm,8227.0,4146.0,5818.0,1563.0,213.0,514.0,360.0,465141.29,12042.68,477183.97,2026.04.03,OPS-MX250,7926.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100671,MAT-100671,HT80/PL.22 304TL 0.4mm,1.667,PRESS_1,T-70283-D,PRJ-BETA-0090,P01_NW12_Northwind Cerrado,MAT-100671,HT80/PL.22 304TL 0.4mm,0,11 2026,4550,Plates,2026,11,NW12,Both,NW12,Plates,MAT-100671,HT80/PL.22 304TL 0.4mm,223241.0,T-70283-D,PRESS_1,1.667,213131.0,C,Active,SF-100089,APAC-East,H. Lindqvist,75,2026-07-16,Oil & Gas,10987,853004.32,Medium,Distributor,HT80/PL.22 304TL 0.4mm,ROH,A,E,10.0,3.0,30.0,21.0,104.36,141.35,V-79988,SG-114,OPS-HT80,Y,PC,Press 3300T,S,8/5,8.0,5.0,24.6,0.74,1.0,1.0,"Available Capacity, hours",24.599999999999937,11.670064102564107,0.4743928496977291,OPS-HT80,True,0.04891538461538462,RM-COIL-SS316,12.047,KG,COIL SS316 1250mm 0.5mm,3.0,0.037,0.028,1.066,12.842,Plates,Active,HT80/PL.22 304TL 0.4mm,3144.0,1946.0,1653.0,420.0,2498.0,641.0,449.0,98191.23,78015.81,176207.04,2026.04.03,OPS-HT80,5001.0
Not approved,NW15_Northwind Indochina,NW15_MAT-100418,MAT-100418,MX250/PL.19 304TL 0.6mm,1.484,EXTRUSION_1,T-70368-A,PRJ-BETA-0354,P01_NW15_Northwind Indochina,MAT-100418,MX250/PL.19 304TL 0.6mm,0,11 2026,428,Plates,2026,11,NW15,Both,NW15,Plates,MAT-100418,MX250/PL.19 304TL 0.6mm,236572.0,T-70368-A,EXTRUSION_1,1.484,239041.0,C,Active,SF-100353,EMEA-East,K. Suzuki,10,2026-07-18,District Heating,46991,485286.82,Small,Direct,MX250/PL.19 304TL 0.6mm,ROH,A,F,14.0,4.0,7.0,45.0,73.96,71.6,V-58569,SG-101,OPS-MX250,N,PC,Extrusion line A,M,12/6,12.0,6.0,41.62,0.703,1.5,2.0,"Available Capacity, hours",41.619999999999905,16.449230769230763,0.3952241895538395,OPS-MX250,False,0.13826794871794873,RM-COIL-SS316,6.416,KG,COIL SS316 1250mm 0.5mm,8.0,0.059,0.005,1.0643,6.829,Plates,Active,MX250/PL.19 304TL 0.6mm,3685.0,2761.0,3040.0,382.0,2402.0,1059.0,741.0,212049.2,138220.4,350269.6,2026.04.03,OPS-MX250,5028.0
