Status,Connector RCCP pivot,Connector Plant_Material nr,Material number,Material Description,Cycle time,Work center,Tool number,Project_name,Gasket Factory,Gasket Final,Gasket Description,All delayed,demand_month,demand_pcs,product_type,demand_year,demand_month_num,pipeline_plant,factory_production_type,Plant_2_6,Type_2_6,Sap code_2_6,Material description_2_6,Total QTY_2_6,Tool No._2_6,Work center_2_6,Cycle times Standard Value (Machine)_2_6,OPS plan GD_2_6,Rev no_2_6,Material Status_2_6,Project ID,Region,Owner,Probability,Requested delivery date,Customer segment,Total expected PCS,Total expected EUR,Revenue tier,Submission channel,Description_2_3,Material Type_2_3,ABC (SAP)_2_3,Procurement Type_2_3,In House Production Time (WD)_2_3,Production LT Weeks_2_3,Transportation Lanes Lead Time (CD)_2_3,Planned Delivery Time (MARC) (CD)_2_3,Standard Cost in EUR_2_3,Avg Sales Price in EUR_2_3,G37 - Vendor_2_3,P45 - Supply Group_2_3,P55 - Operations Group_2_3,Is Network Material_2_3,Base Unit of Measure_2_3,WC-Description long_2_5,Size_2_5,Weekly Schedule_2_5,Hours_2_5,Days_2_5,Weekly available time_2_5,OEE (in %)_2_5,Daily breaks (in H)_2_5,NR of stands per WC_2_5,AP Limit_2_5,cap_avg_available_hrs_per_week,cap_avg_load_hrs_per_week,cap_utilization_pct,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP,ops_avg_planned_pcs_per_week,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Total Scrap Factor,Effective Component Quantity,Comp Plate/Gasket,BOM Status,Header Description,Stock Qty_3_1,ATP Quantity_3_1,ATP Qty (allow negative)_3_1,Reserved Stock Qty_3_1,Stock in Transit Qty_3_1,Safety Stock Qty_3_1,Minimum Safety Stock Qty_3_1,Stock Value (EUR)_3_1,Stock in Transit Value (EUR)_3_1,Total Stock Value (EUR)_3_1,Calendar day_3_1,Operation Group_3_1,inv_usable_qty_3_1
Not approved,NW05_Northwind Pacific,NW05_MAT-200804,MAT-200804,M20-SILI GASKET 05,0.767,EXTRUSION_1,T-70437-A,PRJ-BETA-0120,P01_NW05_Northwind Pacific,MAT-200804,M20-SILI GASKET 05,0,10 2026,1337,Gaskets,2026,10,NW05,Both,NW05,Gaskets,MAT-200804,M20-SILI GASKET 05,39117.0,T-70437-A,EXTRUSION_1,0.767,127949.0,D,Active,SF-100119,APAC-South,P. Kovac,90,2026-08-07,District Heating,56177,308553.88,Medium,Direct,M20-SILI GASKET 05,FERT,A,F,5.0,8.0,21.0,35.0,3.21,51.93,V-58662,SG-91,OPS-M20-SILI,N,PC,Extrusion line A,M,8/5,8.0,5.0,27.3,0.8075,1.0,2.0,"Available Capacity, hours",27.300000000000075,14.160705128205118,0.5187071475532996,OPS-M20-SILI,False,0.008742948717948716,RM-COMP-SILI,0.351,KG,RUBBER COMPOUND SILICONE,8.0,0.039,0.025,1.065,0.374,Gaskets,Active,M20-SILI GASKET 05,3820.0,2497.0,2802.0,324.0,3143.0,759.0,531.0,191449.71,157520.01,348969.72,2026.04.03,OPS-M20-SILI,6204.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200804,MAT-200804,M20-SILI GASKET 05,0.767,EXTRUSION_1,T-70437-A,PRJ-BETA-0143,P01_NW05_Northwind Pacific,MAT-200804,M20-SILI GASKET 05,0,10 2026,7196,Gaskets,2026,10,NW05,Both,NW05,Gaskets,MAT-200804,M20-SILI GASKET 05,39117.0,T-70437-A,EXTRUSION_1,0.767,127949.0,D,Active,SF-100142,,M. Akiyama,50,2026-12-10,Refrigeration,10899,256153.98,Strategic,Distributor,M20-SILI GASKET 05,FERT,A,F,5.0,8.0,21.0,35.0,3.21,51.93,V-58662,SG-91,OPS-M20-SILI,N,PC,Extrusion line A,M,8/5,8.0,5.0,27.3,0.8075,1.0,2.0,"Available Capacity, hours",27.300000000000075,14.160705128205118,0.5187071475532996,OPS-M20-SILI,False,0.008742948717948716,RM-COMP-SILI,0.351,KG,RUBBER COMPOUND SILICONE,8.0,0.039,0.025,1.065,0.374,Gaskets,Active,M20-SILI GASKET 05,3820.0,2497.0,2802.0,324.0,3143.0,759.0,531.0,191449.71,157520.01,348969.72,2026.04.03,OPS-M20-SILI,6204.0
Not approved,NW09_Northwind Alpine,NW09_MAT-200525,MAT-200525,M14-HNBR GASKET 06,0.542,EXTRUSION_1,T-70583-D,PRJ-ALPHA-0295,P01_NW09_Northwind Alpine,MAT-200525,M14-HNBR GASKET 06,0,11 2026,1064,Gaskets,2026,11,NW09,Both,NW09,Gaskets,MAT-200525,M14-HNBR GASKET 06,133649.0,T-70583-D,EXTRUSION_1,0.542,92488.0,A,Active,SF-100294,APAC-East,R. Weber,75,2026-10-27,Marine,42480,969426.63,Small,Direct,M14-HNBR GASKET 06,FERT,B,X,21.0,3.0,14.0,14.0,42.51,33.57,V-99704,SG-97,OPS-M14-HNBR,Y,PC,Extrusion line A,M,12/5,12.0,5.0,39.46,0.741,1.0,2.0,"Available Capacity, hours",39.46000000000003,27.91833333333333,0.7075097144787965,OPS-M14-HNBR,True,0.15478653846153842,RM-COMP-EPDM,0.253,KG,RUBBER COMPOUND EPDM80,3.0,0.051,0.023,1.0752,0.272,Gaskets,Active,M14-HNBR GASKET 06,11967.0,8603.0,5757.0,1283.0,2398.0,62.0,43.0,378620.33,75869.6,454489.93,2026.04.03,OPS-M14-HNBR,14303.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200307,MAT-200307,M6-FKM GASKET 28,0.278,ASSY_1,T-70137-A,PRJ-OMEGA-0537,P01_NW05_Northwind Pacific,MAT-200307,M6-FKM GASKET 28,0,11 2026,1668,Gaskets,2026,11,NW05,Both,NW05,Gaskets,MAT-200307,M6-FKM GASKET 28,200659.0,T-70137-A,ASSY_1,0.278,273238.0,B,Active,SF-100536,EMEA-East,H. Lindqvist,25,2026-05-25,Food & Beverage,18080,1015168.35,Large,OEM,M6-FKM GASKET 28,HALB,A,F,7.0,6.0,7.0,35.0,57.12,108.81,V-48553,SG-41,OPS-M6-FKM,Y,PC,Assembly cell,S,8/5,8.0,5.0,27.3,0.8075,1.0,1.0,"Available Capacity, hours",27.300000000000075,17.35115384615384,0.6355734009580143,OPS-M6-FKM,False,0.1060878205128205,RM-COMP-HNBR,0.386,KG,RUBBER COMPOUND HNBR60,2.0,0.04,0.009,1.0494,0.405,Gaskets,Active,M6-FKM GASKET 28,3436.0,2469.0,2822.0,370.0,468.0,1155.0,808.0,134802.0,18360.69,153162.7,2026.04.03,OPS-M6-FKM,2749.0
Not approved,NW11_Northwind Levant,NW11_MAT-200635,MAT-200635,M6-FKM GASKET 36,0.321,PRESS_2,T-70476-C,PRJ-BETA-0637,P01_NW11_Northwind Levant,MAT-200635,M6-FKM GASKET 36,0,11 2026,6315,Gaskets,2026,11,NW11,Both,NW11,Gaskets,MAT-200635,M6-FKM GASKET 36,30355.0,T-70476-C,PRESS_2,0.321,297276.0,C,Active,SF-100636,APAC-South,T. Novak,25,2026-09-25,Food & Beverage,53198,1027981.12,Large,Distributor,M6-FKM GASKET 36,ROH,A,E,10.0,8.0,14.0,21.0,38.23,65.07,V-39553,SG-54,OPS-M6-FKM,N,PC,Press 5500T,M,12/6,12.0,6.0,43.56,0.73,1.5,2.0,"Available Capacity, hours",43.56000000000013,34.518525641025654,0.7924363094817619,OPS-M6-FKM,True,0.05821666666666664,RM-COMP-EPDM,0.324,KG,RUBBER COMPOUND EPDM80,4.0,0.012,0.02,1.0322,0.334,Gaskets,Active,M6-FKM GASKET 36,6435.0,4034.0,5091.0,67.0,1493.0,1029.0,720.0,128582.8,29832.81,158415.61,2026.04.03,OPS-M6-FKM,6899.0
Not approved,NW11_Northwind Levant,NW11_MAT-200635,MAT-200635,M6-FKM GASKET 36,0.321,PRESS_2,T-70476-C,PRJ-BETA-0637,P01_NW11_Northwind Levant,MAT-200635,M6-FKM GASKET 36,0,11 2026,6315,Gaskets,2026,11,NW11,Both,NW11,Gaskets,MAT-200635,M6-FKM GASKET 36,30355.0,T-70476-C,PRESS_2,0.321,297276.0,C,Active,SF-100636,APAC-South,T. Novak,25,2026-09-25,Food & Beverage,53198,1027981.12,Large,Distributor,M6-FKM GASKET 36,ROH,A,E,10.0,8.0,14.0,21.0,38.23,65.07,V-39553,SG-54,OPS-M6-FKM,N,PC,Press 5500T,M,12/6,12.0,6.0,43.56,0.73,1.5,2.0,"Available Capacity, hours",43.56000000000013,34.518525641025654,0.7924363094817619,OPS-M6-FKM,True,0.05821666666666664,RM-COMP-HNBR,0.329,KG,RUBBER COMPOUND HNBR60,4.0,0.035,0.029,1.065,0.35,Gaskets,Active,M6-FKM GASKET 36,6435.0,4034.0,5091.0,67.0,1493.0,1029.0,720.0,128582.8,29832.81,158415.61,2026.04.03,OPS-M6-FKM,6899.0
Not approved,NW09_Northwind Alpine,NW09_MAT-200206,MAT-200206,M18-AFLAS GASKET 07,0.873,GRINDING_1,T-70137-A,PRJ-ALPHA-0189,P01_NW09_Northwind Alpine,MAT-200206,M18-AFLAS GASKET 07,0,11 2026,487,Gaskets,2026,11,NW09,Both,NW09,Gaskets,MAT-200206,M18-AFLAS GASKET 07,246953.0,T-70137-A,GRINDING_1,0.873,36430.0,D,Active,SF-100188,,H. Lindqvist,25,2026-04-14,Marine,10888,526796.46,Strategic,Partner,M18-AFLAS GASKET 07,FERT,C,F,5.0,8.0,14.0,28.0,80.53,175.91,V-65748,SG-39,OPS-M18-AFLAS,Y,PC,Grinding line,S,12/5,12.0,5.0,39.46,0.741,1.0,1.0,"Available Capacity, hours",39.46000000000003,16.45878205128205,0.4171004067734931,OPS-M18-AFLAS,False,0.17618461538461536,RM-COMP-SILI,0.27,KG,RUBBER COMPOUND SILICONE,8.0,0.015,0.02,1.0353,0.28,Gaskets,Active,M18-AFLAS GASKET 07,9981.0,7647.0,6343.0,860.0,970.0,580.0,406.0,545619.29,53025.82,598645.11,2026.04.03,OPS-M18-AFLAS,10371.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-200386,MAT-200386,M12-EPDM GASKET 27,0.553,PRESS_1,T-70419-B,PRJ-DELTA-0561,P01_NW12_Northwind Cerrado,MAT-200386,M12-EPDM GASKET 27,0,11 2026,1769,Gaskets,2026,11,NW12,Both,NW12,Gaskets,MAT-200386,M12-EPDM GASKET 27,38184.0,T-70419-B,PRESS_1,0.553,201156.0,C,Phase-out,SF-100560,LATAM,H. Lindqvist,90,2026-12-27,District Heating,38454,533476.4,Small,Distributor,M12-EPDM GASKET 27,HALB,B,E,7.0,3.0,7.0,21.0,42.57,207.64,V-62467,SG-83,OPS-M12-EPDM,Y,PC,Press 3300T,S,8/5,8.0,5.0,24.6,0.74,1.0,1.0,"Available Capacity, hours",24.599999999999937,11.670064102564107,0.4743928496977291,OPS-M12-EPDM,False,0.1324032051282052,RM-COMP-EPDM,0.23,KG,RUBBER COMPOUND EPDM80,8.0,0.029,0.011,1.0403,0.239,Gaskets,Active,M12-EPDM GASKET 27,6562.0,5918.0,3813.0,116.0,1046.0,809.0,566.0,96395.21,15365.65,111760.86,2026.04.03,OPS-M12-EPDM,6799.0
Not approved,NW10_Northwind Baltics,NW10_MAT-200600,MAT-200600,M10-BFG GASKET 01,0.485,PRESS_1,T-70528-B,PRJ-BETA-0478,P01_NW10_Northwind Baltics,MAT-200600,M10-BFG GASKET 01,0,11 2026,5229,Gaskets,2026,11,NW10,Both,NW10,Gaskets,MAT-200600,M10-BFG GASKET 01,94923.0,T-70528-B,PRESS_1,0.485,268165.0,B,Active,SF-100477,APAC-East,K. Suzuki,90,2026-03-24,Refrigeration,52334,921395.32,Strategic,Distributor,M10-BFG GASKET 01,ROH,B,E,7.0,8.0,14.0,14.0,85.91,187.64,V-14201,SG-19,OPS-M10-BFG,Y,PC,Press 3300T,S,12/5,12.0,5.0,38.7,0.77,1.5,1.0,"Available Capacity, hours",38.699999999999896,22.696730769230772,0.5864788312462748,OPS-M10-BFG,False,0.05882756410256411,RM-COMP-EPDM,0.246,KG,RUBBER COMPOUND EPDM80,4.0,0.039,0.017,1.0567,0.26,Gaskets,Active,M10-BFG GASKET 01,5020.0,4445.0,3506.0,261.0,2363.0,989.0,692.0,41001.24,19299.99,60301.23,2026.04.03,OPS-M10-BFG,6394.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200625,MAT-200625,M8-NBR GASKET 26,0.368,OVEN_1,T-70316-A,PRJ-EPSILON-0263,P01_NW05_Northwind Pacific,MAT-200625,M8-NBR GASKET 26,0,11 2026,5591,Gaskets,2026,11,NW05,Both,NW05,Gaskets,MAT-200625,M8-NBR GASKET 26,192080.0,T-70316-A,OVEN_1,0.368,122350.0,A,Phase-out,SF-100262,,M. Silva,75,2026-08-09,Pharma,41579,423556.83,Small,OEM,M8-NBR GASKET 26,FERT,B,E,7.0,3.0,14.0,14.0,80.28,89.12,V-19319,SG-30,OPS-M8-NBR,N,PC,Curing oven,M,8/5,8.0,5.0,27.3,0.8075,1.0,2.0,"Available Capacity, hours",27.300000000000075,12.94326923076922,0.47411242603550124,OPS-M8-NBR,False,0.14480448717948713,RM-COMP-EPDM,0.292,KG,RUBBER COMPOUND EPDM80,6.0,0.041,0.017,1.0587,0.309,Gaskets,Active,M8-NBR GASKET 26,6088.0,3729.0,2204.0,861.0,426.0,410.0,287.0,260421.45,18222.66,278644.11,2026.04.03,OPS-M8-NBR,6104.0
Not approved,NW09_Northwind Alpine,NW09_MAT-200494,MAT-200494,M18-AFLAS GASKET 15,0.74,EXTRUSION_1,T-70254-D,PRJ-EPSILON-0422,P01_NW09_Northwind Alpine,MAT-200494,M18-AFLAS GASKET 15,0,11 2026,6689,Gaskets,2026,11,NW09,Both,NW09,Gaskets,MAT-200494,M18-AFLAS GASKET 15,181139.0,T-70254-D,EXTRUSION_1,0.74,147827.0,B,Active,SF-100421,APAC-East,J. Park,10,2026-09-12,Oil & Gas,23260,513265.73,Large,Direct,M18-AFLAS GASKET 15,FERT,C,X,21.0,2.0,30.0,21.0,111.73,149.8,V-79759,SG-106,OPS-M18-AFLAS,N,PC,Extrusion line A,M,12/5,12.0,5.0,39.46,0.741,1.0,2.0,"Available Capacity, hours",39.46000000000003,27.91833333333333,0.7075097144787965,OPS-M18-AFLAS,True,0.1250717948717949,RM-COMP-HNBR,0.349,KG,RUBBER COMPOUND HNBR60,6.0,0.025,0.018,1.0434,0.364,Gaskets,Active,M18-AFLAS GASKET 15,2010.0,1348.0,1716.0,293.0,2212.0,569.0,398.0,82769.0,91087.08,173856.09,2026.04.03,OPS-M18-AFLAS,3653.0
Not approved,NW08_Northwind Iberia,NW08_MAT-200443,MAT-200443,M6-FKM GASKET 04,0.388,PRESS_2,T-70126-B,PRJ-OMEGA-0161,P01_NW08_Northwind Iberia,MAT-200443,M6-FKM GASKET 04,0,11 2026,6493,Gaskets,2026,11,NW08,Both,NW08,Gaskets,MAT-200443,M6-FKM GASKET 04,256329.0,T-70126-B,PRESS_2,0.388,70712.0,B,Active,SF-100160,APAC-East,P. Kovac,90,2026-12-15,Oil & Gas,39495,330486.85,Strategic,Distributor,M6-FKM GASKET 04,HALB,B,F,7.0,2.0,14.0,35.0,32.71,210.03,V-89965,SG-110,OPS-M6-FKM,N,PC,Press 5500T,M,8/5,8.0,5.0,27.0,0.8,1.0,2.0,"Available Capacity, hours",27.0,11.74551282051282,0.4350189933523267,OPS-M6-FKM,True,0.13559358974358973,RM-COMP-HNBR,0.347,KG,RUBBER COMPOUND HNBR60,8.0,0.032,0.017,1.0495,0.364,Gaskets,Active,M6-FKM GASKET 04,2337.0,1792.0,1284.0,411.0,601.0,345.0,241.0,71068.34,18276.45,89344.79,2026.04.03,OPS-M6-FKM,2593.0
Not approved,NW03_Northwind Carpathia,NW03_MAT-200035,MAT-200035,M6-FKM GASKET 36,0.434,OVEN_1,T-70209-C,PRJ-EPSILON-0134,P01_NW03_Northwind Carpathia,MAT-200035,M6-FKM GASKET 36,0,11 2026,6688,Gaskets,2026,11,NW03,Both,NW03,Gaskets,MAT-200035,M6-FKM GASKET 36,49954.0,T-70209-C,OVEN_1,0.434,210143.0,A,Active,SF-100133,EMEA-East,T. Novak,90,2026-02-27,Pharma,39629,773702.16,Strategic,OEM,M6-FKM GASKET 36,HALB,A,F,21.0,2.0,21.0,28.0,29.72,77.42,V-31489,SG-84,OPS-M6-FKM,Y,PC,Curing oven,M,12/6,12.0,6.0,42.98,0.722,1.5,2.0,"Available Capacity, hours",42.97999999999984,33.24070512820512,0.7733993747837423,OPS-M6-FKM,True,0.18041730769230765,RM-COMP-SILI,0.295,KG,RUBBER COMPOUND SILICONE,8.0,0.027,0.022,1.0496,0.31,Gaskets,Active,M6-FKM GASKET 36,7992.0,4020.0,6619.0,1562.0,435.0,808.0,566.0,353502.04,19240.91,372742.95,2026.04.03,OPS-M6-FKM,7619.0
Not approved,NW03_Northwind Carpathia,NW03_MAT-200035,MAT-200035,M6-FKM GASKET 36,0.434,OVEN_1,T-70209-C,PRJ-EPSILON-0134,P01_NW03_Northwind Carpathia,MAT-200035,M6-FKM GASKET 36,0,11 2026,6688,Gaskets,2026,11,NW03,Both,NW03,Gaskets,MAT-200035,M6-FKM GASKET 36,49954.0,T-70209-C,OVEN_1,0.434,210143.0,A,Active,SF-100133,EMEA-East,T. Novak,90,2026-02-27,Pharma,39629,773702.16,Strategic,OEM,M6-FKM GASKET 36,HALB,A,F,21.0,2.0,21.0,28.0,29.72,77.42,V-31489,SG-84,OPS-M6-FKM,Y,PC,Curing oven,M,12/6,12.0,6.0,42.98,0.722,1.5,2.0,"Available Capacity, hours",42.97999999999984,33.24070512820512,0.7733993747837423,OPS-M6-FKM,True,0.18041730769230765,RM-COMP-AFLAS,0.405,KG,RUBBER COMPOUND AFLAS,4.0,0.049,0.026,1.0763,0.436,Gaskets,Active,M6-FKM GASKET 36,7992.0,4020.0,6619.0,1562.0,435.0,808.0,566.0,353502.04,19240.91,372742.95,2026.04.03,OPS-M6-FKM,7619.0
Not approved,NW02_Northwind Heartland,NW02_MAT-200159,MAT-200159,M22-NBR GASKET 40,0.649,PRESS_2,T-70266-D,PRJ-DELTA-0289,P01_NW02_Northwind Heartland,MAT-200159,M22-NBR GASKET 40,0,11 2026,2972,Gaskets,2026,11,NW02,Both,NW02,Gaskets,MAT-200159,M22-NBR GASKET 40,122887.0,T-70266-D,PRESS_2,0.649,26244.0,A,Active,SF-100288,EMEA-East,H. Lindqvist,75,2026-08-12,Refrigeration,25867,473621.91,Strategic,Distributor,M22-NBR GASKET 40,FERT,A,X,21.0,4.0,21.0,14.0,70.29,142.16,V-54330,SG-10,OPS-M22-NBR,Y,PC,Press 3300T,S,8/5,8.0,5.0,27.8,0.82,1.0,1.0,"Available Capacity, hours",27.800000000000082,17.94083333333334,0.6453537170263772,OPS-M22-NBR,False,0.04951858974358975,RM-COMP-FKM,0.403,KG,RUBBER COMPOUND FKM75,2.0,0.051,0.013,1.0647,0.429,Gaskets,Active,M22-NBR GASKET 40,11896.0,8009.0,10153.0,1344.0,508.0,1193.0,835.0,364427.85,15562.32,379990.17,2026.04.03,OPS-M22-NBR,11211.0
Not approved,NW02_Northwind Heartland,NW02_MAT-200159,MAT-200159,M22-NBR GASKET 40,0.649,PRESS_2,T-70266-D,PRJ-DELTA-0289,P01_NW02_Northwind Heartland,MAT-200159,M22-NBR GASKET 40,0,11 2026,2972,Gaskets,2026,11,NW02,Both,NW02,Gaskets,MAT-200159,M22-NBR GASKET 40,122887.0,T-70266-D,PRESS_2,0.649,26244.0,A,Active,SF-100288,EMEA-East,H. Lindqvist,75,2026-08-12,Refrigeration,25867,473621.91,Strategic,Distributor,M22-NBR GASKET 40,FERT,A,X,21.0,4.0,21.0,14.0,70.29,142.16,V-54330,SG-10,OPS-M22-NBR,Y,PC,Press 3300T,S,8/5,8.0,5.0,27.8,0.82,1.0,1.0,"Available Capacity, hours",27.800000000000082,17.94083333333334,0.6453537170263772,OPS-M22-NBR,False,0.04951858974358975,RM-COMP-EPDM,0.321,KG,RUBBER COMPOUND EPDM80,8.0,0.023,0.005,1.0281,0.33,Gaskets,Active,M22-NBR GASKET 40,11896.0,8009.0,10153.0,1344.0,508.0,1193.0,835.0,364427.85,15562.32,379990.17,2026.04.03,OPS-M22-NBR,11211.0
Not approved,NW11_Northwind Levant,NW11_MAT-200141,MAT-200141,M14-HNBR GASKET 22,0.703,PRESS_2,T-70281-B,PRJ-OMEGA-0665,P01_NW11_Northwind Levant,MAT-200141,M14-HNBR GASKET 22,0,11 2026,1744,Gaskets,2026,11,NW11,Both,NW11,Gaskets,MAT-200141,M14-HNBR GASKET 22,143671.0,T-70281-B,PRESS_2,0.703,185049.0,B,Active,SF-100664,APAC-East,M. Akiyama,25,2026-10-11,Oil & Gas,54628,818231.88,Strategic,Direct,M14-HNBR GASKET 22,ROH,A,X,7.0,2.0,7.0,14.0,93.21,88.22,V-55679,SG-76,OPS-M14-HNBR,N,PC,Press 5500T,M,12/6,12.0,6.0,43.56,0.73,1.5,2.0,"Available Capacity, hours",43.56000000000013,34.518525641025654,0.7924363094817619,OPS-M14-HNBR,False,0.017343589743589734,RM-COMP-NBR,0.359,KG,RUBBER COMPOUND NBR70,8.0,0.038,0.026,1.065,0.382,Gaskets,Active,M14-HNBR GASKET 22,3516.0,1941.0,2280.0,640.0,703.0,709.0,496.0,167979.38,33586.32,201565.7,2026.04.03,OPS-M14-HNBR,3510.0
Not approved,NW09_Northwind Alpine,NW09_MAT-200092,MAT-200092,M20-SILI GASKET 13,0.627,GRINDING_1,T-70232-B,PRJ-GAMMA-0453,P01_NW09_Northwind Alpine,MAT-200092,M20-SILI GASKET 13,0,11 2026,450,Gaskets,2026,11,NW09,Both,NW09,Gaskets,MAT-200092,M20-SILI GASKET 13,136312.0,T-70232-B,GRINDING_1,0.627,225976.0,D,Active,SF-100452,APAC-South,M. Akiyama,75,2026-03-09,Pharma,44069,850948.52,Small,Distributor,M20-SILI GASKET 13,HALB,A,X,7.0,8.0,14.0,21.0,48.33,81.23,V-97171,SG-38,OPS-M20-SILI,N,PC,Grinding line,S,12/5,12.0,5.0,39.46,0.741,1.0,1.0,"Available Capacity, hours",39.46000000000003,16.45878205128205,0.4171004067734931,OPS-M20-SILI,False,0.025841666666666666,RM-COMP-EPDM,0.239,KG,RUBBER COMPOUND EPDM80,6.0,0.017,0.029,1.0465,0.25,Gaskets,Active,M20-SILI GASKET 13,8119.0,4392.0,3863.0,121.0,25.0,875.0,612.0,257938.98,794.24,258733.22,2026.04.03,OPS-M20-SILI,7269.0
Not approved,Missing plant,_,,M22-NBR GASKET 40,Missing CT,Missing WC,Missing tool,PRJ-EPSILON-0224,,,,0,11 2026,1688,Gaskets,2026,11,,,,,,,,,,,,,,SF-100223,EMEA-East,S. Iyer,25,2026-08-17,Industrial,24149,351918.58,Small,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not approved,NW06_Northwind Southeast,NW06_MAT-200866,MAT-200866,M12-EPDM GASKET 27,0.559,GRINDING_1,T-70472-C,PRJ-EPSILON-0192,P01_NW06_Northwind Southeast,MAT-200866,M12-EPDM GASKET 27,0,11 2026,3454,Gaskets,2026,11,NW06,Both,NW06,Gaskets,MAT-200866,M12-EPDM GASKET 27,145490.0,T-70472-C,GRINDING_1,0.559,300625.0,D,Active,SF-100191,APAC-East,R. Weber,90,2026-12-21,Marine,26010,166263.78,Medium,OEM,M12-EPDM GASKET 27,ROH,B,E,14.0,8.0,30.0,60.0,118.43,40.6,V-46206,SG-43,OPS-M12-EPDM,Y,PC,Grinding line,S,12/5,12.0,5.0,39.46,0.741,1.0,1.0,"Available Capacity, hours",39.46000000000003,22.791730769230778,0.5775907442785292,OPS-M12-EPDM,False,0.1059596153846154,RM-COMP-SILI,0.27,KG,RUBBER COMPOUND SILICONE,8.0,0.029,0.027,1.0568,0.285,Gaskets,Active,M12-EPDM GASKET 27,11534.0,6147.0,7042.0,359.0,1918.0,711.0,498.0,193515.82,32179.93,225695.76,2026.04.03,OPS-M12-EPDM,12741.0
Not approved,NW08_Northwind Iberia,NW08_MAT-200115,MAT-200115,M6-FKM GASKET 36,0.399,PRESS_3,T-70542-D,PRJ-OMEGA-0052,P01_NW08_Northwind Iberia,MAT-200115,M6-FKM GASKET 36,0,11 2026,821,Gaskets,2026,11,NW08,Both,NW08,Gaskets,MAT-200115,M6-FKM GASKET 36,21407.0,T-70542-D,PRESS_3,0.399,79666.0,A,Phase-out,SF-100051,LATAM,M. Silva,50,2026-06-16,Refrigeration,34522,844533.08,Strategic,Distributor,M6-FKM GASKET 36,FERT,B,F,10.0,2.0,30.0,45.0,19.3,201.97,V-86805,SG-96,OPS-M6-FKM,N,PC,Press 8000T,M,8/5,8.0,5.0,27.0,0.8,1.0,2.0,"Available Capacity, hours",27.0,16.800769230769227,0.622250712250712,OPS-M6-FKM,False,0.1683717948717949,RM-COMP-EPDM,0.265,KG,RUBBER COMPOUND EPDM80,3.0,0.057,0.016,1.0739,0.285,Gaskets,Active,M6-FKM GASKET 36,11503.0,5888.0,9850.0,866.0,1807.0,781.0,547.0,432544.59,67948.19,500492.78,2026.04.03,OPS-M6-FKM,12529.0
Not approved,NW08_Northwind Iberia,NW08_MAT-200115,MAT-200115,M6-FKM GASKET 36,0.399,PRESS_3,T-70542-D,PRJ-OMEGA-0052,P01_NW08_Northwind Iberia,MAT-200115,M6-FKM GASKET 36,0,11 2026,821,Gaskets,2026,11,NW08,Both,NW08,Gaskets,MAT-200115,M6-FKM GASKET 36,21407.0,T-70542-D,PRESS_3,0.399,79666.0,A,Phase-out,SF-100051,LATAM,M. Silva,50,2026-06-16,Refrigeration,34522,844533.08,Strategic,Distributor,M6-FKM GASKET 36,FERT,B,F,10.0,2.0,30.0,45.0,19.3,201.97,V-86805,SG-96,OPS-M6-FKM,N,PC,Press 8000T,M,8/5,8.0,5.0,27.0,0.8,1.0,2.0,"Available Capacity, hours",27.0,16.800769230769227,0.622250712250712,OPS-M6-FKM,False,0.1683717948717949,RM-COMP-HNBR,0.371,KG,RUBBER COMPOUND HNBR60,6.0,0.053,0.009,1.0625,0.394,Gaskets,Active,M6-FKM GASKET 36,11503.0,5888.0,9850.0,866.0,1807.0,781.0,547.0,432544.59,67948.19,500492.78,2026.04.03,OPS-M6-FKM,12529.0
Not approved,NW14_Northwind Oceania,NW14_MAT-200839,MAT-200839,M22-NBR GASKET 40,0.5,PRESS_2,T-70249-A,PRJ-BETA-0705,P01_NW14_Northwind Oceania,MAT-200839,M22-NBR GASKET 40,0,11 2026,4245,Gaskets,2026,11,NW14,Both,NW14,Gaskets,MAT-200839,M22-NBR GASKET 40,204910.0,T-70249-A,PRESS_2,0.5,18736.0,D,Active,SF-100704,EMEA-West,M. Akiyama,25,2026-10-26,Marine,49116,972252.59,Strategic,Direct,M22-NBR GASKET 40,ROH,A,E,21.0,3.0,7.0,21.0,93.49,199.6,V-52812,SG-12,OPS-M22-NBR,N,PC,Press 5500T,M,8/5,8.0,5.0,27.8,0.82,1.0,2.0,"Available Capacity, hours",27.800000000000082,19.82455128205128,0.7131133554694684,OPS-M22-NBR,True,0.12506858974358975,RM-COMP-SILI,0.247,KG,RUBBER COMPOUND SILICONE,3.0,0.017,0.014,1.0312,0.255,Gaskets,Active,M22-NBR GASKET 40,7899.0,6499.0,5120.0,948.0,101.0,609.0,426.0,319587.01,4086.38,323673.38,2026.04.03,OPS-M22-NBR,7391.0
